country,cidr
ML,41.73.64.0/18
ML,41.203.192.0/19
ML,41.221.160.0/19
ML,102.68.176.0/21
ML,102.130.232.0/21
ML,102.165.96.0/19
ML,102.212.72.0/21
ML,102.213.136.0/21
ML,102.217.24.0/21
ML,102.221.128.0/21
ML,102.222.200.0/21
ML,102.223.64.0/21
ML,154.70.192.0/21
ML,154.118.128.0/17
ML,165.90.192.0/19
ML,169.239.96.0/21
ML,196.10.208.0/20
ML,196.32.96.0/19
ML,196.49.48.0/23
ML,196.50.16.0/21
ML,196.60.46.0/23
ML,196.200.32.0/19
ML,196.200.64.0/19
ML,196.251.152.0/21
ML,197.155.128.0/17
ML,217.64.96.0/19
ML,217.170.128.0/19
