country,cidr
MM,27.109.112.0/21
MM,37.111.0.0/16
MM,42.156.32.0/21
MM,43.224.40.0/21
MM,43.224.80.0/21
MM,43.227.8.0/21
MM,43.231.64.0/21
MM,43.239.204.0/22
MM,43.242.132.0/22
MM,43.245.40.0/21
MM,43.252.80.0/21
MM,45.41.64.0/18
MM,45.112.40.0/21
MM,45.112.176.0/21
MM,45.120.80.0/21
MM,45.125.0.0/21
MM,45.250.200.0/21
MM,45.250.240.0/21
MM,59.153.88.0/21
MM,59.153.104.0/21
MM,61.4.64.0/19
MM,65.18.96.0/19
MM,69.160.0.0/18
MM,74.50.208.0/20
MM,103.5.120.0/22
MM,103.13.32.0/21
MM,103.23.128.0/21
MM,103.25.8.0/21
MM,103.25.72.0/21
MM,103.25.240.0/21
MM,103.26.28.0/22
MM,103.27.112.0/21
MM,103.29.88.0/22
MM,103.31.220.0/22
MM,103.38.8.0/23
MM,103.42.114.0/23
MM,103.42.216.0/21
MM,103.47.184.0/22
MM,103.52.8.0/21
MM,103.52.224.0/21
MM,103.57.200.0/21
MM,103.59.160.0/22
MM,103.61.8.0/21
MM,103.65.240.0/22
MM,103.67.48.0/22
MM,103.67.76.0/22
MM,103.68.232.0/22
MM,103.70.216.0/21
MM,103.70.248.0/23
MM,103.71.248.0/21
MM,103.73.232.0/21
MM,103.76.178.0/23
MM,103.76.184.0/22
MM,103.77.216.0/22
MM,103.81.112.0/23
MM,103.81.112.0/22
MM,103.82.232.0/23
MM,103.83.32.0/22
MM,103.83.184.0/21
MM,103.84.100.0/22
MM,103.85.104.0/21
MM,103.88.48.0/21
MM,103.89.48.0/21
MM,103.89.176.0/20
MM,103.94.48.0/21
MM,103.94.64.0/21
MM,103.94.144.0/21
MM,103.95.4.0/22
MM,103.96.228.0/22
MM,103.96.232.0/23
MM,103.97.110.0/23
MM,103.99.24.0/21
MM,103.101.16.0/21
MM,103.103.172.0/23
MM,103.103.194.0/23
MM,103.105.168.0/21
MM,103.108.104.0/21
MM,103.110.180.0/22
MM,103.110.192.0/21
MM,103.112.60.0/23
MM,103.113.80.0/21
MM,103.115.4.0/22
MM,103.115.22.0/23
MM,103.115.212.0/22
MM,103.116.12.0/23
MM,103.116.56.0/21
MM,103.116.158.0/23
MM,103.116.188.0/22
MM,103.116.192.0/22
MM,103.121.158.0/23
MM,103.121.224.0/20
MM,103.124.184.0/22
MM,103.129.72.0/21
MM,103.131.84.0/22
MM,103.132.100.0/22
MM,103.133.240.0/22
MM,103.134.200.0/21
MM,103.135.36.0/23
MM,103.135.216.0/21
MM,103.136.128.0/21
MM,103.138.252.0/22
MM,103.139.100.0/22
MM,103.139.194.0/23
MM,103.139.206.0/23
MM,103.139.208.0/22
MM,103.142.38.0/23
MM,103.142.144.0/22
MM,103.143.244.0/22
MM,103.144.8.0/22
MM,103.144.224.0/22
MM,103.145.120.0/22
MM,103.145.186.0/23
