country,cidr
MN,14.1.120.0/21
MN,27.123.208.0/21
MN,36.50.4.0/22
MN,43.228.128.0/21
MN,43.231.112.0/21
MN,43.242.240.0/21
MN,43.250.120.0/21
MN,45.117.32.0/21
MN,49.0.128.0/18
MN,49.0.160.0/20
MN,49.0.176.0/20
MN,59.153.80.0/21
MN,59.153.112.0/21
MN,64.119.0.0/19
MN,66.181.128.0/18
MN,103.8.60.0/23
MN,103.9.88.0/21
MN,103.10.16.0/21
MN,103.11.192.0/21
MN,103.14.32.0/21
MN,103.17.108.0/22
MN,103.20.152.0/21
MN,103.23.48.0/21
MN,103.26.192.0/21
MN,103.29.144.0/21
MN,103.29.198.0/23
MN,103.41.92.0/22
MN,103.41.112.0/22
MN,103.48.116.0/23
MN,103.48.184.0/21
MN,103.50.200.0/21
MN,103.51.60.0/23
MN,103.57.88.0/21
MN,103.68.106.0/23
MN,103.71.100.0/22
MN,103.79.156.0/22
MN,103.80.208.0/22
MN,103.85.184.0/22
MN,103.87.68.0/23
MN,103.87.254.0/23
MN,103.98.64.0/21
MN,103.99.102.0/23
MN,103.111.68.0/23
MN,103.119.92.0/23
MN,103.126.104.0/21
MN,103.136.254.0/23
MN,103.139.144.0/22
MN,103.140.8.0/22
MN,103.141.248.0/22
MN,103.142.76.0/23
MN,103.142.242.0/23
MN,103.143.40.0/22
MN,103.145.232.0/22
MN,103.153.140.0/23
MN,103.157.184.0/22
MN,103.161.242.0/23
MN,103.165.46.0/23
MN,103.168.32.0/22
MN,103.168.56.0/23
MN,103.168.176.0/22
MN,103.170.16.0/23
MN,103.176.154.0/23
MN,103.194.176.0/21
MN,103.206.152.0/22
MN,103.206.192.0/21
MN,103.209.212.0/22
MN,103.212.112.0/21
MN,103.212.160.0/22
MN,103.215.14.0/23
MN,103.219.136.0/21
MN,103.229.120.0/21
MN,103.229.176.0/21
MN,103.236.192.0/22
MN,103.239.56.0/21
MN,103.242.40.0/21
MN,103.254.120.0/21
MN,112.72.0.0/19
MN,115.187.88.0/21
MN,119.40.96.0/20
MN,121.101.176.0/20
MN,122.201.0.0/19
MN,124.158.96.0/20
MN,124.158.116.0/22
MN,124.158.118.0/23
MN,124.158.112.0/20
MN,139.5.216.0/21
MN,157.10.36.0/22
MN,157.15.4.0/22
MN,160.22.208.0/22
MN,160.187.40.0/22
MN,160.250.66.0/23
MN,161.248.104.0/23
MN,161.248.140.0/22
MN,161.248.148.0/22
MN,161.248.252.0/22
MN,180.149.0.0/17
MN,183.81.168.0/22
MN,183.177.96.0/19
MN,192.82.64.0/19
MN,192.82.80.0/20
MN,192.82.100.0/23
MN,202.5.192.0/19
MN,202.9.32.0/20
MN,202.21.64.0/18
MN,202.37.108.0/23
MN,202.37.234.0/23
MN,202.55.160.0/19
MN,202.70.32.0/19
MN,202.72.240.0/20
MN,202.126.80.0/20
MN,202.131.0.0/20
MN,202.131.192.0/18
MN,202.170.64.0/19
MN,202.179.0.0/18
MN,202.180.208.0/20
MN,203.17.22.0/23
MN,203.21.120.0/23
MN,203.23.48.0/23
MN,203.23.198.0/23
MN,203.26.188.0/22
MN,203.34.36.0/23
MN,203.91.112.0/20
MN,203.98.76.0/22
MN,203.169.48.0/21
MN,203.174.26.0/23
MN,203.217.136.0/22
MN,218.100.84.0/23
