country,cidr
MO,23.148.24.0/23
MO,27.109.0.0/16
MO,43.247.24.0/21
MO,45.64.16.0/21
MO,45.123.200.0/21
MO,60.246.0.0/15
MO,103.5.216.0/22
MO,103.88.176.0/21
MO,103.96.56.0/21
MO,103.115.136.0/21
MO,103.143.92.0/22
MO,103.192.40.0/21
MO,103.233.184.0/21
MO,103.237.96.0/21
MO,103.237.120.0/21
MO,103.240.56.0/22
MO,113.52.0.0/17
MO,116.193.0.0/20
MO,122.100.0.0/16
MO,123.253.200.0/21
MO,125.31.0.0/17
MO,161.64.0.0/15
MO,163.53.240.0/21
MO,180.94.128.0/17
MO,182.93.0.0/17
MO,202.75.248.0/21
MO,202.86.128.0/17
MO,202.174.0.0/21
MO,202.175.0.0/16
MO,202.175.128.0/18
