country,cidr
MT,37.75.0.0/18
MT,37.114.64.0/20
MT,37.233.112.0/20
MT,45.9.96.0/21
MT,45.95.80.0/21
MT,46.10.0.0/15
MT,46.54.0.0/16
MT,62.173.0.0/18
MT,69.6.0.0/18
MT,77.25.0.0/16
MT,77.71.0.0/16
MT,77.243.64.0/19
MT,78.110.0.0/19
MT,78.133.0.0/16
MT,79.135.104.0/21
MT,80.64.208.0/21
MT,80.71.32.0/19
MT,80.71.96.0/19
MT,80.77.192.0/19
MT,80.85.96.0/19
MT,80.93.128.0/19
MT,80.245.192.0/19
MT,80.254.64.0/19
MT,83.142.240.0/20
MT,84.255.0.0/17
MT,85.119.112.0/20
MT,85.184.64.0/18
MT,85.232.192.0/18
MT,85.236.128.0/20
MT,88.203.0.0/16
MT,91.103.80.0/20
MT,91.190.156.0/23
MT,91.194.92.0/22
MT,91.199.56.0/23
MT,91.200.192.0/21
MT,91.216.152.0/22
MT,91.220.138.0/23
MT,91.221.8.0/22
MT,91.231.10.0/23
MT,92.251.0.0/16
MT,94.16.0.0/15
MT,94.138.192.0/18
MT,95.131.224.0/20
MT,103.136.216.0/22
MT,103.227.168.0/22
MT,109.200.0.0/18
MT,141.8.0.0/16
MT,147.189.192.0/19
MT,159.20.16.0/20
MT,176.99.32.0/19
MT,185.5.48.0/21
MT,185.9.96.0/21
MT,185.25.168.0/21
MT,185.27.56.0/21
MT,185.36.232.0/21
MT,185.48.184.0/21
MT,185.51.232.0/21
MT,185.56.136.0/21
MT,185.56.248.0/21
MT,185.62.32.0/21
MT,185.63.64.0/20
MT,185.64.4.0/23
MT,185.64.56.0/21
MT,185.76.240.0/21
MT,185.89.136.0/21
MT,185.89.232.0/21
MT,185.91.0.0/21
MT,185.115.8.0/21
MT,185.137.16.0/21
MT,185.141.248.0/21
MT,185.157.32.0/21
MT,185.162.152.0/21
MT,185.176.192.0/21
MT,185.177.48.0/21
MT,185.179.64.0/21
MT,185.179.102.0/23
MT,185.218.144.0/21
MT,185.222.72.0/21
MT,185.234.108.0/23
MT,185.240.104.0/21
MT,185.242.64.0/21
MT,188.65.176.0/20
MT,188.172.0.0/17
MT,192.136.6.0/23
MT,193.16.96.0/23
MT,193.24.232.0/21
MT,193.28.0.0/22
MT,193.28.56.0/22
MT,193.29.36.0/22
MT,193.29.40.0/22
MT,193.34.192.0/24
MT,193.105.200.0/23
MT,193.110.154.0/23
MT,193.142.244.0/23
MT,193.150.126.0/23
MT,193.188.32.0/19
MT,193.200.242.0/23
MT,193.227.98.0/23
MT,194.61.16.0/21
MT,194.105.32.0/21
MT,194.106.64.0/18
MT,194.127.138.0/23
MT,194.158.0.0/18
MT,194.204.64.0/18
MT,195.10.192.0/23
MT,195.10.216.0/23
MT,195.38.30.0/23
MT,195.138.224.0/20
MT,195.149.126.0/23
MT,195.158.0.0/17
MT,195.160.232.0/21
MT,195.234.50.0/23
MT,195.245.250.0/23
MT,212.56.128.0/18
MT,212.65.64.0/18
MT,212.103.40.0/21
MT,213.134.18.0/23
MT,213.165.128.0/18
MT,213.217.128.0/17
MT,217.15.96.0/19
MT,217.22.160.0/19
MT,217.30.96.0/19
MT,217.71.160.0/19
MT,217.145.0.0/19
MT,217.168.160.0/19
MT,217.198.186.0/23
