country,cidr
MU,37.139.128.0/21
MU,41.60.0.0/15
MU,41.72.192.0/18
MU,41.76.32.0/20
MU,41.77.144.0/20
MU,41.79.128.0/21
MU,41.84.128.0/18
MU,41.87.64.0/18
MU,41.136.0.0/15
MU,41.160.0.0/11
MU,41.190.128.0/18
MU,41.191.208.0/21
MU,41.191.224.0/20
MU,41.198.0.0/15
MU,41.206.64.0/18
MU,41.207.128.0/18
MU,41.207.232.0/21
MU,41.211.64.0/18
MU,41.212.0.0/16
MU,41.215.248.0/21
MU,41.216.64.0/18
MU,41.217.208.0/21
MU,41.218.0.0/17
MU,41.220.192.0/18
MU,41.222.0.0/20
MU,41.222.96.0/20
MU,41.223.72.0/21
MU,41.223.216.0/21
MU,41.223.224.0/21
MU,41.242.144.0/20
MU,45.221.0.0/21
MU,45.221.16.0/21
MU,80.67.128.0/19
MU,80.240.192.0/19
MU,102.68.112.0/20
MU,102.69.148.0/23
MU,102.112.0.0/12
MU,102.131.48.0/20
MU,102.140.160.0/19
MU,102.160.0.0/13
MU,102.176.128.0/18
MU,102.209.96.0/21
MU,102.211.0.0/21
MU,102.211.104.0/23
MU,102.214.96.0/21
MU,102.215.96.0/23
MU,102.218.128.0/23
MU,102.218.130.0/23
MU,102.219.22.0/23
MU,102.220.124.0/23
MU,102.221.180.0/22
MU,102.222.24.0/23
MU,102.222.104.0/21
MU,102.223.204.0/22
MU,105.0.0.0/11
MU,105.235.128.0/19
MU,152.108.0.0/15
MU,154.65.8.0/21
MU,154.66.224.0/21
MU,154.66.240.0/20
MU,154.71.0.0/18
MU,154.72.224.0/19
MU,154.120.128.0/17
MU,160.0.0.0/16
MU,160.242.0.0/16
MU,169.239.136.0/21
MU,169.255.160.0/21
MU,196.1.0.0/23
MU,196.1.6.0/23
MU,196.1.24.0/21
MU,196.2.2.0/23
MU,196.2.64.0/19
MU,196.3.108.0/23
MU,196.12.128.0/18
MU,196.13.124.0/23
MU,196.15.8.0/21
MU,196.20.0.0/16
MU,196.22.128.0/19
MU,196.27.0.0/17
MU,196.46.0.0/18
MU,196.46.120.0/21
MU,196.47.64.0/18
MU,196.49.8.0/23
MU,196.50.2.0/23
MU,196.192.0.0/19
MU,196.192.64.0/20
MU,196.192.80.0/21
MU,196.192.96.0/19
MU,196.192.124.0/23
MU,196.192.136.0/21
MU,196.201.0.0/23
MU,196.201.16.0/20
MU,196.201.224.0/21
MU,196.207.32.0/19
MU,196.216.0.0/22
MU,196.216.0.0/18
MU,196.216.64.0/18
MU,196.216.168.0/22
MU,196.216.212.0/23
MU,196.216.236.0/22
MU,196.223.0.0/23
MU,196.250.248.0/21
MU,196.251.144.0/21
MU,196.251.248.0/21
MU,197.155.64.0/18
MU,197.155.224.0/19
MU,197.211.128.0/17
MU,197.224.0.0/13
MU,197.231.176.0/20
MU,197.234.0.0/17
MU,197.242.176.0/20
MU,202.60.0.0/20
MU,202.123.0.0/18
MU,217.21.96.0/19
