country,cidr
MW,41.70.0.0/16
MW,41.75.96.0/19
MW,41.77.0.0/20
MW,41.78.56.0/21
MW,41.78.216.0/21
MW,41.78.248.0/21
MW,41.79.88.0/21
MW,41.87.0.0/18
MW,41.190.88.0/21
MW,41.216.224.0/21
MW,41.217.216.0/21
MW,41.221.96.0/19
MW,41.222.176.0/20
MW,45.221.24.0/23
MW,102.36.144.0/23
MW,102.68.0.0/14
MW,102.130.100.0/23
MW,102.176.250.0/23
MW,102.208.52.0/23
MW,102.209.16.0/22
MW,102.209.56.0/21
MW,102.211.20.0/22
MW,102.211.22.0/23
MW,102.213.24.0/21
MW,102.213.176.0/23
MW,102.218.160.0/21
MW,102.219.180.0/22
MW,102.220.250.0/23
MW,102.223.94.0/23
MW,105.234.0.0/15
MW,129.140.0.0/15
MW,137.64.0.0/15
MW,137.114.0.0/15
MW,137.196.0.0/15
MW,154.66.112.0/20
MW,168.253.192.0/18
MW,169.255.48.0/21
MW,192.145.160.0/21
MW,196.11.80.0/20
MW,196.32.208.0/20
MW,196.45.184.0/21
MW,196.49.72.0/23
MW,196.49.106.0/23
MW,196.60.122.0/23
MW,196.60.254.0/23
MW,196.216.0.0/20
MW,196.223.26.0/23
MW,197.211.64.0/18
