country,cidr
MZ,41.76.0.0/20
MZ,41.76.144.0/20
MZ,41.77.32.0/20
MZ,41.77.128.0/20
MZ,41.79.240.0/21
MZ,41.94.0.0/15
MZ,41.138.224.0/19
MZ,41.191.72.0/21
MZ,41.220.32.0/19
MZ,41.220.160.0/19
MZ,41.220.192.0/19
MZ,41.221.64.0/19
MZ,41.223.120.0/21
MZ,41.223.152.0/21
MZ,102.36.146.0/23
MZ,102.67.184.0/21
MZ,102.176.248.0/22
MZ,102.207.72.0/21
MZ,102.207.152.0/21
MZ,102.207.222.0/23
MZ,102.208.16.0/21
MZ,102.209.248.0/21
MZ,102.210.72.0/21
MZ,102.211.104.0/21
MZ,102.222.88.0/21
MZ,105.235.208.0/20
MZ,160.19.188.0/22
MZ,160.119.112.0/20
MZ,160.119.152.0/21
MZ,165.90.64.0/18
MZ,169.239.104.0/21
MZ,169.255.128.0/21
MZ,195.140.248.0/21
MZ,196.3.96.0/20
MZ,196.10.148.0/23
MZ,196.11.134.0/23
MZ,196.13.100.0/23
MZ,196.22.32.0/19
MZ,196.28.224.0/19
MZ,196.40.96.0/19
MZ,196.43.234.0/23
MZ,196.43.240.0/23
MZ,196.46.0.0/19
MZ,196.49.34.0/23
MZ,196.50.128.0/17
MZ,196.223.32.0/23
MZ,197.158.0.0/17
MZ,197.216.0.0/14
MZ,197.231.216.0/21
MZ,197.234.0.0/15
MZ,197.242.160.0/19
MZ,197.248.0.0/15
