country,cidr
NI,45.5.216.0/21
NI,45.170.224.0/21
NI,45.182.142.0/23
NI,45.238.24.0/21
NI,131.255.16.0/23
NI,138.97.160.0/21
NI,138.117.0.0/21
NI,138.185.24.0/21
NI,138.185.104.0/21
NI,143.137.24.0/21
NI,143.202.248.0/21
NI,152.231.32.0/19
NI,161.0.0.0/18
NI,165.98.0.0/15
NI,170.80.16.0/21
NI,170.84.128.0/21
NI,170.246.152.0/21
NI,186.1.0.0/17
NI,186.76.0.0/14
NI,190.106.0.0/18
NI,190.106.32.0/19
NI,190.107.208.0/21
NI,190.124.32.0/20
NI,190.143.224.0/19
NI,190.181.128.0/17
NI,190.184.0.0/16
NI,190.212.0.0/15
NI,191.98.224.0/20
NI,191.98.224.0/19
NI,191.102.48.0/20
NI,191.103.96.0/19
NI,192.107.104.0/23
NI,192.136.40.0/22
NI,192.136.40.0/21
NI,200.1.152.0/23
NI,200.6.54.0/23
NI,200.9.186.0/23
NI,200.9.184.0/21
NI,200.9.192.0/23
NI,200.10.204.0/23
NI,200.11.30.0/23
NI,200.62.0.0/17
NI,200.85.160.0/19
NI,200.106.246.0/23
NI,201.131.66.0/23
NI,201.131.114.0/23
NI,207.248.86.0/23
