country,cidr
NL,2.16.0.0/12
NL,2.56.56.0/21
NL,2.56.192.0/21
NL,2.56.200.0/21
NL,2.56.216.0/21
NL,2.56.224.0/21
NL,2.57.8.0/21
NL,2.57.56.0/21
NL,2.57.168.0/21
NL,2.57.238.0/23
NL,2.58.16.0/21
NL,2.58.56.0/23
NL,2.58.56.0/22
NL,2.58.144.0/21
NL,2.58.160.0/21
NL,2.58.232.0/21
NL,2.59.32.0/21
NL,2.59.88.0/21
NL,2.59.136.0/21
NL,2.59.168.0/21
NL,5.2.64.0/19
NL,5.8.248.0/23
NL,5.8.250.0/23
NL,5.10.0.0/17
NL,5.10.192.0/20
NL,5.11.80.0/20
NL,5.22.200.0/21
NL,5.22.240.0/20
NL,5.34.224.0/20
NL,5.35.176.0/20
NL,5.39.160.0/20
NL,5.39.176.0/20
NL,5.39.208.0/20
NL,5.42.194.0/23
NL,5.44.64.0/20
NL,5.44.248.0/22
NL,5.45.32.0/21
NL,5.57.16.0/20
NL,5.57.212.0/23
NL,5.57.224.0/20
NL,5.57.240.0/20
NL,5.61.240.0/20
NL,5.79.0.0/17
NL,5.83.0.0/20
NL,5.100.224.0/20
NL,5.102.128.0/20
NL,5.104.96.0/19
NL,5.104.128.0/20
NL,5.104.224.0/20
NL,5.132.0.0/16
NL,5.133.80.0/21
NL,5.153.0.0/17
NL,5.157.64.0/19
NL,5.159.32.0/20
NL,5.159.192.0/21
NL,5.172.32.0/20
NL,5.172.176.0/23
NL,5.172.180.0/23
NL,5.172.208.0/20
NL,5.175.80.0/20
NL,5.178.16.0/20
NL,5.178.32.0/20
NL,5.178.64.0/20
NL,5.178.112.0/20
NL,5.180.80.0/21
NL,5.180.120.0/21
NL,5.180.136.0/21
NL,5.180.160.0/21
NL,5.180.176.0/23
NL,5.180.176.0/22
NL,5.180.216.0/21
NL,5.180.224.0/21
NL,5.181.54.0/23
NL,5.181.112.0/21
NL,5.182.184.0/21
NL,5.182.208.0/21
NL,5.183.128.0/21
NL,5.183.136.0/21
NL,5.183.224.0/21
NL,5.188.8.0/21
NL,5.199.128.0/19
NL,5.199.184.0/21
NL,5.200.0.0/18
NL,5.206.192.0/19
NL,5.226.32.0/20
NL,5.253.32.0/21
NL,5.253.88.0/21
NL,5.253.144.0/21
NL,5.253.226.0/23
NL,5.255.0.0/17
NL,5.255.144.0/20
NL,14.102.16.0/21
NL,14.102.48.0/21
NL,14.102.56.0/21
NL,14.102.80.0/21
NL,23.83.64.0/20
NL,23.83.96.0/19
NL,23.106.96.0/20
NL,23.106.112.0/20
NL,23.108.192.0/19
NL,23.108.0.0/15
NL,23.111.0.0/20
NL,23.111.0.0/19
NL,23.111.64.0/19
NL,23.111.224.0/19
NL,23.249.162.0/23
NL,23.249.224.0/20
NL,24.132.0.0/15
NL,31.3.0.0/20
NL,31.3.96.0/19
NL,31.3.144.0/20
NL,31.7.0.0/20
NL,31.12.88.0/21
NL,31.14.10.0/23
NL,31.14.32.0/23
NL,31.14.44.0/22
NL,31.14.48.0/23
NL,31.14.96.0/21
NL,31.14.180.0/22
NL,31.14.232.0/22
NL,31.20.0.0/14
NL,31.22.80.0/20
NL,31.24.48.0/20
NL,31.24.86.0/23
NL,31.24.160.0/20
NL,31.24.250.0/23
NL,31.25.96.0/20
NL,31.31.32.0/20
NL,31.41.254.0/23
NL,31.43.160.0/22
NL,31.44.0.0/20
NL,31.132.192.0/20
NL,31.134.192.0/20
NL,31.136.0.0/13
NL,31.148.0.0/15
NL,31.150.0.0/15
NL,31.160.0.0/14
NL,31.169.48.0/20
NL,31.171.128.0/20
NL,31.171.192.0/20
NL,31.177.32.0/20
NL,31.177.96.0/20
NL,31.184.0.0/17
NL,31.186.160.0/19
NL,31.187.0.0/16
NL,31.192.96.0/19
NL,31.200.208.0/20
NL,31.200.0.0/15
NL,31.204.128.0/18
NL,31.207.0.0/20
NL,31.207.0.0/19
NL,31.207.40.0/21
NL,31.207.48.0/21
NL,31.210.16.0/23
NL,31.210.18.0/23
NL,31.210.16.0/21
NL,31.217.248.0/23
NL,31.220.24.0/21
NL,31.222.208.0/20
NL,31.222.252.0/23
NL,31.223.160.0/19
NL,37.0.0.0/20
NL,37.0.16.0/20
NL,37.0.64.0/19
NL,37.1.96.0/20
NL,37.9.160.0/20
NL,37.9.208.0/20
NL,37.10.0.0/17
NL,37.16.74.0/23
NL,37.16.90.0/23
NL,37.17.192.0/19
NL,37.18.0.0/22
NL,37.18.0.0/21
NL,37.18.10.0/23
NL,37.18.8.0/21
NL,37.18.16.0/21
NL,37.18.22.0/23
NL,37.18.24.0/22
NL,37.18.34.0/23
NL,37.18.32.0/21
NL,37.18.40.0/22
NL,37.18.58.0/23
NL,37.18.56.0/21
NL,37.18.76.0/22
NL,37.18.80.0/22
NL,37.18.84.0/23
NL,37.18.84.0/22
NL,37.18.88.0/21
NL,37.18.96.0/21
NL,37.18.102.0/23
NL,37.18.104.0/22
NL,37.18.122.0/23
NL,37.18.120.0/21
NL,37.26.96.0/19
NL,37.26.224.0/20
NL,37.34.32.0/19
NL,37.44.0.0/20
NL,37.46.96.0/19
NL,37.46.128.0/20
NL,37.46.144.0/21
NL,37.46.192.0/20
NL,37.48.0.0/17
NL,37.58.0.0/17
NL,37.60.192.0/20
