country,cidr
NO,2.58.24.0/21
NO,2.144.0.0/13
NO,5.44.64.0/20
NO,5.45.144.0/20
NO,5.83.224.0/20
NO,5.100.160.0/19
NO,5.145.144.0/20
NO,5.152.128.0/20
NO,5.153.96.0/20
NO,5.158.192.0/20
NO,5.172.182.0/23
NO,5.183.78.0/23
NO,5.226.160.0/20
NO,5.249.192.0/18
NO,5.252.240.0/21
NO,31.24.128.0/20
NO,31.25.208.0/20
NO,31.45.0.0/16
NO,31.129.112.0/20
NO,31.169.48.0/20
NO,31.185.16.0/20
NO,31.186.80.0/20
NO,31.204.64.0/20
NO,31.211.160.0/20
NO,37.18.48.0/20
NO,37.18.64.0/20
NO,37.26.192.0/19
NO,37.28.128.0/20
NO,37.32.48.0/20
NO,37.44.128.0/17
NO,37.143.48.0/21
NO,37.148.144.0/20
NO,37.191.0.0/16
NO,37.200.0.0/17
NO,37.202.16.0/20
NO,37.202.48.0/20
NO,37.228.96.0/20
NO,37.252.112.0/20
NO,37.252.208.0/20
NO,37.252.0.0/15
NO,45.8.8.0/21
NO,45.8.104.0/23
NO,45.13.120.0/21
NO,45.14.48.0/21
NO,45.15.104.0/21
NO,45.67.8.0/21
NO,45.67.12.0/23
NO,45.67.160.0/21
NO,45.80.144.0/21
NO,45.86.232.0/21
NO,45.88.112.0/21
NO,45.88.200.0/21
NO,45.89.192.0/21
NO,45.90.32.0/21
NO,45.93.136.0/21
NO,45.134.208.0/21
NO,45.135.152.0/21
NO,45.136.80.0/21
NO,45.138.232.0/21
NO,45.140.0.0/21
NO,45.141.218.0/23
NO,45.144.72.0/21
NO,45.152.48.0/21
NO,45.153.104.0/21
NO,45.154.48.0/21
NO,45.154.232.0/21
NO,45.158.88.0/21
NO,46.8.0.0/15
NO,46.14.0.0/15
NO,46.16.48.0/20
NO,46.17.16.0/20
NO,46.19.16.0/20
NO,46.29.208.0/20
NO,46.31.176.0/20
NO,46.46.128.0/17
NO,46.64.0.0/14
NO,46.148.96.0/19
NO,46.156.0.0/14
NO,46.183.160.0/20
NO,46.212.0.0/15
NO,46.226.0.0/20
NO,46.226.16.0/20
NO,46.227.144.0/20
NO,46.227.192.0/20
NO,46.228.32.0/19
NO,46.230.128.0/18
NO,46.249.192.0/18
NO,46.250.192.0/18
NO,46.255.16.0/20
NO,51.172.0.0/14
NO,62.16.0.0/16
NO,62.24.0.0/18
NO,62.50.128.0/18
NO,62.63.0.0/17
NO,62.70.0.0/15
NO,62.73.128.0/17
NO,62.89.0.0/18
NO,62.92.0.0/15
NO,62.97.128.0/18
NO,62.97.128.0/17
NO,62.101.128.0/17
NO,62.102.128.0/18
NO,62.113.128.0/18
NO,62.122.240.0/20
NO,62.128.192.0/18
NO,62.141.128.0/18
NO,62.148.0.0/18
NO,62.176.192.0/18
NO,62.209.0.0/17
NO,62.241.32.0/19
NO,62.249.128.0/18
NO,64.28.0.0/18
NO,64.239.18.0/23
NO,77.16.0.0/13
NO,77.40.0.0/16
NO,77.70.0.0/16
NO,77.74.160.0/20
NO,77.74.208.0/20
NO,77.75.208.0/20
NO,77.88.0.0/17
NO,77.94.224.0/20
NO,77.95.64.0/20
NO,77.106.128.0/17
NO,77.110.128.0/17
NO,77.111.240.0/21
NO,77.222.128.0/18
NO,77.222.192.0/18
NO,77.223.128.0/18
NO,77.234.48.0/20
NO,77.241.96.0/19
NO,77.246.246.0/23
NO,77.247.128.0/19
NO,78.24.144.0/20
NO,78.26.0.0/17
NO,78.31.80.0/20
NO,78.41.40.0/21
NO,78.41.112.0/20
NO,78.90.0.0/15
NO,78.156.0.0/18
NO,78.158.192.0/18
NO,79.135.0.0/18
NO,79.141.96.0/19
NO,79.160.0.0/14
NO,79.170.80.0/20
NO,79.171.64.0/20
NO,79.171.80.0/20
NO,79.174.16.0/21
NO,79.174.176.0/20
NO,80.64.192.0/19
NO,80.65.32.0/19
NO,80.67.32.0/21
NO,80.86.128.0/19
NO,80.86.192.0/19
NO,80.89.0.0/18
NO,80.91.32.0/19
NO,80.202.0.0/15
NO,80.212.0.0/14
NO,80.232.0.0/16
NO,80.239.0.0/16
NO,80.241.64.0/19
NO,80.254.32.0/19
NO,81.0.128.0/17
NO,81.26.0.0/18
NO,81.27.32.0/19
NO,81.29.32.0/19
NO,81.88.64.0/19
NO,81.93.96.0/19
NO,81.93.160.0/19
NO,81.95.64.0/19
NO,81.164.0.0/14
NO,81.173.40.0/22
NO,81.175.0.0/17
NO,81.190.0.0/15
NO,82.115.14.0/23
NO,82.116.64.0/18
NO,82.117.0.0/18
NO,82.134.0.0/16
NO,82.145.192.0/19
NO,82.146.64.0/18
NO,82.147.0.0/18
NO,82.148.128.0/17
NO,82.164.0.0/15
NO,82.194.192.0/18
NO,82.196.192.0/18
NO,82.199.0.0/18
NO,83.108.0.0/14
NO,83.118.128.0/17
NO,83.142.96.0/20
NO,83.143.80.0/20
NO,83.223.192.0/19
NO,83.242.0.0/18
NO,83.243.0.0/16
NO,84.16.192.0/18
NO,84.20.64.0/18
NO,84.38.0.0/20
NO,84.38.128.0/19
NO,84.48.0.0/16
NO,84.48.0.0/15
NO,84.52.128.0/17
NO,84.53.0.0/17
NO,84.202.0.0/15
NO,84.205.0.0/18
NO,84.208.0.0/12
NO,84.234.0.0/16
NO,84.243.128.0/17
NO,84.247.62.0/23
NO,85.18.0.0/15
NO,85.88.64.0/18
NO,85.89.0.0/18
NO,85.93.192.0/18
NO,85.112.128.0/18
NO,85.113.64.0/20
NO,85.113.128.0/18
NO,85.119.128.0/20
NO,85.158.80.0/20
NO,85.160.0.0/13
NO,85.196.0.0/17
NO,85.200.0.0/15
NO,85.208.88.0/21
NO,85.221.0.0/16
NO,85.252.0.0/15
NO,85.255.32.0/19
NO,86.62.128.0/17
NO,86.105.16.0/21
NO,86.111.48.0/22
NO,87.118.0.0/17
NO,87.236.144.0/23
NO,87.238.0.0/18
NO,87.238.64.0/20
NO,87.248.0.0/18
NO,87.252.64.0/18
NO,87.254.0.0/18
NO,88.84.0.0/18
NO,88.84.128.0/18
NO,88.87.0.0/18
NO,88.80.0.0/12
NO,88.135.70.0/23
NO,88.151.160.0/20
NO,88.151.224.0/20
NO,89.8.0.0/13
NO,89.20.192.0/18
NO,89.32.192.0/22
NO,89.34.20.0/22
NO,89.35.36.0/22
NO,89.45.164.0/23
NO,89.105.0.0/18
NO,89.151.128.0/17
NO,89.162.0.0/16
NO,89.191.0.0/18
NO,89.207.128.0/20
NO,89.221.96.0/19
NO,89.233.96.0/20
NO,89.248.0.0/19
NO,89.250.96.0/19
NO,89.251.192.0/19
NO,89.254.0.0/20
NO,89.254.0.0/19
NO,89.254.0.0/17
NO,91.90.32.0/20
NO,91.90.64.0/20
NO,91.90.96.0/20
NO,91.123.32.0/19
NO,91.126.0.0/19
NO,91.135.0.0/18
NO,91.135.128.0/19
NO,91.149.0.0/18
NO,91.149.32.0/19
NO,91.184.128.0/18
NO,91.186.64.0/18
NO,91.188.232.0/21
NO,91.189.112.0/20
NO,91.189.160.0/20
NO,91.189.176.0/20
NO,91.192.216.0/21
NO,91.193.0.0/21
NO,91.195.8.0/22
NO,91.198.176.0/23
NO,91.198.200.0/23
NO,91.199.62.0/23
NO,91.199.192.0/23
NO,91.199.194.0/23
NO,91.201.200.0/23
