country,cidr
NP,27.34.0.0/16
NP,27.111.0.0/19
NP,36.0.0.0/21
NP,36.50.148.0/22
NP,36.252.0.0/14
NP,43.228.192.0/21
NP,43.231.208.0/21
NP,43.243.96.0/21
NP,43.245.80.0/21
NP,43.245.88.0/21
NP,43.250.48.0/21
NP,45.64.112.0/22
NP,45.64.160.0/21
NP,45.115.216.0/21
NP,45.116.16.0/21
NP,45.117.152.0/22
NP,45.121.32.0/21
NP,45.123.216.0/21
NP,49.126.0.0/15
NP,49.236.208.0/21
NP,49.244.0.0/15
NP,72.9.128.0/19
NP,101.251.0.0/21
NP,103.1.88.0/21
NP,103.5.150.0/23
NP,103.5.228.0/22
NP,103.10.24.0/21
NP,103.12.56.0/22
NP,103.13.192.0/22
NP,103.16.208.0/22
NP,103.28.80.0/21
NP,103.29.114.0/23
NP,103.37.184.0/22
NP,103.38.192.0/21
NP,103.38.248.0/22
NP,103.41.168.0/21
NP,103.43.168.0/21
NP,103.48.88.0/23
NP,103.51.16.0/21
NP,103.52.24.0/21
NP,103.57.96.0/22
NP,103.58.144.0/22
NP,103.65.200.0/22
NP,103.69.120.0/21
NP,103.71.240.0/22
NP,103.74.12.0/22
NP,103.75.48.0/22
NP,103.77.212.0/22
NP,103.81.136.0/23
NP,103.83.228.0/22
NP,103.86.56.0/22
NP,103.86.68.0/22
NP,103.89.152.0/21
NP,103.90.80.0/21
NP,103.90.144.0/21
NP,103.93.20.0/22
NP,103.94.156.0/22
NP,103.94.248.0/21
NP,103.95.16.0/21
NP,103.96.32.0/21
NP,103.96.240.0/21
NP,103.98.128.0/21
NP,103.101.32.0/21
NP,103.101.236.0/22
NP,103.101.252.0/23
NP,103.102.36.0/22
NP,103.104.24.0/21
NP,103.104.196.0/23
NP,103.104.232.0/21
NP,103.106.144.0/22
NP,103.107.48.0/22
NP,103.109.224.0/21
NP,103.111.78.0/23
NP,103.114.24.0/21
NP,103.115.166.0/23
NP,103.116.48.0/23
NP,103.121.172.0/22
NP,103.123.60.0/22
NP,103.123.84.0/23
NP,103.124.96.0/21
NP,103.125.24.0/23
NP,103.125.24.0/22
NP,103.126.240.0/21
NP,103.127.48.0/22
NP,103.127.60.0/22
NP,103.129.128.0/21
NP,103.130.188.0/22
NP,103.130.206.0/23
NP,103.134.72.0/23
NP,103.134.216.0/21
NP,103.137.10.0/23
NP,103.137.200.0/21
NP,103.138.160.0/22
NP,103.139.152.0/23
NP,103.139.252.0/22
NP,103.140.0.0/22
NP,103.140.52.0/23
NP,103.140.132.0/22
NP,103.143.210.0/23
NP,103.144.104.0/22
NP,103.144.194.0/23
NP,103.145.152.0/22
NP,103.146.148.0/22
NP,103.146.216.0/22
NP,103.147.60.0/22
NP,103.147.224.0/22
NP,103.148.20.0/22
NP,103.149.204.0/22
NP,103.152.144.0/22
NP,103.153.196.0/22
NP,103.154.12.0/22
NP,103.154.44.0/22
NP,103.155.16.0/21
NP,103.155.68.0/22
NP,103.155.180.0/22
NP,103.155.204.0/23
NP,103.156.24.0/22
NP,103.156.96.0/23
NP,103.157.34.0/23
NP,103.157.44.0/22
NP,103.157.88.0/22
NP,103.158.110.0/23
NP,103.158.196.0/22
NP,103.160.20.0/22
NP,103.160.80.0/22
NP,103.162.0.0/22
NP,103.162.6.0/23
NP,103.162.12.0/22
NP,103.162.232.0/22
NP,103.162.240.0/22
NP,103.163.68.0/22
NP,103.163.136.0/23
NP,103.163.180.0/22
NP,103.164.158.0/23
NP,103.165.184.0/22
NP,103.165.242.0/23
NP,103.166.16.0/22
NP,103.166.100.0/22
NP,103.166.172.0/22
NP,103.167.76.0/22
NP,103.167.184.0/22
NP,103.167.228.0/22
NP,103.167.232.0/22
NP,103.170.72.0/22
NP,103.170.222.0/23
NP,103.171.240.0/22
NP,103.172.212.0/22
NP,103.173.38.0/23
NP,103.174.68.0/22
NP,103.174.84.0/22
NP,103.174.168.0/22
NP,103.175.92.0/22
NP,103.175.192.0/22
NP,103.176.228.0/22
NP,103.177.52.0/22
NP,103.177.68.0/22
NP,103.180.240.0/22
NP,103.181.224.0/22
NP,103.182.172.0/22
NP,103.184.136.0/22
NP,103.186.4.0/22
NP,103.186.196.0/22
NP,103.187.8.0/23
NP,103.189.160.0/22
NP,103.190.40.0/22
NP,103.191.128.0/22
NP,103.191.160.0/22
NP,103.191.164.0/22
NP,103.192.72.0/21
NP,103.197.104.0/22
NP,103.198.8.0/22
NP,103.207.80.0/21
NP,103.211.144.0/21
NP,103.212.64.0/22
NP,103.213.30.0/23
NP,103.213.120.0/21
NP,103.213.252.0/22
NP,103.214.0.0/22
NP,103.224.106.0/23
NP,103.225.240.0/21
NP,103.232.152.0/21
NP,103.232.224.0/21
NP,103.233.56.0/21
NP,103.233.182.0/23
NP,103.235.192.0/21
NP,103.243.100.0/22
NP,103.246.64.0/22
NP,103.250.132.0/22
NP,103.250.134.0/23
NP,103.254.176.0/21
NP,103.254.184.0/21
NP,103.255.126.0/23
NP,110.34.0.0/18
NP,110.44.96.0/19
NP,111.119.0.0/18
NP,113.199.0.0/16
NP,116.66.192.0/20
NP,116.68.208.0/20
NP,116.90.224.0/19
NP,117.103.116.0/22
NP,117.121.224.0/19
NP,118.91.160.0/19
NP,120.89.64.0/18
NP,124.41.128.0/17
NP,139.5.64.0/21
NP,139.5.72.0/21
NP,150.107.104.0/22
NP,150.107.200.0/21
NP,157.10.100.0/22
NP,157.15.56.0/22
NP,160.22.164.0/22
NP,160.30.32.0/22
NP,160.30.132.0/23
NP,160.30.180.0/22
NP,160.250.252.0/22
NP,161.248.156.0/22
NP,161.248.216.0/22
NP,163.47.144.0/21
NP,163.53.24.0/22
NP,163.61.40.0/22
NP,163.61.116.0/22
NP,163.61.248.0/22
NP,163.223.96.0/22
NP,163.223.232.0/22
NP,163.227.8.0/22
NP,163.227.168.0/22
NP,165.99.0.0/22
NP,165.99.60.0/22
NP,182.50.64.0/21
NP,182.54.152.0/21
NP,182.93.64.0/18
NP,183.91.128.0/21
NP,202.45.144.0/21
NP,202.50.76.0/22
NP,202.51.0.0/21
NP,202.51.64.0/20
NP,202.51.78.0/23
NP,202.51.80.0/21
NP,202.51.86.0/23
NP,202.51.88.0/22
NP,202.51.88.0/21
NP,202.52.0.0/22
NP,202.53.0.0/21
NP,202.63.240.0/20
NP,202.70.64.0/18
NP,202.79.0.0/18
NP,202.94.66.0/23
NP,202.129.248.0/21
NP,202.166.192.0/18
NP,203.9.208.0/22
NP,203.78.164.0/23
NP,203.119.88.0/22
NP,203.134.248.0/22
NP,212.32.28.0/22
NP,212.32.40.0/22
NP,212.32.44.0/22
NP,212.32.52.0/22
