country,cidr
OM,5.20.0.0/15
OM,5.32.128.0/17
OM,5.36.0.0/14
OM,5.102.176.0/20
OM,5.162.0.0/15
OM,37.28.0.0/16
OM,37.40.0.0/14
OM,37.200.0.0/16
OM,45.95.240.0/21
OM,45.131.136.0/21
OM,45.135.88.0/21
OM,45.140.104.0/21
OM,45.148.200.0/21
OM,46.40.128.0/17
OM,46.255.48.0/20
OM,62.61.128.0/18
OM,62.231.128.0/17
OM,77.83.56.0/21
OM,78.111.32.0/19
OM,82.178.0.0/18
OM,82.178.32.0/22
OM,82.178.32.0/21
OM,82.178.32.0/20
OM,82.178.32.0/19
OM,82.178.0.0/17
OM,82.178.128.0/19
OM,82.178.128.0/18
OM,82.178.128.0/17
OM,84.242.32.0/19
OM,85.154.0.0/15
OM,87.121.160.0/20
OM,91.132.64.0/21
OM,94.176.0.0/19
OM,94.185.0.0/17
OM,96.9.128.0/18
OM,134.0.128.0/17
OM,134.0.192.0/18
OM,141.105.160.0/20
OM,145.255.0.0/17
OM,148.150.0.0/15
OM,178.20.16.0/20
OM,185.1.190.0/23
OM,185.6.216.0/21
OM,185.27.88.0/21
OM,185.29.136.0/21
OM,185.53.240.0/21
OM,185.64.24.0/21
OM,185.69.0.0/23
OM,185.112.104.0/21
OM,185.123.144.0/21
OM,185.143.64.0/21
OM,185.186.200.0/21
OM,185.226.120.0/21
OM,185.233.168.0/21
OM,185.255.200.0/21
OM,188.65.16.0/20
OM,188.66.0.0/16
OM,188.135.0.0/16
OM,188.140.0.0/16
OM,193.3.36.0/23
OM,193.56.120.0/21
OM,193.203.254.0/23
OM,194.26.102.0/23
OM,195.245.84.0/23
OM,199.48.224.0/23
OM,206.167.32.0/23
OM,212.72.0.0/18
OM,212.146.128.0/18
OM,213.202.0.0/20
OM,213.202.0.0/19
