country,cidr
PA,5.252.152.0/21
PA,23.137.100.0/23
PA,31.7.48.0/20
PA,45.65.252.0/22
PA,45.68.104.0/23
PA,45.180.20.0/22
PA,45.181.64.0/21
PA,45.182.188.0/23
PA,45.183.40.0/23
PA,45.185.128.0/21
PA,45.188.248.0/21
PA,45.225.68.0/22
PA,45.225.74.0/23
PA,45.225.134.0/23
PA,45.227.248.0/21
PA,45.229.56.0/21
PA,45.229.192.0/21
PA,45.235.226.0/23
PA,45.237.184.0/21
PA,46.19.128.0/20
PA,77.73.176.0/20
PA,81.17.0.0/19
PA,92.62.192.0/19
PA,92.249.32.0/21
PA,103.86.96.0/21
PA,103.173.148.0/22
PA,116.204.192.0/21
PA,131.72.224.0/21
PA,131.100.0.0/21
PA,131.108.0.0/21
PA,131.108.16.0/21
PA,131.221.24.0/21
PA,138.99.136.0/21
PA,138.99.144.0/21
PA,138.118.120.0/21
PA,138.186.8.0/21
PA,138.186.88.0/21
PA,138.204.104.0/21
PA,141.98.80.0/21
PA,141.255.160.0/20
PA,143.202.152.0/21
PA,143.255.152.0/21
PA,160.20.246.0/23
PA,164.163.8.0/21
PA,164.163.240.0/21
PA,167.250.112.0/21
PA,168.76.0.0/15
PA,168.121.128.0/21
PA,168.205.8.0/21
PA,170.79.104.0/21
PA,170.82.246.0/23
PA,170.231.232.0/21
PA,170.246.216.0/21
PA,170.247.152.0/21
PA,170.254.48.0/21
PA,179.0.192.0/22
PA,179.0.200.0/22
PA,179.43.128.0/17
PA,179.63.192.0/20
PA,181.38.0.0/15
PA,181.174.160.0/21
PA,181.176.0.0/14
PA,181.197.0.0/16
PA,185.12.40.0/21
PA,185.72.144.0/21
PA,185.135.44.0/23
PA,185.143.216.0/21
PA,185.190.24.0/23
PA,186.5.128.0/18
PA,186.72.0.0/13
PA,186.148.96.0/19
PA,186.159.112.0/21
PA,186.179.96.0/19
PA,186.188.0.0/16
PA,190.2.224.0/19
PA,190.5.192.0/18
PA,190.9.32.0/19
PA,190.14.32.0/21
PA,190.14.192.0/18
PA,190.32.0.0/13
PA,190.57.32.0/19
PA,190.97.160.0/20
PA,190.102.48.0/20
PA,190.105.152.0/21
PA,190.105.168.0/21
PA,190.106.224.0/21
PA,190.109.0.0/18
PA,190.114.0.0/18
PA,190.122.160.0/19
PA,190.122.184.0/21
PA,190.123.40.0/21
PA,190.123.224.0/19
PA,190.140.0.0/14
PA,190.211.248.0/21
PA,190.216.0.0/14
PA,191.98.192.0/21
PA,194.50.192.0/21
PA,194.165.16.0/22
PA,195.189.240.0/22
PA,199.26.234.0/23
PA,200.0.178.0/23
PA,200.3.192.0/20
PA,200.6.52.0/23
PA,200.6.78.0/23
PA,200.6.144.0/20
PA,200.10.14.0/23
PA,200.10.144.0/23
PA,200.10.202.0/23
PA,200.12.208.0/20
PA,200.14.118.0/23
PA,200.33.124.0/23
PA,200.46.0.0/15
PA,200.71.80.0/22
PA,200.74.240.0/20
PA,200.75.128.0/17
PA,200.90.128.0/19
PA,200.108.0.0/18
PA,200.115.18.0/23
PA,200.115.128.0/18
PA,200.115.176.0/23
PA,200.124.0.0/18
PA,201.131.48.0/23
PA,201.131.144.0/21
PA,201.218.0.0/17
PA,201.218.128.0/17
PA,201.221.192.0/18
PA,201.224.0.0/13
PA,203.21.66.0/23
PA,206.224.0.0/18
PA,208.89.84.0/22
