country,cidr
PE,45.5.56.0/21
PE,45.5.64.0/21
PE,45.65.248.0/21
PE,45.68.22.0/23
PE,45.68.56.0/21
PE,45.71.32.0/21
PE,45.167.224.0/21
PE,45.169.32.0/21
PE,45.169.56.0/21
PE,45.169.88.0/21
PE,45.169.96.0/21
PE,45.170.48.0/21
PE,45.171.160.0/21
PE,45.172.8.0/21
PE,45.173.72.0/21
PE,45.173.200.0/21
PE,45.177.16.0/21
PE,45.177.196.0/22
PE,45.178.192.0/21
PE,45.182.32.0/21
PE,45.183.40.0/21
PE,45.183.104.0/22
PE,45.183.104.0/21
PE,45.185.184.0/22
PE,45.186.248.0/21
PE,45.189.104.0/21
PE,45.189.116.0/22
PE,45.189.184.0/21
PE,45.190.170.0/23
PE,45.191.96.0/21
PE,45.191.192.0/21
PE,45.224.144.0/21
PE,45.226.64.0/21
PE,45.227.16.0/21
PE,45.230.192.0/21
PE,45.230.248.0/21
PE,45.231.32.0/21
PE,45.231.72.0/21
PE,45.231.80.0/21
PE,45.232.104.0/21
PE,45.232.144.0/21
PE,45.232.192.0/21
PE,45.236.40.0/21
PE,45.236.172.0/22
PE,45.236.224.0/21
PE,45.237.168.0/21
PE,45.239.20.0/22
PE,131.161.96.0/21
PE,131.255.136.0/21
PE,131.255.192.0/21
PE,132.156.0.0/15
PE,132.184.0.0/15
PE,132.190.0.0/15
PE,132.251.0.0/16
PE,132.255.0.0/21
PE,138.36.144.0/22
PE,138.36.146.0/23
PE,138.59.64.0/21
PE,138.117.160.0/21
PE,138.185.112.0/21
PE,138.186.72.0/21
PE,138.204.8.0/21
PE,138.204.168.0/21
PE,143.0.248.0/21
PE,143.137.144.0/21
PE,143.208.128.0/21
PE,148.102.0.0/16
PE,148.222.112.0/20
PE,148.222.228.0/22
PE,161.132.0.0/15
PE,164.163.184.0/22
PE,164.163.240.0/23
PE,167.249.8.0/21
PE,167.250.200.0/21
PE,168.0.8.0/21
PE,168.121.40.0/21
PE,168.121.48.0/21
PE,168.121.216.0/21
PE,168.121.232.0/21
PE,168.181.8.0/21
PE,168.194.96.0/21
PE,168.205.128.0/21
PE,170.0.80.0/21
PE,170.0.232.0/21
PE,170.79.32.0/21
PE,170.81.240.0/21
PE,170.82.96.0/21
PE,170.231.80.0/21
PE,170.231.168.0/21
PE,170.233.144.0/21
PE,170.239.96.0/21
PE,170.246.56.0/21
PE,170.254.232.0/21
PE,177.53.152.0/21
PE,177.67.250.0/23
PE,177.73.252.0/22
PE,177.91.240.0/20
PE,177.126.48.0/21
PE,177.128.200.0/22
PE,177.221.144.0/21
PE,179.0.96.0/21
PE,179.1.128.0/19
PE,179.4.0.0/14
PE,179.43.64.0/19
PE,179.43.96.0/21
PE,179.48.48.0/21
PE,179.49.64.0/20
PE,179.49.152.0/21
PE,179.51.160.0/21
PE,179.60.200.0/21
PE,179.63.0.0/21
PE,181.64.0.0/13
PE,181.174.224.0/21
PE,181.176.0.0/15
PE,181.177.192.0/18
PE,181.199.128.0/19
PE,181.224.32.0/21
PE,181.224.200.0/21
PE,181.224.220.0/22
PE,181.224.192.0/18
PE,181.233.8.0/21
PE,181.233.24.0/21
PE,181.233.152.0/22
PE,181.233.128.0/17
PE,186.64.120.0/21
PE,186.148.192.0/21
PE,186.160.0.0/13
PE,187.86.160.0/21
PE,187.102.208.0/21
PE,189.84.52.0/22
PE,190.8.128.0/18
PE,190.12.64.0/18
PE,190.40.0.0/13
PE,190.52.96.0/19
PE,190.80.0.0/15
PE,190.83.60.0/22
PE,190.89.28.0/23
PE,190.102.128.0/18
PE,190.105.224.0/19
PE,190.107.176.0/21
PE,190.108.64.0/19
PE,190.113.192.0/18
PE,190.114.248.0/21
PE,190.112.0.0/13
PE,190.151.132.0/23
PE,190.186.0.0/15
PE,190.220.0.0/14
PE,190.224.0.0/12
PE,191.52.208.0/21
PE,191.97.16.0/21
PE,191.97.32.0/19
PE,191.97.96.0/21
PE,191.98.128.0/17
PE,192.75.4.0/23
PE,192.102.84.0/23
PE,192.141.40.0/21
PE,192.141.96.0/22
PE,200.0.106.0/23
PE,200.0.110.0/23
PE,200.0.116.0/22
PE,200.0.136.0/23
PE,200.0.142.0/23
PE,200.0.160.0/21
PE,200.0.168.0/21
PE,200.1.176.0/20
PE,200.3.194.0/23
PE,200.3.240.0/23
PE,200.4.128.0/17
PE,200.10.64.0/18
PE,200.10.128.0/22
PE,200.10.188.0/23
PE,200.10.250.0/23
PE,200.11.32.0/23
PE,200.11.32.0/22
PE,200.11.32.0/21
PE,200.11.32.0/19
PE,200.16.0.0/20
PE,200.24.128.0/18
PE,200.31.64.0/18
PE,200.36.156.0/22
PE,200.36.0.0/15
PE,200.39.56.0/21
PE,200.39.148.0/22
PE,200.39.152.0/21
PE,200.48.0.0/15
PE,200.49.240.0/21
PE,200.60.0.0/15
PE,200.62.0.0/16
PE,200.89.0.0/18
PE,200.106.0.0/16
PE,200.107.128.0/17
PE,200.108.96.0/19
PE,200.110.0.0/18
PE,200.115.16.0/21
PE,200.120.0.0/15
PE,200.123.0.0/18
PE,200.123.62.0/23
PE,200.123.224.0/21
PE,200.126.48.0/21
PE,200.126.48.0/20
PE,200.192.104.0/23
PE,200.215.224.0/21
PE,200.215.248.0/21
PE,200.233.40.0/21
PE,201.130.24.0/21
PE,201.131.66.0/23
