country,cidr
PH,1.36.0.0/15
PH,2.58.224.0/21
PH,14.102.168.0/21
PH,27.48.0.0/15
PH,27.50.0.0/21
PH,27.106.208.0/20
PH,27.108.0.0/15
PH,27.109.64.0/18
PH,27.110.0.0/16
PH,27.126.152.0/21
PH,36.50.30.0/23
PH,36.50.58.0/23
PH,36.50.108.0/22
PH,36.255.56.0/21
PH,36.255.104.0/22
PH,36.255.240.0/21
PH,43.224.184.0/21
PH,43.226.0.0/21
PH,43.231.224.0/21
PH,43.243.120.0/21
PH,43.247.16.0/21
PH,43.250.224.0/21
PH,43.251.64.0/21
PH,43.254.56.0/21
PH,43.255.216.0/21
PH,45.64.80.0/21
PH,45.64.120.0/21
PH,45.112.80.0/22
PH,45.114.16.0/21
PH,45.114.128.0/21
PH,45.115.224.0/21
PH,45.118.32.0/21
PH,45.120.104.0/21
PH,45.124.16.0/21
PH,45.124.56.0/21
PH,45.125.248.0/21
PH,45.126.80.0/21
PH,45.127.160.0/21
PH,45.249.226.0/23
PH,45.250.152.0/21
PH,45.251.24.0/21
PH,49.144.0.0/12
PH,49.156.0.0/15
PH,58.68.0.0/15
PH,58.71.0.0/16
PH,58.97.128.0/18
PH,61.9.0.0/16
PH,61.14.192.0/20
PH,61.28.128.0/17
PH,61.245.0.0/18
PH,61.245.120.0/21
PH,64.224.20.0/23
PH,64.224.64.0/18
PH,64.224.128.0/19
PH,64.226.48.0/20
PH,82.100.176.0/20
PH,87.121.116.0/23
PH,95.87.112.0/20
PH,103.1.112.0/21
PH,103.3.80.0/21
PH,103.5.0.0/20
PH,103.5.56.0/21
PH,103.6.88.0/23
PH,103.6.96.0/21
PH,103.6.104.0/23
PH,103.6.180.0/23
PH,103.7.146.0/23
PH,103.7.224.0/23
PH,103.10.152.0/21
PH,103.10.176.0/21
PH,103.10.200.0/21
PH,103.11.40.0/21
PH,103.11.112.0/21
PH,103.12.88.0/21
PH,103.13.134.0/23
PH,103.13.182.0/23
PH,103.13.184.0/22
PH,103.14.56.0/21
PH,103.14.194.0/23
PH,103.16.168.0/21
PH,103.17.16.0/21
PH,103.17.148.0/22
PH,103.18.64.0/21
PH,103.18.224.0/21
PH,103.19.16.0/23
PH,103.19.32.0/21
PH,103.21.8.0/21
PH,103.21.168.0/21
PH,103.22.152.0/21
PH,103.23.94.0/23
PH,103.25.8.0/22
PH,103.25.176.0/21
PH,103.25.196.0/22
PH,103.25.220.0/23
PH,103.26.32.0/21
PH,103.27.120.0/22
PH,103.28.200.0/22
PH,103.29.16.0/21
PH,103.29.248.0/22
PH,103.30.8.0/22
PH,103.31.72.0/21
PH,103.36.16.0/21
PH,103.37.48.0/21
PH,103.38.150.0/23
PH,103.38.168.0/21
PH,103.38.188.0/23
PH,103.38.208.0/21
PH,103.39.144.0/22
PH,103.40.0.0/22
PH,103.40.164.0/22
PH,103.41.8.0/22
PH,103.42.88.0/21
PH,103.42.96.0/21
PH,103.42.136.0/21
PH,103.43.208.0/21
PH,103.45.252.0/22
PH,103.47.228.0/22
PH,103.49.36.0/23
PH,103.49.146.0/23
PH,103.52.62.0/23
PH,103.53.56.0/21
PH,103.53.152.0/22
PH,103.53.216.0/21
PH,103.54.80.0/21
PH,103.56.0.0/21
PH,103.56.128.0/21
PH,103.57.226.0/23
PH,103.60.168.0/21
PH,103.60.184.0/23
PH,103.60.248.0/21
PH,103.61.216.0/21
PH,103.62.0.0/21
PH,103.62.28.0/22
PH,103.62.152.0/21
PH,103.63.102.0/23
PH,103.65.116.0/22
PH,103.65.184.0/21
PH,103.65.220.0/22
PH,103.66.88.0/21
PH,103.66.140.0/22
PH,103.66.220.0/22
PH,103.67.164.0/23
PH,103.67.224.0/21
PH,103.67.232.0/22
PH,103.67.248.0/23
PH,103.68.152.0/21
PH,103.69.108.0/23
PH,103.69.198.0/23
PH,103.69.254.0/23
PH,103.71.88.0/21
PH,103.72.56.0/22
PH,103.72.184.0/21
PH,103.73.58.0/23
PH,103.73.64.0/21
PH,103.75.22.0/23
PH,103.76.160.0/22
PH,103.77.128.0/23
PH,103.78.220.0/22
PH,103.79.108.0/22
PH,103.80.136.0/21
PH,103.82.44.0/22
PH,103.82.112.0/21
PH,103.83.40.0/21
PH,103.83.224.0/21
PH,103.83.236.0/22
PH,103.84.176.0/22
PH,103.85.134.0/23
PH,103.86.120.0/21
PH,103.86.184.0/21
PH,103.88.42.0/23
PH,103.88.64.0/21
PH,103.89.232.0/21
PH,103.90.202.0/23
PH,103.91.136.0/21
PH,103.92.144.0/21
PH,103.93.216.0/21
PH,103.95.144.0/21
PH,103.95.212.0/22
PH,103.95.232.0/22
PH,103.99.160.0/21
PH,103.100.100.0/22
PH,103.100.104.0/21
PH,103.100.136.0/22
PH,103.101.40.0/21
PH,103.102.120.0/21
PH,103.103.0.0/23
PH,103.104.16.0/21
PH,103.104.96.0/21
PH,103.105.88.0/21
PH,103.105.208.0/21
PH,103.107.80.0/21
PH,103.107.152.0/21
PH,103.109.184.0/22
PH,103.109.248.0/21
PH,103.110.40.0/21
PH,103.110.74.0/23
PH,103.113.180.0/22
PH,103.114.8.0/23
PH,103.114.196.0/22
PH,103.115.32.0/23
PH,103.117.116.0/22
PH,103.117.140.0/23
PH,103.119.92.0/23
PH,103.119.132.0/22
PH,103.119.136.0/23
PH,103.120.4.0/22
PH,103.120.8.0/21
PH,103.120.68.0/23
PH,103.121.64.0/22
PH,103.121.80.0/21
PH,103.122.180.0/22
PH,103.123.40.0/21
PH,103.123.144.0/21
PH,103.125.144.0/21
PH,103.125.156.0/22
PH,103.127.18.0/23
PH,103.129.124.0/22
PH,103.131.94.0/23
PH,103.131.192.0/23
PH,103.131.220.0/23
PH,103.132.124.0/23
PH,103.132.168.0/23
PH,103.133.80.0/22
PH,103.134.12.0/23
PH,103.136.104.0/21
PH,103.136.160.0/21
PH,103.136.168.0/23
PH,103.136.180.0/22
PH,103.137.164.0/23
PH,103.137.176.0/22
PH,103.137.200.0/21
PH,103.137.208.0/22
PH,103.137.210.0/23
PH,103.137.216.0/21
PH,103.138.94.0/23
PH,103.138.184.0/22
PH,103.139.80.0/23
PH,103.139.248.0/23
PH,103.140.148.0/22
PH,103.140.168.0/23
PH,103.141.28.0/23
PH,103.141.100.0/22
PH,103.141.122.0/23
PH,103.141.200.0/22
PH,103.141.224.0/22
PH,103.142.118.0/23
PH,103.142.216.0/22
PH,103.144.0.0/22
PH,103.144.4.0/22
PH,103.144.156.0/22
PH,103.145.158.0/23
PH,103.145.186.0/23
PH,103.145.204.0/22
PH,103.146.58.0/23
PH,103.146.74.0/23
PH,103.146.204.0/22
PH,103.148.60.0/23
PH,103.148.104.0/22
PH,103.148.224.0/22
PH,103.148.244.0/22
PH,103.149.36.0/22
PH,103.149.48.0/22
PH,103.149.100.0/22
PH,103.150.200.0/22
PH,103.150.220.0/22
PH,103.151.28.0/22
PH,103.152.4.0/23
PH,103.152.8.0/23
PH,103.152.60.0/22
PH,103.152.84.0/22
PH,103.152.212.0/22
PH,103.152.216.0/22
PH,103.153.232.0/22
PH,103.154.44.0/22
PH,103.154.60.0/22
PH,103.154.250.0/23
PH,103.155.88.0/22
PH,103.156.36.0/23
PH,103.158.32.0/22
PH,103.158.92.0/22
PH,103.159.4.0/22
PH,103.159.24.0/22
PH,103.159.252.0/23
PH,103.161.60.0/22
PH,103.161.240.0/22
PH,103.161.248.0/22
PH,103.162.126.0/23
PH,103.163.120.0/22
PH,103.163.140.0/22
PH,103.164.144.0/22
PH,103.166.30.0/23
PH,103.166.168.0/22
PH,103.166.248.0/22
PH,103.167.66.0/23
PH,103.167.116.0/23
PH,103.167.160.0/22
PH,103.167.252.0/22
PH,103.168.8.0/22
PH,103.168.16.0/23
PH,103.168.36.0/22
PH,103.168.136.0/22
PH,103.168.152.0/23
PH,103.169.68.0/22
PH,103.170.16.0/22
PH,103.170.62.0/23
PH,103.170.126.0/23
PH,103.170.128.0/22
PH,103.171.20.0/22
PH,103.171.88.0/23
PH,103.171.236.0/22
PH,103.171.248.0/23
PH,103.173.4.0/22
PH,103.173.108.0/22
PH,103.173.188.0/22
PH,103.174.12.0/23
PH,103.176.54.0/23
PH,103.176.112.0/22
PH,103.176.200.0/22
PH,103.176.204.0/22
PH,103.176.226.0/23
PH,103.177.208.0/22
PH,103.178.100.0/22
PH,103.179.144.0/22
PH,103.180.50.0/23
PH,103.180.200.0/22
PH,103.183.94.0/23
PH,103.183.192.0/22
PH,103.183.244.0/22
PH,103.185.218.0/23
PH,103.186.104.0/22
PH,103.186.136.0/22
PH,103.186.144.0/22
PH,103.186.156.0/23
PH,103.186.204.0/22
PH,103.186.234.0/23
PH,103.187.28.0/22
PH,103.187.140.0/22
PH,103.188.40.0/22
PH,103.188.84.0/22
PH,103.190.136.0/22
PH,103.191.104.0/22
PH,103.191.108.0/22
PH,103.192.120.0/21
PH,103.192.184.0/21
PH,103.193.164.0/23
PH,103.196.56.0/21
PH,103.196.104.0/21
PH,103.196.128.0/21
PH,103.196.136.0/21
PH,103.196.176.0/22
PH,103.197.80.0/21
PH,103.197.200.0/21
PH,103.200.32.0/21
PH,103.203.48.0/21
PH,103.204.12.0/23
PH,103.206.80.0/21
PH,103.206.158.0/23
PH,103.207.158.0/23
PH,103.208.64.0/23
PH,103.208.66.0/23
PH,103.208.88.0/22
PH,103.210.8.0/22
PH,103.210.112.0/22
PH,103.210.222.0/23
PH,103.214.8.0/21
PH,103.218.96.0/21
PH,103.219.64.0/21
PH,103.219.184.0/21
PH,103.221.64.0/22
PH,103.224.92.0/22
PH,103.225.32.0/21
PH,103.225.136.0/21
PH,103.226.8.0/21
PH,103.226.24.0/22
PH,103.227.0.0/22
PH,103.227.40.0/21
PH,103.227.232.0/23
PH,103.228.102.0/23
PH,103.229.88.0/23
PH,103.229.104.0/21
PH,103.229.188.0/22
PH,103.230.8.0/21
PH,103.230.112.0/21
PH,103.231.32.0/21
PH,103.231.134.0/23
PH,103.231.240.0/21
PH,103.233.32.0/20
PH,103.236.176.0/21
PH,103.239.148.0/22
PH,103.239.200.0/21
PH,103.240.120.0/21
PH,103.243.232.0/23
PH,103.244.24.0/21
PH,103.244.192.0/22
PH,103.245.156.0/23
PH,103.246.16.0/21
PH,103.247.36.0/22
PH,103.247.248.0/21
PH,103.248.142.0/23
PH,103.249.196.0/22
PH,103.249.202.0/23
PH,103.250.62.0/23
PH,103.250.76.0/23
PH,103.250.196.0/22
PH,103.252.32.0/21
PH,103.252.176.0/21
PH,103.253.184.0/21
PH,103.254.214.0/23
PH,103.255.152.0/21
PH,104.255.32.0/21
PH,110.5.64.0/20
PH,110.50.224.0/19
PH,110.54.0.0/16
PH,110.54.0.0/15
PH,110.92.16.0/20
PH,110.93.64.0/18
PH,110.235.128.0/17
PH,111.68.0.0/18
PH,111.90.128.0/17
PH,111.125.0.0/17
PH,111.235.64.0/19
PH,112.78.32.0/19
PH,112.196.192.0/18
PH,112.198.0.0/15
PH,112.192.0.0/12
PH,112.208.0.0/13
PH,113.18.0.0/15
PH,113.20.144.0/20
PH,113.61.0.0/18
PH,113.197.64.0/20
PH,113.212.76.0/22
PH,113.212.176.0/20
PH,114.108.128.0/17
PH,114.141.208.0/20
PH,114.198.128.0/18
PH,115.42.112.0/20
PH,115.84.192.0/18
PH,115.85.0.0/17
PH,115.146.0.0/16
PH,115.146.0.0/15
PH,115.187.24.0/22
PH,116.50.0.0/16
PH,116.66.240.0/20
PH,116.89.240.0/21
PH,116.93.0.0/16
PH,116.206.104.0/21
PH,116.206.224.0/21
PH,117.58.192.0/18
PH,117.103.112.0/22
PH,117.104.224.0/19
PH,118.88.0.0/20
PH,119.2.32.0/20
PH,119.63.0.0/22
PH,119.88.0.0/13
PH,119.110.0.0/15
PH,120.28.0.0/15
PH,120.29.0.0/17
PH,120.72.0.0/19
PH,120.89.0.0/17
PH,121.1.0.0/17
PH,121.54.0.0/16
PH,121.58.128.0/17
PH,121.96.0.0/14
PH,121.127.0.0/18
PH,122.0.0.0/14
PH,122.49.192.0/19
PH,122.48.0.0/13
PH,122.144.0.0/17
PH,123.108.96.0/19
PH,123.136.64.0/20
PH,123.176.64.0/20
PH,123.253.48.0/21
PH,123.253.136.0/21
PH,123.255.224.0/20
PH,124.6.128.0/17
PH,124.19.0.0/16
PH,124.83.0.0/16
PH,124.104.0.0/13
PH,124.158.0.0/18
PH,124.217.0.0/16
PH,125.4.0.0/15
PH,125.60.0.0/16
PH,125.212.0.0/16
PH,126.209.0.0/17
PH,130.104.0.0/15
PH,131.226.0.0/17
PH,136.158.0.0/15
PH,136.239.0.0/16
PH,138.84.0.0/17
PH,138.84.128.0/18
PH,138.84.192.0/20
PH,139.135.0.0/17
PH,139.135.0.0/16
PH,143.8.0.0/15
PH,143.44.0.0/16
PH,144.48.24.0/21
PH,144.48.200.0/21
PH,146.88.64.0/19
PH,147.185.168.0/23
PH,152.32.0.0/17
PH,155.137.0.0/17
PH,157.10.32.0/22
PH,157.10.204.0/22
PH,157.15.50.0/23
PH,157.15.140.0/22
PH,157.15.212.0/23
PH,157.20.8.0/22
PH,157.20.140.0/22
PH,158.62.0.0/16
PH,160.20.40.0/21
PH,160.20.116.0/22
PH,160.20.124.0/22
PH,160.22.130.0/23
PH,160.22.138.0/23
PH,160.22.144.0/23
PH,160.22.180.0/22
PH,160.25.92.0/22
PH,160.25.184.0/22
PH,160.25.208.0/22
PH,160.25.228.0/22
PH,160.30.0.0/22
PH,160.30.24.0/22
PH,160.30.68.0/22
PH,160.30.92.0/22
PH,160.30.110.0/23
PH,160.30.140.0/23
PH,160.30.164.0/22
PH,160.187.12.0/22
PH,160.187.30.0/23
PH,160.187.112.0/23
PH,160.187.214.0/23
PH,160.187.220.0/22
PH,160.191.24.0/22
PH,160.191.36.0/22
PH,160.250.4.0/22
PH,160.250.20.0/22
PH,160.250.44.0/22
PH,160.250.72.0/23
PH,160.250.156.0/22
PH,160.250.172.0/22
PH,160.250.248.0/22
PH,161.49.0.0/16
PH,161.49.192.0/18
PH,161.248.24.0/23
PH,161.248.36.0/23
PH,161.248.56.0/22
PH,161.248.126.0/23
PH,161.248.128.0/22
PH,161.248.168.0/22
PH,161.248.188.0/22
PH,163.61.86.0/23
PH,163.61.92.0/22
PH,163.61.134.0/23
PH,163.61.254.0/23
PH,163.223.28.0/22
PH,163.223.76.0/23
PH,163.223.80.0/22
PH,163.223.88.0/22
PH,163.223.96.0/23
PH,163.223.104.0/23
PH,163.223.108.0/22
PH,163.223.114.0/23
PH,163.223.200.0/22
PH,163.227.86.0/23
PH,163.227.100.0/23
PH,163.227.116.0/22
PH,163.227.120.0/22
PH,163.227.166.0/23
PH,163.227.240.0/23
PH,163.227.240.0/21
PH,165.99.36.0/22
PH,165.99.48.0/23
PH,165.99.112.0/22
PH,165.99.136.0/22
PH,165.99.180.0/23
PH,165.220.0.0/16
PH,175.158.128.0/17
PH,175.176.0.0/16
PH,180.94.32.0/21
PH,180.188.0.0/14
PH,180.192.0.0/13
PH,180.232.0.0/15
PH,182.16.128.0/20
PH,182.18.128.0/17
PH,182.239.32.0/20
PH,182.255.40.0/21
PH,183.177.112.0/20
PH,183.182.64.0/19
PH,185.115.160.0/21
PH,185.126.120.0/21
PH,185.146.208.0/21
PH,185.212.120.0/21
PH,185.251.168.0/21
PH,192.82.48.0/21
PH,192.112.242.0/23
PH,192.153.220.0/23
PH,192.153.220.0/22
PH,192.153.224.0/21
PH,192.169.32.0/22
PH,192.169.36.0/23
PH,192.169.40.0/23
PH,192.188.174.0/23
PH,192.189.222.0/23
PH,192.197.188.0/23
PH,192.227.0.0/23
PH,192.227.0.0/22
PH,192.227.0.0/21
PH,192.227.0.0/20
PH,198.200.0.0/23
PH,198.200.0.0/22
PH,202.0.0.0/19
PH,202.0.90.0/23
PH,202.0.116.0/23
PH,202.0.144.0/21
PH,202.4.0.0/19
PH,202.4.174.0/23
PH,202.4.190.0/23
PH,202.8.30.0/23
PH,202.8.96.0/21
PH,202.8.192.0/18
PH,202.14.84.0/23
PH,202.14.84.0/22
PH,202.36.28.0/23
PH,202.37.132.0/23
PH,202.40.168.0/21
PH,202.41.146.0/23
PH,202.43.224.0/23
PH,202.47.188.0/22
PH,202.49.32.0/23
PH,202.52.160.0/19
PH,202.57.0.0/18
PH,202.57.0.0/17
PH,202.58.236.0/22
PH,202.60.0.0/20
PH,202.61.64.0/21
PH,202.61.110.0/23
PH,202.65.160.0/19
PH,202.69.128.0/18
PH,202.71.176.0/22
PH,202.71.178.0/23
PH,202.71.186.0/23
PH,202.71.190.0/23
PH,202.73.128.0/18
PH,202.74.248.0/21
PH,202.78.0.0/17
PH,202.81.160.0/19
PH,202.84.64.0/18
PH,202.86.192.0/19
PH,202.89.192.0/19
PH,202.90.128.0/18
PH,202.91.160.0/19
PH,202.92.128.0/18
PH,202.95.224.0/19
PH,202.122.132.0/23
PH,202.123.32.0/19
PH,202.124.128.0/18
PH,202.124.192.0/23
PH,202.124.248.0/21
PH,202.125.100.0/22
PH,202.126.32.0/19
PH,202.128.0.0/18
PH,202.129.216.0/21
PH,202.129.238.0/23
PH,202.137.96.0/19
PH,202.138.128.0/17
PH,202.151.32.0/22
PH,202.162.160.0/19
PH,202.163.128.0/17
PH,202.164.128.0/18
PH,202.165.60.0/22
PH,202.166.184.0/21
PH,202.173.6.0/23
PH,202.175.128.0/17
PH,202.183.32.0/19
PH,203.5.76.0/23
PH,203.17.12.0/23
PH,203.20.116.0/23
PH,203.26.204.0/23
PH,203.28.64.0/21
PH,203.33.196.0/23
PH,203.34.246.0/23
PH,203.55.66.0/23
PH,203.56.240.0/23
PH,203.57.32.0/22
PH,203.76.192.0/19
PH,203.82.32.0/19
PH,203.84.128.0/18
PH,203.87.0.0/16
PH,203.92.0.0/20
PH,203.96.176.0/21
PH,203.96.240.0/21
PH,203.99.224.0/20
PH,203.104.64.0/18
