country,cidr
PL,2.56.64.0/21
PL,2.57.8.0/21
PL,2.57.128.0/21
PL,2.57.136.0/21
PL,2.57.208.0/21
PL,2.58.104.0/21
PL,2.58.216.0/21
PL,2.59.128.0/21
PL,5.39.192.0/20
PL,5.57.128.0/17
PL,5.57.214.0/23
PL,5.63.184.0/23
PL,5.63.184.0/22
PL,5.63.184.0/21
PL,5.102.32.0/20
PL,5.102.64.0/20
PL,5.104.240.0/20
PL,5.133.0.0/20
PL,5.133.114.0/23
PL,5.133.240.0/20
PL,5.134.64.0/19
PL,5.134.208.0/20
PL,5.149.160.0/20
PL,5.149.192.0/20
PL,5.152.160.0/20
PL,5.172.176.0/20
PL,5.172.192.0/18
PL,5.172.0.0/15
PL,5.181.184.0/21
PL,5.182.136.0/21
PL,5.183.162.0/23
PL,5.183.192.0/21
PL,5.184.0.0/14
PL,5.187.48.0/20
PL,5.201.0.0/16
PL,5.206.224.0/19
PL,5.226.0.0/17
PL,5.226.128.0/20
PL,5.252.104.0/21
PL,5.252.200.0/21
PL,5.252.208.0/21
PL,5.252.224.0/21
PL,5.253.120.0/21
PL,31.0.0.0/15
PL,31.6.64.0/20
PL,31.6.0.0/16
PL,31.7.32.0/20
PL,31.11.0.0/16
PL,31.14.8.0/23
PL,31.14.72.0/21
PL,31.14.162.0/23
PL,31.22.96.0/20
PL,31.24.82.0/23
PL,31.25.240.0/20
PL,31.31.160.0/20
PL,31.41.16.0/20
PL,31.41.80.0/20
PL,31.41.128.0/20
PL,31.41.144.0/20
PL,31.41.160.0/20
PL,31.41.176.0/20
PL,31.41.208.0/20
PL,31.41.224.0/20
PL,31.42.0.0/18
PL,31.42.176.0/22
PL,31.43.176.0/22
PL,31.56.0.0/13
PL,31.128.0.0/18
PL,31.130.96.0/19
PL,31.130.208.0/20
PL,31.131.32.0/19
PL,31.131.160.0/20
PL,31.132.64.0/20
PL,31.133.0.0/20
PL,31.133.16.0/20
PL,31.134.32.0/19
PL,31.135.0.0/19
PL,31.135.160.0/19
PL,31.135.192.0/19
PL,31.172.128.0/20
PL,31.172.168.0/21
PL,31.172.160.0/19
