country,cidr
PR,23.128.16.0/23
PR,23.128.168.0/23
PR,23.129.176.0/23
PR,23.130.120.0/22
PR,23.130.144.0/23
PR,23.131.56.0/23
PR,23.131.82.0/23
PR,23.132.48.0/23
PR,23.132.152.0/23
PR,23.133.120.0/23
PR,23.134.8.0/23
PR,23.134.164.0/23
PR,23.136.112.0/23
PR,23.138.80.0/23
PR,23.138.88.0/23
PR,23.143.160.0/23
PR,23.144.104.0/23
PR,23.145.112.0/23
PR,23.150.240.0/23
PR,23.161.16.0/23
PR,23.162.64.0/23
PR,23.167.48.0/23
PR,23.167.80.0/22
PR,23.171.144.0/23
PR,23.172.32.0/23
PR,23.173.160.0/23
PR,23.179.192.0/22
PR,23.181.240.0/23
PR,23.182.144.0/23
PR,23.182.208.0/23
PR,23.184.168.0/23
PR,23.190.0.0/23
PR,23.249.128.0/19
PR,24.48.220.0/22
PR,45.33.192.0/22
PR,45.41.40.0/21
PR,52.128.24.0/21
PR,52.129.32.0/19
PR,63.131.224.0/19
PR,63.135.224.0/19
PR,64.89.0.0/19
PR,64.89.192.0/19
PR,64.93.64.0/21
PR,64.178.192.0/18
PR,64.185.192.0/18
PR,64.186.12.0/22
PR,64.237.0.0/16
PR,64.247.160.0/19
PR,65.23.128.0/17
PR,65.38.192.0/18
PR,66.50.0.0/15
PR,66.118.224.0/21
PR,66.212.60.0/22
PR,66.230.248.0/21
PR,66.231.160.0/19
PR,67.203.128.0/17
PR,67.206.128.0/17
PR,67.215.96.0/20
PR,67.224.0.0/16
PR,69.89.32.0/19
PR,70.35.128.0/19
PR,70.45.96.0/21
PR,70.45.144.0/21
PR,72.46.136.0/21
PR,72.46.152.0/21
PR,72.50.0.0/16
PR,72.249.208.0/20
PR,74.85.156.0/22
PR,74.119.24.0/21
PR,74.120.16.0/20
PR,76.72.224.0/19
PR,76.76.192.0/19
PR,103.44.72.0/21
PR,104.218.240.0/21
PR,104.219.24.0/21
PR,104.238.192.0/21
PR,104.238.232.0/22
PR,104.247.70.0/23
PR,104.254.160.0/20
PR,104.255.176.0/21
PR,134.202.0.0/15
PR,136.144.0.0/15
PR,136.175.224.0/21
PR,139.60.160.0/19
PR,140.235.216.0/21
PR,141.193.40.0/21
PR,147.92.80.0/20
PR,161.38.240.0/21
PR,162.12.224.0/20
PR,162.210.40.0/21
PR,162.221.180.0/23
PR,162.222.104.0/21
PR,162.244.16.0/21
PR,162.244.168.0/21
PR,162.246.168.0/21
PR,162.248.40.0/21
PR,162.251.152.0/21
PR,164.42.0.0/15
PR,165.140.160.0/21
PR,167.94.224.0/22
PR,169.197.130.0/23
PR,169.197.184.0/21
PR,170.205.8.0/21
PR,172.84.144.0/23
PR,172.93.0.0/22
PR,172.93.6.0/23
PR,172.96.168.0/21
PR,172.99.184.0/21
PR,173.211.128.0/17
PR,173.215.0.0/16
PR,173.225.64.0/20
PR,173.228.128.0/17
PR,173.243.64.0/19
PR,190.211.148.0/22
PR,192.25.114.0/23
PR,192.30.40.0/21
PR,192.48.112.0/23
PR,192.65.176.0/23
PR,192.69.40.0/21
PR,192.75.186.0/23
PR,192.81.122.0/23
PR,192.92.192.0/23
PR,192.101.168.0/23
PR,192.107.110.0/23
PR,192.135.108.0/22
PR,192.152.164.0/23
PR,192.158.60.0/22
PR,192.160.172.0/22
PR,192.160.176.0/23
PR,192.189.94.0/23
PR,192.203.0.0/23
PR,192.207.48.0/23
PR,192.228.96.0/22
PR,192.231.88.0/21
PR,192.231.96.0/22
PR,192.254.96.0/19
PR,196.1.2.0/23
PR,196.1.140.0/23
PR,196.3.8.0/21
PR,196.12.0.0/20
PR,196.12.128.0/18
PR,196.28.32.0/19
PR,196.32.128.0/18
PR,196.42.0.0/17
PR,198.52.240.0/21
PR,198.55.16.0/20
PR,198.190.136.0/22
PR,198.204.70.0/23
PR,198.204.72.0/23
PR,198.244.64.0/19
PR,198.245.138.0/23
PR,198.245.254.0/23
PR,199.7.168.0/21
PR,199.7.208.0/21
PR,199.71.92.0/23
PR,199.85.200.0/21
PR,199.91.72.0/21
PR,199.116.48.0/20
PR,199.119.248.0/21
PR,199.193.160.0/21
PR,199.247.80.0/21
PR,199.255.112.0/21
PR,200.5.0.0/22
PR,200.5.0.0/21
PR,200.5.8.0/23
PR,200.5.10.0/23
PR,200.5.0.0/19
PR,200.50.0.0/18
PR,204.15.144.0/20
PR,204.27.224.0/23
PR,204.77.8.0/22
PR,204.124.98.0/23
PR,204.138.0.0/23
PR,204.144.78.0/23
PR,204.154.228.0/23
PR,204.238.70.0/23
PR,206.51.0.0/23
PR,206.166.200.0/21
PR,206.168.248.0/22
PR,206.190.216.0/21
PR,207.150.224.0/19
PR,207.166.96.0/19
PR,207.167.80.0/21
PR,207.174.72.0/22
PR,207.174.136.0/23
PR,207.204.128.0/17
PR,208.54.160.0/19
PR,208.80.232.0/21
PR,208.81.56.0/22
PR,208.81.160.0/20
PR,208.83.38.0/23
PR,208.95.32.0/21
PR,208.99.8.0/21
PR,208.117.92.0/23
PR,209.91.128.0/17
PR,216.24.50.0/23
PR,216.39.232.0/21
