country,cidr
PS,1.178.96.0/19
PS,1.178.128.0/19
PS,1.178.192.0/19
PS,1.179.32.0/20
PS,1.179.64.0/20
PS,1.179.80.0/20
PS,2.58.128.0/21
PS,5.11.32.0/20
PS,5.34.160.0/20
PS,5.43.192.0/18
PS,5.44.254.0/23
PS,5.102.64.0/18
PS,5.133.16.0/20
PS,5.182.106.0/23
PS,5.253.64.0/21
PS,24.42.0.0/17
PS,31.13.160.0/20
PS,31.25.64.0/20
PS,31.186.176.0/20
PS,31.220.148.0/22
PS,31.223.176.0/20
PS,37.8.0.0/16
PS,37.34.64.0/19
PS,37.60.144.0/20
PS,37.75.208.0/20
PS,37.76.192.0/18
PS,37.122.156.0/22
PS,37.218.192.0/19
PS,43.230.136.0/21
PS,43.241.152.0/21
PS,43.243.24.0/21
PS,43.243.32.0/21
PS,43.243.88.0/21
PS,43.245.152.0/21
PS,43.245.208.0/21
PS,43.255.104.0/21
PS,45.90.80.0/21
PS,45.113.104.0/21
PS,45.116.248.0/21
PS,45.117.0.0/21
PS,45.117.40.0/21
PS,45.121.104.0/21
PS,45.127.176.0/21
PS,45.130.96.0/21
PS,45.134.200.0/21
PS,45.146.8.0/21
PS,45.147.64.0/21
PS,45.158.152.0/21
PS,45.159.160.0/21
PS,46.18.16.0/20
PS,46.20.192.0/19
PS,46.28.128.0/20
PS,46.32.192.0/18
PS,46.43.0.0/17
PS,46.60.0.0/19
PS,46.60.0.0/18
PS,46.60.0.0/17
PS,46.244.64.0/18
PS,46.253.64.0/19
PS,59.152.80.0/20
PS,62.16.64.0/19
PS,66.9.0.0/18
PS,77.91.128.0/17
PS,77.95.222.0/23
PS,78.143.224.0/19
PS,82.102.128.0/17
PS,82.163.48.0/21
PS,82.163.48.0/20
PS,82.163.64.0/20
PS,82.163.96.0/19
PS,82.163.160.0/20
PS,82.163.224.0/20
PS,82.205.0.0/16
PS,82.213.0.0/17
PS,83.244.0.0/16
PS,84.242.32.0/19
PS,85.113.64.0/18
PS,85.114.64.0/18
PS,85.184.0.0/18
PS,85.184.240.0/21
PS,86.104.160.0/20
PS,86.104.184.0/21
PS,86.107.16.0/21
PS,87.252.104.0/21
PS,89.46.176.0/20
PS,89.239.32.0/19
PS,91.212.102.0/23
PS,91.218.152.0/22
PS,91.229.246.0/23
PS,91.237.50.0/23
