country,cidr
PY,24.152.40.0/21
PY,45.68.48.0/21
PY,45.68.92.0/22
PY,45.160.32.0/21
PY,45.161.232.0/21
PY,45.162.176.0/21
PY,45.163.184.0/21
PY,45.165.52.0/22
PY,45.169.112.0/21
PY,45.170.104.0/21
PY,45.170.128.0/21
PY,45.172.224.0/21
PY,45.175.152.0/21
PY,45.176.84.0/22
PY,45.177.16.0/21
PY,45.177.200.0/21
PY,45.178.48.0/21
PY,45.179.152.0/21
PY,45.179.192.0/21
PY,45.180.114.0/23
PY,45.180.176.0/21
PY,45.182.128.0/21
PY,45.183.56.0/21
PY,45.184.104.0/21
PY,45.184.152.0/21
PY,45.190.88.0/21
PY,45.190.184.0/21
PY,45.191.88.0/21
PY,45.226.176.0/21
PY,45.228.56.0/21
PY,45.228.136.0/21
PY,45.229.168.0/21
PY,45.234.84.0/22
PY,45.235.120.0/21
PY,45.236.240.0/21
PY,45.237.40.0/21
PY,45.238.32.0/21
PY,45.239.40.0/21
PY,131.72.24.0/21
PY,131.100.184.0/21
PY,131.108.192.0/21
PY,131.161.248.0/21
PY,131.196.192.0/21
PY,132.255.160.0/21
PY,138.59.160.0/21
PY,138.59.224.0/21
PY,138.99.96.0/21
PY,138.122.160.0/21
PY,138.186.56.0/21
PY,143.202.208.0/21
PY,143.255.136.0/21
PY,160.238.184.0/21
PY,167.250.32.0/21
PY,167.250.236.0/22
PY,168.90.176.0/21
PY,168.194.240.0/21
PY,168.195.224.0/21
PY,170.82.144.0/21
PY,170.83.240.0/21
PY,170.84.168.0/21
PY,170.233.216.0/21
PY,170.238.16.0/21
PY,170.245.132.0/22
PY,170.254.216.0/21
PY,177.11.252.0/22
PY,177.248.0.0/14
PY,179.0.26.0/23
PY,179.63.8.0/21
PY,179.109.96.0/21
PY,179.189.216.0/22
PY,181.1.152.0/21
PY,181.40.0.0/15
PY,181.85.208.0/20
PY,181.91.80.0/21
PY,181.94.196.0/23
PY,181.94.208.0/22
PY,181.94.208.0/21
PY,181.94.208.0/20
PY,181.94.224.0/20
PY,181.94.240.0/23
PY,181.94.240.0/22
PY,181.94.240.0/21
PY,181.94.248.0/22
PY,181.103.0.0/19
PY,181.112.0.0/12
PY,181.174.160.0/21
PY,181.232.152.0/21
PY,181.232.188.0/22
PY,181.233.96.0/21
PY,181.233.158.0/23
PY,186.0.184.0/21
PY,186.2.192.0/18
PY,186.16.0.0/14
PY,190.2.192.0/19
PY,190.22.0.0/15
PY,190.52.128.0/17
PY,190.83.112.0/21
PY,190.93.176.0/21
PY,190.93.184.0/21
PY,190.103.188.0/23
PY,190.104.128.0/17
PY,190.110.224.0/22
PY,190.110.228.0/22
PY,190.110.244.0/22
PY,190.112.168.0/21
PY,190.112.208.0/20
PY,190.113.88.0/21
PY,190.114.224.0/20
PY,190.121.160.0/19
PY,190.128.0.0/16
PY,190.211.240.0/21
PY,191.97.112.0/20
PY,192.231.116.0/23
PY,200.1.192.0/20
PY,200.3.240.0/20
PY,200.7.14.0/23
PY,200.9.0.0/21
PY,200.10.140.0/23
PY,200.10.224.0/21
PY,200.12.146.0/23
PY,200.26.176.0/20
PY,200.50.152.0/21
PY,200.61.224.0/19
PY,200.85.0.0/18
PY,200.108.128.0/19
PY,200.115.16.0/22
PY,200.124.120.0/23
PY,201.131.50.0/23
PY,201.217.0.0/17
PY,201.220.24.0/23
PY,201.222.48.0/20
PY,203.20.86.0/23
