country,cidr
QA,5.180.32.0/21
QA,31.11.48.0/20
QA,37.186.0.0/18
QA,37.208.0.0/16
QA,37.208.0.0/14
QA,45.87.224.0/21
QA,78.100.0.0/14
QA,80.76.160.0/19
QA,81.29.160.0/19
QA,82.148.64.0/18
QA,86.36.0.0/14
QA,86.62.128.0/17
QA,89.210.0.0/15
QA,91.228.176.0/23
QA,92.42.102.0/23
QA,94.125.224.0/20
QA,103.14.208.0/21
QA,103.17.0.0/21
QA,103.23.120.0/21
QA,103.199.88.0/21
QA,103.225.72.0/21
QA,176.200.0.0/14
QA,178.23.16.0/20
QA,178.152.0.0/14
QA,185.1.158.0/23
QA,185.2.240.0/21
QA,185.25.8.0/21
QA,185.37.96.0/21
QA,185.37.104.0/21
QA,185.96.224.0/21
QA,185.104.56.0/21
QA,185.107.72.0/21
QA,185.154.168.0/21
QA,185.239.88.0/21
QA,185.247.88.0/21
QA,194.6.254.0/23
QA,194.42.47.0/25
QA,194.50.76.0/23
QA,194.93.123.0/25
QA,212.70.64.0/18
QA,212.77.192.0/18
QA,213.130.64.0/18
QA,213.178.136.0/21
