country,cidr
RS,5.22.128.0/18
RS,5.57.64.0/20
RS,5.134.96.0/20
RS,5.154.224.0/23
RS,5.172.32.0/20
RS,5.183.24.0/21
RS,5.252.232.0/21
RS,24.134.0.0/15
RS,31.14.32.0/23
RS,37.18.176.0/20
RS,37.19.96.0/20
RS,37.35.0.0/20
RS,37.77.160.0/20
RS,37.153.172.0/22
RS,37.220.64.0/19
RS,37.221.176.0/20
RS,45.10.48.0/21
RS,45.80.128.0/21
RS,45.86.56.0/21
RS,45.87.128.0/21
RS,45.158.16.0/21
RS,46.16.96.0/20
RS,46.17.112.0/20
RS,46.17.144.0/20
RS,46.17.216.0/22
RS,46.17.216.0/21
RS,46.22.144.0/21
RS,46.40.0.0/17
RS,46.151.112.0/20
RS,46.174.96.0/20
RS,46.235.96.0/20
RS,46.240.0.0/16
RS,46.251.8.0/21
RS,62.77.128.0/21
RS,62.101.128.0/19
RS,62.108.64.0/18
RS,62.182.152.0/21
RS,62.193.128.0/18
RS,62.240.0.0/18
RS,77.46.0.0/16
RS,77.105.0.0/17
RS,77.243.0.0/19
RS,77.247.96.0/21
RS,77.247.192.0/20
RS,78.24.96.0/20
RS,78.30.128.0/17
RS,78.109.96.0/19
RS,79.100.0.0/15
RS,79.110.128.0/19
RS,79.170.112.0/20
RS,79.175.0.0/17
RS,80.70.224.0/19
RS,80.74.160.0/19
RS,80.93.192.0/18
RS,80.240.128.0/19
RS,80.243.232.0/21
RS,80.245.96.0/21
RS,81.18.32.0/19
RS,81.24.240.0/20
RS,82.117.192.0/18
RS,82.208.128.0/17
RS,83.229.16.0/23
RS,85.202.96.0/19
RS,85.222.160.0/19
RS,87.116.128.0/17
RS,87.237.192.0/20
RS,87.250.0.0/18
RS,88.218.136.0/21
RS,89.23.64.0/18
RS,89.34.2.0/23
RS,89.35.238.0/23
RS,89.39.144.0/22
RS,89.42.12.0/23
RS,89.46.124.0/22
RS,89.47.40.0/22
RS,89.110.128.0/17
RS,89.147.64.0/19
RS,89.207.192.0/20
RS,89.216.0.0/15
RS,91.102.160.0/20
RS,91.102.224.0/20
RS,91.143.192.0/19
RS,91.147.240.0/20
RS,91.148.0.0/17
RS,91.150.0.0/17
RS,91.185.64.0/18
RS,91.187.128.0/18
RS,91.193.74.0/23
RS,91.194.80.0/22
RS,91.194.216.0/22
RS,91.195.36.0/22
RS,91.195.176.0/22
RS,91.199.16.0/23
RS,91.201.136.0/21
RS,91.204.48.0/21
RS,91.207.60.0/22
RS,91.208.88.0/23
RS,91.212.14.0/23
RS,91.212.68.0/23
RS,91.214.200.0/21
RS,91.217.12.0/22
RS,91.218.172.0/22
RS,91.221.132.0/22
RS,91.221.216.0/22
RS,91.222.0.0/21
RS,91.223.162.0/23
RS,91.224.0.0/22
RS,91.224.248.0/22
RS,91.226.240.0/21
RS,91.228.16.0/21
RS,91.228.252.0/22
RS,91.231.88.0/23
RS,91.231.156.0/22
RS,91.232.104.0/22
RS,91.232.200.0/22
RS,91.232.236.0/22
RS,91.233.24.0/23
RS,91.234.128.0/21
RS,91.234.188.0/22
RS,91.238.4.0/22
RS,91.238.60.0/23
RS,91.239.150.0/23
RS,91.240.4.0/22
RS,91.243.122.0/23
RS,91.245.214.0/23
RS,92.42.240.0/20
RS,92.60.224.0/19
RS,92.244.128.0/18
RS,92.249.48.0/21
RS,93.84.0.0/14
RS,93.92.240.0/20
RS,93.93.192.0/20
RS,93.113.248.0/22
RS,93.184.64.0/19
RS,93.186.64.0/19
RS,93.187.240.0/20
RS,93.190.160.0/20
RS,94.127.0.0/20
RS,94.154.96.0/20
RS,94.189.0.0/16
RS,94.228.224.0/19
RS,94.229.96.0/19
RS,94.230.160.0/19
RS,94.247.192.0/20
RS,94.248.176.0/20
RS,94.248.224.0/20
RS,95.85.128.0/17
RS,95.86.0.0/21
RS,95.86.8.0/21
RS,95.86.48.0/20
RS,95.140.96.0/19
RS,95.180.0.0/16
RS,95.214.200.0/21
RS,100.43.64.0/18
RS,109.72.32.0/19
RS,109.92.0.0/14
RS,109.94.96.0/21
RS,109.94.108.0/22
RS,109.94.110.0/23
RS,109.94.112.0/20
RS,109.94.124.0/22
RS,109.94.224.0/19
RS,109.106.224.0/19
RS,109.111.192.0/18
RS,109.121.0.0/17
RS,109.121.112.0/21
RS,109.121.120.0/21
RS,109.122.0.0/17
RS,109.198.0.0/18
RS,109.206.64.0/18
RS,109.207.32.0/19
RS,109.233.176.0/20
RS,109.244.0.0/15
RS,130.180.192.0/18
RS,130.193.76.0/23
RS,139.28.8.0/21
RS,147.90.0.0/15
RS,160.98.0.0/15
RS,176.67.192.0/18
RS,176.103.216.0/22
RS,176.104.96.0/20
RS,176.106.112.0/20
RS,176.108.32.0/19
RS,176.109.128.0/20
RS,176.122.208.0/22
RS,176.123.208.0/20
RS,176.221.64.0/20
RS,178.17.0.0/19
RS,178.20.160.0/20
RS,178.20.192.0/20
RS,178.22.208.0/20
RS,178.79.0.0/17
RS,178.148.0.0/14
RS,178.217.0.0/20
RS,178.219.0.0/19
RS,178.216.0.0/13
RS,178.237.192.0/19
RS,178.250.128.0/20
RS,178.253.128.0/17
RS,178.254.128.0/17
RS,185.1.26.0/23
RS,185.1.70.0/23
RS,185.6.184.0/21
RS,185.10.136.0/21
RS,185.10.200.0/21
RS,185.13.8.0/21
RS,185.17.184.0/21
RS,185.18.8.0/21
RS,185.20.32.0/21
RS,185.22.88.0/21
RS,185.22.144.0/21
RS,185.24.32.0/21
RS,185.26.112.0/21
RS,185.26.168.0/21
RS,185.27.128.0/21
RS,185.29.96.0/21
RS,185.31.32.0/21
RS,185.34.88.0/21
RS,185.36.254.0/23
RS,185.37.24.0/21
RS,185.37.168.0/21
RS,185.38.100.0/22
RS,185.47.88.0/21
RS,185.47.208.0/21
RS,185.50.184.0/21
RS,185.55.152.0/21
RS,185.56.222.0/23
RS,185.61.56.0/21
RS,185.62.112.0/21
RS,185.62.128.0/21
RS,185.64.168.0/21
RS,185.68.56.0/21
RS,185.71.88.0/21
RS,185.74.88.0/21
RS,185.80.64.0/21
RS,185.81.56.0/21
RS,185.82.104.0/21
RS,185.86.240.0/21
RS,185.90.128.0/21
RS,185.93.96.0/21
RS,185.96.208.0/21
RS,185.102.120.0/21
RS,185.102.232.0/21
RS,185.103.136.0/21
RS,185.107.16.0/21
RS,185.112.16.0/21
RS,185.118.168.0/21
RS,185.125.56.0/21
RS,185.125.176.0/21
RS,185.127.216.0/21
RS,185.129.120.0/21
RS,185.130.120.0/21
RS,185.132.144.0/21
RS,185.141.192.0/21
RS,185.143.120.0/21
RS,185.146.66.0/23
RS,185.148.200.0/21
RS,185.156.152.0/21
RS,185.157.40.0/21
RS,185.157.104.0/21
RS,185.160.232.0/21
RS,185.166.120.0/21
RS,185.168.16.0/21
RS,185.169.248.0/21
RS,185.179.136.0/21
RS,185.181.64.0/21
RS,185.182.160.0/21
RS,185.183.144.0/21
RS,185.190.152.0/21
RS,185.199.120.0/21
RS,185.211.64.0/21
RS,185.214.42.0/23
RS,185.220.128.0/21
RS,185.222.72.0/21
RS,185.231.128.0/21
RS,185.232.90.0/23
RS,185.237.240.0/21
RS,185.238.240.0/21
RS,185.248.168.0/21
RS,188.2.0.0/15
RS,188.66.24.0/21
RS,188.93.112.0/20
RS,188.95.176.0/20
RS,188.120.64.0/18
RS,188.215.30.0/23
RS,188.215.228.0/23
RS,188.240.88.0/23
RS,188.240.200.0/22
RS,188.246.0.0/18
RS,188.255.0.0/16
RS,192.54.52.0/22
RS,192.162.48.0/21
RS,193.0.254.0/23
RS,193.24.124.0/23
RS,193.27.24.0/21
RS,193.30.248.0/21
RS,193.34.64.0/21
RS,193.34.140.0/22
RS,193.42.20.0/23
RS,193.53.106.0/23
RS,193.104.68.0/23
RS,193.105.162.0/23
RS,193.107.0.0/21
RS,193.108.224.0/23
RS,193.200.154.0/23
RS,193.201.206.0/23
RS,193.203.4.0/22
RS,193.203.16.0/22
RS,193.203.22.0/23
RS,193.203.24.0/22
RS,193.221.192.0/21
RS,193.239.228.0/23
RS,193.243.168.0/21
RS,193.247.66.0/23
RS,194.15.224.0/21
RS,194.24.248.0/22
RS,194.28.128.0/21
RS,194.32.150.0/23
RS,194.53.120.0/21
RS,194.79.40.0/21
RS,194.106.128.0/18
RS,194.110.216.0/23
RS,194.145.152.0/23
RS,194.146.56.0/21
RS,194.247.38.0/23
RS,194.247.192.0/18
RS,195.46.48.0/21
RS,195.64.168.0/22
RS,195.88.12.0/22
RS,195.88.216.0/22
RS,195.149.192.0/21
RS,195.170.182.0/23
RS,195.178.0.0/18
RS,195.182.212.0/22
RS,195.192.240.0/21
RS,195.222.96.0/21
RS,195.242.76.0/22
RS,195.250.64.0/18
RS,195.252.0.0/17
RS,199.21.96.0/21
RS,199.36.240.0/21
RS,202.37.102.0/23
RS,203.21.4.0/23
RS,212.57.32.0/20
RS,212.62.0.0/18
RS,212.69.0.0/18
RS,212.102.128.0/18
RS,212.115.120.0/21
RS,212.200.0.0/15
RS,212.237.176.0/20
RS,212.237.240.0/21
RS,213.137.64.0/18
RS,213.170.200.0/21
RS,213.196.96.0/19
RS,213.198.128.0/17
RS,213.240.0.0/18
RS,213.240.32.0/23
RS,213.240.32.0/22
RS,213.240.32.0/21
RS,213.240.32.0/20
RS,213.240.32.0/19
RS,213.244.192.0/19
RS,213.244.224.0/19
RS,217.16.128.0/19
RS,217.17.96.0/19
RS,217.24.0.0/19
RS,217.26.64.0/19
RS,217.26.208.0/20
RS,217.65.192.0/19
RS,217.79.144.0/21
RS,217.119.224.0/19
RS,217.169.192.0/19
