country,cidr
RW,41.74.160.0/19
RW,41.138.80.0/20
RW,41.186.0.0/15
RW,41.196.0.0/15
RW,41.222.240.0/21
RW,41.242.136.0/21
RW,102.22.128.0/17
RW,102.130.32.0/20
RW,102.207.48.0/23
RW,102.207.140.0/23
RW,102.209.168.0/21
RW,102.211.72.0/21
RW,102.213.212.0/22
RW,102.214.220.0/22
RW,102.215.8.0/21
RW,102.218.176.0/21
RW,102.219.172.0/23
RW,105.178.0.0/16
RW,105.179.0.0/18
RW,154.68.0.0/17
RW,156.38.0.0/20
RW,196.44.224.0/19
RW,196.49.6.0/23
RW,196.223.12.0/23
RW,196.223.240.0/20
RW,197.157.128.0/17
RW,197.157.208.0/21
RW,197.234.240.0/21
RW,197.243.0.0/16
