country,cidr
SA,2.88.0.0/13
SA,5.40.0.0/15
SA,5.42.192.0/18
SA,5.82.0.0/15
SA,5.104.0.0/13
SA,5.132.128.0/17
SA,5.149.128.0/20
SA,5.156.0.0/15
SA,5.162.0.0/15
SA,5.240.0.0/13
SA,5.253.80.0/21
SA,31.164.0.0/14
SA,31.193.190.0/23
SA,37.16.0.0/18
SA,37.16.0.0/16
SA,37.25.0.0/18
SA,37.40.0.0/14
SA,37.56.0.0/15
SA,37.76.192.0/18
SA,37.99.128.0/17
SA,37.104.0.0/13
SA,37.120.0.0/15
SA,37.120.0.0/13
SA,37.140.0.0/15
SA,37.186.16.0/20
SA,37.216.0.0/14
SA,37.224.0.0/15
SA,37.240.0.0/13
SA,45.65.72.0/21
SA,45.94.8.0/21
SA,45.135.112.0/21
SA,46.18.160.0/20
SA,46.29.80.0/20
SA,46.31.68.0/23
SA,46.38.64.0/18
SA,46.44.0.0/17
SA,46.49.0.0/16
SA,46.52.0.0/16
SA,46.143.128.0/17
SA,46.149.0.0/19
SA,46.151.208.0/20
SA,46.152.0.0/14
SA,46.184.0.0/16
SA,46.230.0.0/16
SA,46.235.80.0/20
SA,46.240.0.0/16
SA,46.251.128.0/18
SA,50.60.0.0/14
SA,50.118.0.0/15
SA,51.36.0.0/15
SA,51.38.0.0/15
SA,51.210.0.0/15
SA,51.218.0.0/15
SA,51.222.0.0/15
SA,51.234.0.0/15
SA,51.252.0.0/14
SA,62.120.0.0/15
SA,62.149.0.0/17
SA,62.204.48.0/23
SA,64.16.192.0/18
SA,64.65.0.0/17
SA,64.137.128.0/17
SA,64.246.64.0/20
SA,66.9.96.0/19
SA,66.9.128.0/18
SA,66.9.128.0/17
SA,66.33.112.0/22
SA,66.118.128.0/17
SA,66.212.64.0/18
SA,72.1.224.0/19
SA,77.28.0.0/14
SA,77.64.0.0/16
SA,77.73.192.0/20
SA,77.75.224.0/23
SA,77.79.0.0/17
SA,77.87.16.0/20
SA,77.90.128.0/17
SA,77.220.112.0/21
SA,77.221.64.0/18
SA,77.223.192.0/18
SA,77.232.64.0/18
SA,77.232.176.0/20
SA,77.236.112.0/20
SA,77.236.128.0/18
SA,77.240.64.0/19
SA,77.240.128.0/19
SA,77.247.0.0/18
SA,78.92.0.0/15
SA,78.94.0.0/15
SA,78.110.0.0/19
SA,78.138.128.0/17
SA,79.110.228.0/23
SA,79.139.32.0/19
SA,79.139.64.0/20
SA,79.139.80.0/20
SA,79.170.0.0/20
SA,79.170.48.0/20
SA,79.170.112.0/20
SA,79.172.128.0/17
SA,80.74.64.0/19
SA,80.79.14.0/23
SA,80.240.64.0/19
SA,81.21.32.0/19
SA,81.22.96.0/19
