country,cidr
SD,41.67.0.0/17
SD,41.78.104.0/21
SD,41.94.0.0/15
SD,41.202.128.0/18
SD,41.209.0.0/17
SD,41.218.0.0/17
SD,41.223.160.0/21
SD,41.223.200.0/21
SD,41.240.0.0/14
SD,62.12.96.0/19
SD,102.112.0.0/12
SD,102.130.240.0/20
SD,102.143.0.0/16
SD,102.181.0.0/16
SD,102.210.232.0/21
SD,102.218.64.0/21
SD,102.218.98.0/23
SD,102.220.152.0/21
SD,105.236.0.0/14
SD,154.96.0.0/12
SD,155.196.0.0/15
SD,196.1.128.0/17
SD,196.29.128.0/18
SD,196.49.66.0/23
SD,196.202.128.0/18
SD,196.223.20.0/23
SD,196.223.144.0/20
SD,197.208.0.0/14
SD,197.251.0.0/16
SD,197.252.0.0/15
SD,197.254.128.0/17
SD,212.0.128.0/18
