country,cidr
SG,1.21.192.0/18
SG,1.32.0.0/16
SG,1.178.0.0/18
SG,2.56.254.0/23
SG,2.59.150.0/23
SG,5.181.218.0/23
SG,5.252.160.0/21
SG,8.128.0.0/9
SG,8.192.0.0/11
SG,14.1.24.0/21
SG,14.1.112.0/21
SG,14.100.0.0/15
SG,14.128.0.0/18
SG,14.137.0.0/18
SG,14.137.128.0/17
SG,23.106.48.0/20
SG,23.106.64.0/19
SG,23.106.112.0/20
SG,23.106.240.0/20
SG,23.108.96.0/20
SG,23.111.8.0/21
SG,27.0.8.0/21
SG,27.0.64.0/18
SG,27.50.32.0/19
SG,27.54.0.0/17
SG,27.96.64.0/18
SG,27.104.0.0/15
SG,27.106.0.0/16
SG,27.109.104.0/21
SG,27.111.192.0/19
SG,27.111.224.0/19
SG,27.114.128.0/17
SG,27.116.32.0/21
SG,27.124.0.0/17
SG,27.125.128.0/17
SG,27.125.192.0/21
SG,27.255.0.0/17
SG,31.40.214.0/23
SG,31.216.58.0/23
SG,31.220.14.0/23
SG,36.3.128.0/18
SG,36.50.32.0/22
SG,36.50.58.0/23
SG,36.50.84.0/22
SG,36.255.120.0/21
SG,36.255.152.0/21
SG,36.255.216.0/21
SG,39.109.0.0/16
SG,42.60.0.0/14
SG,42.201.0.0/16
SG,43.0.0.0/8
SG,43.144.0.0/12
SG,43.160.0.0/11
SG,43.224.152.0/21
SG,43.225.0.0/21
SG,43.225.136.0/21
SG,43.225.152.0/21
SG,43.227.228.0/22
SG,43.227.230.0/23
SG,43.227.240.0/21
SG,43.228.144.0/21
SG,43.228.208.0/21
SG,43.228.232.0/21
SG,43.229.80.0/21
SG,43.229.128.0/21
SG,43.229.152.0/21
SG,43.230.24.0/21
SG,43.230.176.0/21
SG,43.239.96.0/21
SG,43.242.184.0/21
SG,43.245.16.0/21
SG,43.245.56.0/21
SG,43.245.96.0/21
SG,43.245.96.0/20
SG,43.245.224.0/21
SG,43.245.248.0/21
SG,43.248.168.0/21
SG,43.249.0.0/20
SG,43.249.36.0/22
SG,43.249.208.0/21
SG,43.249.248.0/21
SG,43.250.0.0/21
SG,43.250.192.0/21
SG,43.255.56.0/21
SG,43.255.96.0/21
SG,43.255.104.0/21
SG,43.255.120.0/21
SG,43.255.152.0/21
SG,45.12.52.0/22
SG,45.12.88.0/21
SG,45.64.40.0/21
SG,45.64.72.0/22
SG,45.64.128.0/21
SG,45.65.0.0/21
SG,45.67.222.0/23
SG,45.78.128.0/17
SG,45.86.220.0/23
SG,45.87.56.0/21
SG,45.112.0.0/21
SG,45.112.32.0/21
SG,45.112.72.0/21
SG,45.112.80.0/22
SG,45.112.128.0/21
SG,45.113.128.0/21
SG,45.114.0.0/21
SG,45.116.136.0/21
SG,45.117.184.0/21
SG,45.118.128.0/21
SG,45.118.176.0/21
SG,45.119.144.0/20
SG,45.119.200.0/21
SG,45.120.144.0/21
SG,45.121.80.0/21
SG,45.121.184.0/21
SG,45.124.248.0/21
SG,45.125.16.0/21
SG,45.125.192.0/20
SG,45.126.56.0/21
SG,45.126.160.0/21
SG,45.126.208.0/21
SG,45.127.32.0/21
SG,45.127.112.0/21
SG,45.127.168.0/21
SG,45.129.224.0/21
SG,45.130.152.0/21
SG,45.134.98.0/23
SG,45.143.144.0/21
SG,45.249.96.0/21
SG,45.250.160.0/21
SG,45.254.32.0/21
SG,46.149.64.0/22
SG,46.149.64.0/21
SG,46.232.208.0/22
SG,46.250.128.0/18
SG,49.0.128.0/17
SG,49.128.8.0/21
SG,49.128.0.0/18
SG,49.213.0.0/19
SG,49.244.0.0/15
SG,52.128.128.0/18
SG,58.65.0.0/18
SG,58.96.128.0/17
SG,58.145.224.0/22
SG,58.145.228.0/23
SG,58.145.228.0/22
SG,58.145.232.0/22
SG,58.145.234.0/23
SG,58.145.232.0/21
SG,58.146.128.0/17
SG,58.182.0.0/15
SG,58.184.0.0/15
SG,59.153.72.0/21
SG,59.153.104.0/21
SG,59.188.0.0/15
SG,61.8.128.0/17
SG,61.12.0.0/15
SG,61.14.64.0/18
SG,61.16.0.0/16
SG,61.47.0.0/23
SG,61.47.2.0/23
SG,61.47.4.0/22
SG,61.47.8.0/21
SG,61.47.16.0/23
SG,61.47.16.0/22
SG,61.47.20.0/23
SG,61.47.22.0/23
SG,61.47.24.0/23
SG,61.47.26.0/23
SG,61.47.28.0/23
SG,61.47.28.0/22
SG,61.47.32.0/20
SG,61.47.46.0/23
SG,61.47.48.0/23
SG,61.47.52.0/23
SG,61.47.56.0/23
SG,61.47.56.0/22
SG,61.47.56.0/21
SG,61.47.66.0/23
SG,61.47.64.0/21
SG,61.47.80.0/20
SG,61.47.96.0/22
SG,61.47.100.0/22
SG,61.47.104.0/21
SG,61.47.96.0/19
SG,62.245.0.0/18
SG,64.45.0.0/17
SG,64.70.192.0/18
SG,64.112.80.0/21
SG,64.120.88.0/21
SG,64.120.108.0/22
SG,64.124.188.0/22
SG,64.127.192.0/18
SG,66.96.192.0/18
SG,66.118.232.0/21
SG,66.118.254.0/23
SG,66.228.0.0/19
SG,69.5.0.0/18
SG,76.73.0.0/16
SG,77.93.88.0/21
SG,77.221.128.0/21
SG,77.221.128.0/20
SG,77.221.128.0/19
SG,80.238.0.0/16
SG,80.249.134.0/23
SG,83.101.0.0/16
SG,87.119.0.0/17
SG,89.36.230.0/23
SG,89.37.100.0/23
SG,89.46.42.0/23
SG,89.150.128.0/17
SG,89.248.66.0/23
SG,91.85.0.0/18
SG,91.243.72.0/22
SG,92.243.72.0/22
SG,94.45.128.0/18
SG,94.74.0.0/17
SG,94.154.8.0/23
SG,94.244.128.0/17
SG,96.9.160.0/19
SG,101.32.0.0/15
SG,101.44.0.0/15
SG,101.44.0.0/14
SG,101.78.0.0/17
SG,101.97.0.0/17
SG,101.100.128.0/18
SG,101.100.128.0/17
SG,101.126.0.0/15
SG,101.234.0.0/17
SG,103.1.4.0/23
SG,103.1.80.0/21
SG,103.1.136.0/21
SG,103.1.168.0/21
SG,103.2.104.0/21
SG,103.2.176.0/21
SG,103.3.56.0/21
SG,103.3.160.0/21
SG,103.3.200.0/21
SG,103.4.32.0/21
SG,103.4.76.0/22
SG,103.4.96.0/21
SG,103.4.104.0/21
SG,103.4.112.0/22
SG,103.4.120.0/21
SG,103.4.192.0/21
SG,103.4.232.0/23
SG,103.5.150.0/23
SG,103.5.198.0/23
SG,103.5.240.0/21
SG,103.6.64.0/21
SG,103.6.104.0/22
SG,103.6.144.0/21
SG,103.7.8.0/21
SG,103.7.120.0/21
SG,103.7.152.0/21
SG,103.7.200.0/21
SG,103.8.28.0/22
SG,103.8.120.0/23
SG,103.8.152.0/21
SG,103.8.212.0/22
SG,103.9.96.0/21
SG,103.10.96.0/21
SG,103.10.220.0/22
SG,103.11.48.0/21
SG,103.11.140.0/22
SG,103.11.142.0/23
SG,103.11.148.0/22
SG,103.11.184.0/21
SG,103.11.200.0/21
SG,103.12.2.0/23
SG,103.12.180.0/22
SG,103.13.128.0/21
SG,103.13.168.0/21
SG,103.14.32.0/21
SG,103.14.72.0/21
SG,103.14.92.0/22
SG,103.14.98.0/23
SG,103.14.184.0/23
SG,103.14.208.0/21
SG,103.14.232.0/21
SG,103.14.240.0/21
SG,103.15.96.0/21
SG,103.15.226.0/23
SG,103.15.232.0/21
SG,103.16.16.0/21
SG,103.16.100.0/22
SG,103.17.144.0/21
SG,103.19.8.0/22
SG,103.19.16.0/21
SG,103.19.80.0/22
SG,103.20.88.0/21
SG,103.20.168.0/21
SG,103.21.24.0/21
SG,103.21.80.0/23
SG,103.22.168.0/21
SG,103.23.72.0/21
SG,103.23.208.0/21
SG,103.24.0.0/21
SG,103.24.76.0/23
SG,103.24.152.0/21
SG,103.24.160.0/21
SG,103.25.52.0/23
SG,103.25.200.0/21
SG,103.26.40.0/21
SG,103.26.216.0/21
SG,103.27.224.0/21
SG,103.28.52.0/22
SG,103.28.208.0/21
SG,103.29.64.0/21
SG,103.29.104.0/22
SG,103.29.104.0/21
SG,103.30.32.0/21
SG,103.30.120.0/23
SG,103.30.214.0/23
SG,103.31.24.0/22
SG,103.31.168.0/21
SG,103.31.224.0/21
SG,103.35.90.0/23
SG,103.35.248.0/21
SG,103.36.88.0/22
SG,103.36.88.0/21
SG,103.37.192.0/21
SG,103.38.72.0/21
SG,103.38.184.0/21
SG,103.38.220.0/23
SG,103.38.248.0/22
SG,103.39.6.0/23
SG,103.39.40.0/22
SG,103.40.8.0/21
SG,103.40.96.0/21
SG,103.40.208.0/21
SG,103.41.8.0/21
SG,103.41.64.0/21
SG,103.41.128.0/21
SG,103.43.184.0/21
SG,103.44.0.0/21
SG,103.44.64.0/21
SG,103.44.108.0/23
SG,103.44.112.0/21
SG,103.44.220.0/23
SG,103.47.24.0/21
SG,103.47.100.0/22
SG,103.47.186.0/23
SG,103.47.208.0/21
SG,103.47.224.0/21
SG,103.47.232.0/23
SG,103.47.240.0/21
SG,103.48.168.0/21
SG,103.50.0.0/21
SG,103.50.12.0/22
SG,103.51.160.0/21
SG,103.53.80.0/22
SG,103.53.168.0/21
SG,103.54.152.0/21
SG,103.55.120.0/21
SG,103.55.138.0/23
SG,103.57.152.0/21
SG,103.58.110.0/23
SG,103.58.112.0/23
SG,103.60.8.0/21
SG,103.60.56.0/21
SG,103.60.216.0/23
SG,103.61.192.0/22
SG,103.62.0.0/21
SG,103.62.240.0/21
SG,103.64.8.0/21
SG,103.64.16.0/21
SG,103.67.168.0/21
SG,103.68.94.0/23
SG,103.68.106.0/23
SG,103.68.124.0/23
SG,103.68.128.0/21
SG,103.68.138.0/23
SG,103.68.160.0/21
SG,103.68.200.0/22
SG,103.69.64.0/21
SG,103.69.76.0/22
SG,103.69.128.0/22
SG,103.69.136.0/21
SG,103.69.208.0/21
SG,103.70.64.0/21
SG,103.70.128.0/21
SG,103.71.128.0/21
SG,103.72.144.0/21
SG,103.72.192.0/23
SG,103.73.232.0/22
SG,103.75.150.0/23
SG,103.75.174.0/23
SG,103.75.216.0/21
SG,103.76.30.0/23
SG,103.76.32.0/21
SG,103.77.128.0/22
SG,103.77.136.0/21
SG,103.77.200.0/23
SG,103.78.24.0/21
SG,103.79.72.0/21
SG,103.79.88.0/21
SG,103.79.118.0/23
SG,103.79.144.0/21
SG,103.80.68.0/23
SG,103.80.130.0/23
SG,103.81.128.0/21
SG,103.81.162.0/23
SG,103.81.228.0/23
SG,103.83.102.0/23
SG,103.83.160.0/23
SG,103.85.212.0/23
SG,103.87.188.0/23
SG,103.87.188.0/22
SG,103.88.42.0/23
SG,103.89.136.0/21
SG,103.91.124.0/23
SG,103.91.144.0/22
SG,103.92.16.0/23
SG,103.92.96.0/21
SG,103.92.192.0/21
SG,103.93.138.0/23
SG,103.93.166.0/23
SG,103.93.252.0/22
SG,103.93.254.0/23
SG,103.94.184.0/23
SG,103.94.224.0/21
SG,103.95.76.0/23
SG,103.95.214.0/23
SG,103.96.80.0/21
SG,103.96.108.0/22
SG,103.98.54.0/23
SG,103.98.132.0/22
SG,103.99.0.0/21
SG,103.99.48.0/22
SG,103.99.96.0/21
SG,103.99.114.0/23
SG,103.99.176.0/22
SG,103.101.238.0/23
SG,103.102.234.0/23
SG,103.103.56.0/21
SG,103.103.152.0/21
SG,103.104.98.0/23
SG,103.104.196.0/23
SG,103.104.228.0/23
SG,103.104.248.0/21
SG,103.105.142.0/23
SG,103.106.116.0/23
SG,103.107.42.0/23
SG,103.107.48.0/22
SG,103.107.56.0/23
SG,103.109.144.0/21
SG,103.110.220.0/22
SG,103.112.80.0/23
SG,103.113.164.0/22
SG,103.113.184.0/21
SG,103.114.160.0/21
SG,103.115.34.0/23
SG,103.115.72.0/21
SG,103.115.98.0/23
SG,103.115.104.0/22
SG,103.115.240.0/21
SG,103.116.88.0/22
SG,103.116.120.0/21
SG,103.117.48.0/21
SG,103.117.116.0/23
SG,103.117.128.0/21
SG,103.117.248.0/21
SG,103.118.80.0/22
SG,103.119.112.0/23
SG,103.119.144.0/21
SG,103.120.40.0/23
SG,103.120.240.0/23
SG,103.120.244.0/23
SG,103.120.246.0/23
SG,103.123.236.0/23
SG,103.125.32.0/21
SG,103.125.82.0/23
SG,103.126.82.0/23
SG,103.126.140.0/22
SG,103.127.152.0/22
SG,103.130.200.0/22
SG,103.131.32.0/22
SG,103.131.128.0/22
SG,103.131.162.0/23
SG,103.131.184.0/21
SG,103.132.80.0/21
SG,103.132.136.0/21
SG,103.132.192.0/21
SG,103.134.88.0/21
SG,103.134.152.0/21
SG,103.135.40.0/21
SG,103.135.56.0/21
SG,103.136.32.0/21
SG,103.136.52.0/22
SG,103.136.120.0/21
SG,103.136.216.0/21
SG,103.137.168.0/21
SG,103.137.210.0/23
SG,103.138.76.0/23
SG,103.138.116.0/22
SG,103.138.180.0/23
SG,103.138.244.0/22
SG,103.139.38.0/23
SG,103.139.72.0/22
SG,103.139.112.0/22
SG,103.139.128.0/22
SG,103.140.144.0/22
SG,103.141.234.0/23
SG,103.142.166.0/23
SG,103.142.230.0/23
SG,103.142.236.0/22
SG,103.142.252.0/22
SG,103.143.48.0/22
SG,103.143.90.0/23
SG,103.143.172.0/23
SG,103.143.240.0/22
SG,103.144.50.0/23
SG,103.144.116.0/23
SG,103.144.128.0/22
SG,103.144.204.0/22
SG,103.147.108.0/22
SG,103.148.236.0/22
SG,103.149.10.0/23
SG,103.149.22.0/23
SG,103.149.46.0/23
SG,103.149.156.0/22
SG,103.149.192.0/22
SG,103.150.44.0/22
SG,103.150.140.0/22
SG,103.150.160.0/23
SG,103.150.232.0/23
SG,103.151.114.0/23
SG,103.151.176.0/23
SG,103.152.114.0/23
SG,103.152.134.0/23
SG,103.152.136.0/22
SG,103.153.54.0/23
SG,103.153.112.0/22
SG,103.153.164.0/23
SG,103.153.244.0/23
SG,103.155.42.0/23
SG,103.155.48.0/22
SG,103.156.52.0/22
SG,103.156.248.0/22
SG,103.157.120.0/22
SG,103.157.236.0/23
SG,103.158.12.0/22
SG,103.159.70.0/23
SG,103.160.64.0/22
SG,103.160.104.0/22
SG,103.161.76.0/23
SG,103.161.244.0/22
SG,103.162.140.0/22
SG,103.162.250.0/23
SG,103.162.254.0/23
SG,103.163.76.0/23
SG,103.163.164.0/22
SG,103.164.52.0/22
SG,103.164.80.0/23
SG,103.166.80.0/23
SG,103.166.116.0/22
SG,103.166.144.0/23
SG,103.166.152.0/22
SG,103.166.200.0/22
SG,103.166.232.0/22
SG,103.166.236.0/22
SG,103.167.24.0/22
