country,cidr
SI,2.58.48.0/21
SI,2.59.118.0/23
SI,5.32.128.0/20
SI,5.157.64.0/20
SI,5.249.160.0/19
SI,31.7.192.0/18
SI,31.15.0.0/16
SI,31.43.162.0/23
SI,31.185.0.0/20
SI,37.18.224.0/19
SI,37.19.64.0/20
SI,45.8.0.0/21
SI,45.15.40.0/21
SI,45.141.168.0/21
SI,45.144.48.0/21
SI,45.146.232.0/21
SI,45.147.136.0/21
SI,45.149.88.0/21
SI,45.156.136.0/21
SI,45.157.0.0/21
SI,45.158.56.0/21
SI,45.158.232.0/21
SI,46.19.0.0/20
SI,46.23.0.0/19
SI,46.54.0.0/16
SI,46.120.0.0/14
SI,46.150.0.0/18
SI,46.151.224.0/20
SI,46.163.0.0/17
SI,46.164.0.0/17
SI,46.182.224.0/20
SI,46.248.64.0/18
SI,46.254.48.0/20
SI,46.254.144.0/20
SI,62.84.224.0/19
SI,67.221.248.0/22
SI,77.38.0.0/16
SI,77.73.104.0/21
SI,77.94.128.0/18
SI,77.111.0.0/17
SI,77.234.128.0/18
SI,78.153.0.0/18
SI,80.65.160.0/19
SI,80.68.152.0/23
SI,80.95.224.0/19
SI,80.246.224.0/19
SI,81.17.224.0/19
SI,81.30.100.0/23
SI,82.149.0.0/18
SI,82.192.0.0/18
SI,82.214.0.0/17
SI,84.20.192.0/18
SI,84.38.240.0/23
SI,84.39.192.0/19
SI,84.41.0.0/16
SI,84.52.128.0/17
SI,84.54.32.0/23
SI,84.255.128.0/17
SI,85.10.0.0/18
SI,85.204.38.0/23
SI,85.208.168.0/21
SI,86.54.86.0/23
SI,86.58.0.0/16
SI,86.61.0.0/16
SI,87.119.128.0/18
SI,88.200.0.0/16
SI,89.140.0.0/14
SI,89.212.0.0/15
SI,89.233.96.0/19
SI,89.248.68.0/23
SI,90.157.0.0/16
SI,91.132.72.0/21
SI,91.132.208.0/21
SI,91.185.192.0/18
SI,91.195.144.0/22
SI,91.198.0.0/23
SI,91.198.52.0/23
SI,91.198.96.0/23
SI,91.198.112.0/23
SI,91.198.190.0/23
SI,91.198.214.0/23
SI,91.199.22.0/23
SI,91.199.60.0/23
SI,91.199.124.0/23
SI,91.199.130.0/23
SI,91.199.142.0/23
SI,91.199.160.0/23
SI,91.199.200.0/23
SI,91.199.234.0/23
SI,91.200.176.0/23
SI,91.202.64.0/21
SI,91.203.28.0/23
SI,91.208.26.0/23
SI,91.208.88.0/23
SI,91.208.100.0/23
SI,91.208.124.0/23
SI,91.208.168.0/23
SI,91.208.200.0/23
SI,91.208.224.0/23
SI,91.208.242.0/23
SI,91.209.0.0/23
SI,91.209.18.0/23
SI,91.209.48.0/23
SI,91.209.132.0/23
SI,91.209.144.0/23
SI,91.209.150.0/23
SI,91.209.180.0/23
SI,91.209.188.0/23
SI,91.209.206.0/23
SI,91.209.236.0/23
SI,91.209.250.0/23
SI,91.212.24.0/23
SI,91.212.134.0/23
SI,91.212.198.0/23
SI,91.212.208.0/23
SI,91.212.250.0/23
SI,91.213.80.0/23
SI,91.213.88.0/23
SI,91.213.130.0/23
SI,91.213.146.0/23
SI,91.213.196.0/23
SI,91.213.240.0/23
SI,91.216.54.0/23
SI,91.216.74.0/23
SI,91.216.86.0/23
SI,91.216.108.0/23
SI,91.216.172.0/23
SI,91.217.92.0/22
SI,91.217.120.0/22
SI,91.217.124.0/22
SI,91.217.220.0/22
SI,91.217.254.0/23
SI,91.220.54.0/23
SI,91.220.78.0/23
SI,91.220.106.0/23
SI,91.220.118.0/23
SI,91.220.156.0/23
SI,91.220.194.0/23
SI,91.220.212.0/23
SI,91.220.220.0/23
SI,91.220.240.0/23
SI,91.221.168.0/22
SI,91.223.26.0/23
SI,91.223.38.0/23
SI,91.223.42.0/23
SI,91.223.48.0/23
SI,91.223.80.0/23
SI,91.223.112.0/23
SI,91.223.114.0/23
SI,91.223.166.0/23
SI,91.223.174.0/23
SI,91.223.182.0/23
SI,91.223.188.0/23
SI,91.223.192.0/23
SI,91.223.196.0/23
SI,91.223.230.0/23
SI,91.223.238.0/23
SI,91.224.172.0/22
SI,91.224.236.0/22
SI,91.225.96.0/21
SI,91.226.76.0/23
SI,91.226.98.0/23
SI,91.227.42.0/23
SI,91.227.108.0/22
SI,91.228.206.0/23
SI,91.229.72.0/23
SI,91.230.90.0/23
SI,91.230.238.0/23
SI,91.232.234.0/23
SI,91.232.238.0/23
SI,91.233.162.0/23
SI,91.235.82.0/23
SI,91.235.242.0/23
SI,91.236.0.0/23
SI,91.237.32.0/23
SI,91.237.128.0/21
SI,91.239.96.0/22
SI,91.239.192.0/23
SI,91.239.242.0/23
SI,91.240.48.0/21
SI,91.240.216.0/23
SI,91.245.192.0/23
SI,91.246.192.0/18
SI,92.37.0.0/16
SI,92.53.128.0/17
SI,92.60.64.0/19
SI,92.63.0.0/19
SI,92.244.64.0/18
SI,93.102.0.0/15
SI,94.103.64.0/19
SI,94.103.180.0/23
SI,94.127.16.0/20
SI,94.140.64.0/18
SI,94.143.32.0/20
SI,95.87.128.0/17
SI,95.143.128.0/19
SI,95.159.128.0/17
SI,95.176.0.0/16
SI,95.215.136.0/21
SI,98.158.238.0/23
SI,103.69.224.0/21
SI,103.72.184.0/21
SI,103.180.112.0/22
SI,107.150.176.0/23
SI,109.104.144.0/22
SI,109.123.0.0/17
SI,109.127.128.0/17
SI,109.182.0.0/15
SI,109.202.112.0/20
SI,109.224.224.0/21
SI,109.239.160.0/19
SI,119.12.128.0/19
SI,141.255.128.0/17
SI,145.14.0.0/21
SI,146.19.32.0/22
SI,146.212.0.0/15
SI,146.247.16.0/20
SI,147.78.216.0/21
SI,148.222.240.0/20
SI,149.62.0.0/17
SI,149.126.128.0/18
SI,152.89.232.0/21
SI,153.4.0.0/15
SI,158.41.0.0/19
SI,158.41.16.0/20
SI,163.158.0.0/15
SI,164.8.0.0/15
SI,176.57.88.0/21
SI,176.76.0.0/15
SI,176.105.240.0/21
SI,178.58.0.0/15
SI,178.79.0.0/17
SI,178.172.0.0/16
SI,178.216.48.0/20
SI,178.219.156.0/22
SI,185.0.38.0/23
SI,185.13.48.0/21
SI,185.24.32.0/21
SI,185.28.8.0/21
SI,185.29.16.0/21
SI,185.30.136.0/21
SI,185.33.48.0/21
SI,185.41.176.0/21
SI,185.43.8.0/21
SI,185.46.140.0/23
SI,185.49.0.0/21
SI,185.49.112.0/21
SI,185.53.8.0/21
SI,185.54.128.0/21
SI,185.56.220.0/22
SI,185.57.16.0/21
SI,185.57.144.0/21
SI,185.57.224.0/21
SI,185.58.176.0/21
SI,185.59.24.0/21
SI,185.60.112.0/21
SI,185.65.224.0/21
SI,185.66.144.0/21
SI,185.69.144.0/21
SI,185.71.168.0/21
SI,185.72.56.0/21
SI,185.72.104.0/21
SI,185.73.0.0/21
SI,185.74.40.0/21
SI,185.78.240.0/21
SI,185.79.224.0/21
SI,185.81.24.0/21
SI,185.84.96.0/21
SI,185.85.144.0/21
SI,185.92.176.0/21
SI,185.92.228.0/23
SI,185.92.228.0/22
SI,185.92.232.0/21
SI,185.97.48.0/21
SI,185.97.64.0/21
SI,185.114.144.0/21
SI,185.133.184.0/21
SI,185.139.6.0/23
SI,185.145.52.0/23
SI,185.146.248.0/21
SI,185.148.72.0/21
SI,185.153.24.0/21
SI,185.173.48.0/21
SI,185.175.0.0/21
SI,185.178.224.0/21
SI,185.179.48.0/21
SI,185.179.216.0/21
SI,185.185.88.0/21
SI,185.187.8.0/21
SI,185.191.16.0/21
SI,185.195.152.0/21
SI,185.205.112.0/21
SI,185.206.184.0/21
SI,185.221.56.0/21
SI,185.236.192.0/21
SI,185.254.120.0/23
SI,188.64.16.0/20
SI,188.64.96.0/20
SI,188.95.68.0/23
SI,188.159.192.0/18
SI,188.192.0.0/13
SI,188.208.196.0/22
SI,188.214.194.0/23
SI,188.230.0.0/16
SI,188.240.208.0/23
SI,188.241.86.0/23
SI,192.84.90.0/23
SI,192.84.92.0/23
SI,192.84.92.0/22
SI,192.84.96.0/21
SI,192.84.100.0/23
SI,192.84.100.0/22
SI,192.84.104.0/23
SI,192.84.106.0/23
SI,192.84.108.0/22
SI,192.109.172.0/23
SI,192.109.196.0/23
SI,192.109.202.0/23
SI,192.109.208.0/23
SI,192.160.14.0/23
SI,193.0.244.0/23
SI,193.2.0.0/15
SI,193.3.58.0/23
SI,193.9.18.0/23
SI,193.9.20.0/23
SI,193.9.48.0/21
SI,193.16.108.0/23
SI,193.16.152.0/23
SI,193.17.0.0/23
SI,193.17.226.0/23
SI,193.23.48.0/23
SI,193.23.62.0/23
SI,193.23.136.0/23
SI,193.26.26.0/23
SI,193.26.220.0/23
SI,193.28.14.0/23
SI,193.28.42.0/23
SI,193.28.50.0/23
SI,193.28.54.0/23
SI,193.28.146.0/23
SI,193.29.224.0/22
SI,193.29.228.0/22
SI,193.35.110.0/23
SI,193.36.40.0/23
SI,193.41.34.0/23
SI,193.41.36.0/23
SI,193.41.88.0/23
SI,193.46.70.0/23
SI,193.46.74.0/23
SI,193.47.136.0/23
SI,193.76.0.0/15
SI,193.95.128.0/17
SI,193.104.10.0/23
SI,193.104.22.0/23
SI,193.104.134.0/23
SI,193.104.236.0/23
SI,193.104.240.0/23
SI,193.105.22.0/23
SI,193.105.66.0/23
SI,193.105.114.0/23
SI,193.105.126.0/23
SI,193.109.124.0/23
SI,193.109.226.0/23
SI,193.110.12.0/22
SI,193.110.144.0/23
SI,193.111.192.0/22
SI,193.111.216.0/21
SI,193.138.0.0/23
SI,193.138.0.0/22
SI,193.138.8.0/23
SI,193.138.0.0/18
SI,193.142.116.0/23
SI,193.142.148.0/23
SI,193.162.130.0/23
SI,193.164.136.0/21
SI,193.169.48.0/22
SI,193.178.188.0/23
SI,193.189.128.0/18
SI,193.194.120.0/22
SI,193.200.206.0/23
SI,193.201.44.0/23
SI,193.201.100.0/23
SI,193.201.108.0/23
SI,193.201.164.0/23
SI,193.201.208.0/21
SI,193.218.94.0/23
SI,193.219.100.0/23
SI,193.219.106.0/23
SI,193.221.112.0/23
SI,193.221.114.0/23
SI,193.228.150.0/23
SI,193.242.154.0/23
SI,193.243.140.0/22
SI,194.0.172.0/22
SI,194.0.190.0/23
SI,194.6.236.0/23
SI,194.6.242.0/23
SI,194.8.92.0/22
SI,194.9.28.0/23
SI,194.28.104.0/21
SI,194.33.12.0/23
SI,194.33.32.0/22
SI,194.33.48.0/22
SI,194.35.80.0/21
SI,194.39.84.0/23
SI,194.40.210.0/23
SI,194.49.6.0/23
SI,194.49.18.0/23
SI,194.49.20.0/23
SI,194.49.54.0/23
SI,194.50.136.0/22
SI,194.50.166.0/23
