country,cidr
SK,2.57.64.0/21
SK,5.34.160.0/20
SK,5.178.32.0/19
SK,5.252.32.0/21
SK,31.3.0.0/18
SK,31.24.176.0/20
SK,31.24.208.0/20
SK,31.28.128.0/18
SK,31.130.160.0/20
SK,31.131.224.0/19
SK,31.134.96.0/20
SK,31.170.64.0/18
SK,37.9.160.0/20
SK,37.58.0.0/19
SK,37.61.160.0/19
SK,37.152.64.0/18
SK,45.13.136.0/23
SK,45.13.136.0/22
SK,45.66.72.0/21
SK,45.81.40.0/22
SK,45.136.128.0/21
SK,45.137.160.0/21
SK,45.138.184.0/21
SK,45.146.240.0/21
SK,45.149.176.0/21
SK,45.152.96.0/21
SK,46.18.144.0/20
SK,46.29.0.0/20
SK,46.34.192.0/18
SK,46.150.192.0/18
SK,46.151.48.0/20
SK,46.175.0.0/20
SK,46.227.176.0/20
SK,46.228.192.0/19
SK,46.229.224.0/19
SK,46.231.96.0/20
SK,46.243.64.0/20
SK,62.65.128.0/18
SK,62.149.0.0/18
SK,62.152.192.0/18
SK,62.168.0.0/17
SK,62.169.128.0/18
SK,62.176.128.0/18
SK,62.197.128.0/17
SK,77.234.192.0/18
SK,77.247.224.0/20
SK,78.41.160.0/20
SK,78.96.0.0/14
SK,78.141.0.0/17
SK,80.81.224.0/19
SK,80.86.224.0/19
SK,80.87.192.0/19
SK,80.94.32.0/19
SK,80.242.32.0/19
SK,80.250.224.0/19
SK,81.88.128.0/19
SK,81.89.32.0/19
SK,81.92.240.0/20
SK,81.161.60.0/22
SK,81.162.64.0/19
SK,82.119.64.0/18
SK,82.119.224.0/19
SK,83.168.128.0/17
SK,84.16.0.0/18
SK,84.47.0.0/16
SK,84.245.0.0/17
SK,84.252.112.0/21
SK,85.135.0.0/16
SK,85.159.96.0/20
SK,85.216.0.0/16
SK,85.237.192.0/18
SK,85.248.0.0/15
SK,86.110.192.0/18
SK,87.196.0.0/15
SK,87.239.48.0/20
SK,87.244.128.0/17
SK,88.80.192.0/18
SK,88.212.0.0/17
SK,89.107.144.0/20
SK,89.172.0.0/15
SK,90.176.0.0/18
SK,91.126.0.0/15
SK,91.148.0.0/17
SK,91.191.0.0/17
SK,91.196.192.0/21
SK,91.199.30.0/23
SK,91.201.24.0/21
SK,91.208.40.0/23
SK,91.209.32.0/23
SK,91.209.246.0/23
SK,91.210.176.0/21
SK,91.212.112.0/23
SK,91.216.146.0/23
SK,91.217.32.0/22
SK,91.219.24.0/21
SK,91.219.128.0/21
SK,91.220.236.0/23
SK,91.221.4.0/22
SK,91.221.108.0/22
SK,91.221.112.0/22
SK,91.222.104.0/21
SK,91.223.68.0/23
SK,91.223.172.0/23
SK,91.223.208.0/23
SK,91.224.40.0/22
SK,91.226.112.0/21
SK,91.227.224.0/21
SK,91.228.160.0/21
SK,91.228.244.0/22
SK,91.229.24.0/23
SK,91.229.28.0/22
SK,91.229.32.0/21
SK,91.229.224.0/23
SK,91.230.44.0/22
SK,91.232.216.0/22
SK,91.232.216.0/21
SK,91.233.248.0/23
SK,91.235.48.0/21
SK,91.236.64.0/21
SK,91.236.82.0/23
SK,91.237.168.0/22
SK,91.242.162.0/23
SK,91.243.122.0/23
SK,92.52.0.0/17
SK,92.60.32.0/19
SK,92.240.224.0/19
SK,92.240.240.0/21
SK,92.240.240.0/20
SK,92.245.0.0/18
SK,92.245.192.0/18
SK,92.249.26.0/23
SK,93.174.176.0/20
SK,93.184.64.0/19
SK,94.124.144.0/20
SK,94.136.128.0/18
SK,94.177.20.0/23
SK,94.228.64.0/19
SK,94.229.32.0/19
SK,95.100.0.0/14
SK,95.105.0.0/16
SK,95.131.128.0/20
SK,95.142.96.0/19
SK,95.170.192.0/18
SK,109.71.64.0/20
SK,109.74.128.0/19
SK,109.230.0.0/17
SK,109.236.96.0/19
SK,134.19.128.0/20
SK,141.136.48.0/20
SK,145.255.128.0/19
SK,147.78.56.0/21
SK,147.78.168.0/21
SK,147.174.0.0/15
SK,147.212.0.0/15
SK,147.232.0.0/15
SK,151.236.224.0/19
SK,152.89.16.0/21
SK,158.192.0.0/15
SK,158.194.0.0/15
SK,158.196.0.0/15
SK,158.255.0.0/19
SK,158.255.240.0/20
SK,159.242.224.0/19
SK,159.253.96.0/20
SK,160.79.120.0/21
SK,164.40.160.0/20
SK,171.22.96.0/21
SK,176.10.32.0/20
SK,176.61.128.0/17
SK,176.101.176.0/20
SK,176.102.96.0/19
SK,176.107.0.0/19
SK,176.109.48.0/20
SK,176.112.160.0/19
SK,176.116.96.0/19
SK,176.118.96.0/19
SK,178.18.64.0/19
SK,178.23.80.0/20
SK,178.40.0.0/14
SK,178.142.0.0/15
SK,178.211.128.0/23
SK,178.253.128.0/17
SK,185.1.234.0/23
SK,185.9.112.0/21
SK,185.14.112.0/21
SK,185.18.64.0/21
SK,185.19.72.0/21
SK,185.22.176.0/21
SK,185.22.208.0/21
SK,185.23.112.0/21
SK,185.25.248.0/21
SK,185.28.24.0/21
SK,185.28.120.0/21
SK,185.28.144.0/21
SK,185.29.152.0/21
SK,185.30.120.0/21
SK,185.37.240.0/21
SK,185.42.0.0/21
SK,185.43.112.0/21
SK,185.48.248.0/21
SK,185.50.208.0/21
SK,185.54.136.0/21
SK,185.54.224.0/21
SK,185.58.96.0/21
SK,185.59.184.0/21
SK,185.61.16.0/21
SK,185.63.152.0/21
SK,185.65.68.0/23
SK,185.65.216.0/21
SK,185.66.200.0/22
SK,185.69.48.0/21
SK,185.69.104.0/21
SK,185.70.0.0/21
SK,185.74.192.0/21
SK,185.77.144.0/21
SK,185.78.152.0/21
SK,185.87.8.0/21
SK,185.90.160.0/21
SK,185.91.200.0/21
SK,185.94.152.0/21
SK,185.98.208.0/21
SK,185.103.144.0/21
SK,185.110.136.0/21
SK,185.110.144.0/21
SK,185.113.40.0/21
SK,185.121.64.0/21
SK,185.121.240.0/21
SK,185.122.48.0/21
SK,185.130.216.0/21
SK,185.133.56.0/21
SK,185.134.208.0/21
SK,185.139.224.0/21
SK,185.140.24.0/21
SK,185.140.40.0/21
SK,185.142.48.0/21
SK,185.144.160.0/21
SK,185.151.0.0/21
SK,185.152.24.0/21
SK,185.152.112.0/21
SK,185.152.192.0/21
SK,185.155.48.0/21
SK,185.156.128.0/21
SK,185.160.104.0/21
SK,185.161.168.0/21
SK,185.162.72.0/21
SK,185.165.32.0/21
SK,185.165.136.0/21
SK,185.171.136.0/21
SK,185.172.104.0/21
SK,185.175.184.0/21
SK,185.176.72.0/21
SK,185.177.0.0/21
SK,185.177.8.0/21
SK,185.180.136.0/21
SK,185.183.232.0/21
SK,185.184.24.0/21
SK,185.188.184.0/21
SK,185.188.232.0/21
SK,185.196.64.0/21
SK,185.201.232.0/21
SK,185.208.200.0/23
SK,185.211.32.0/21
SK,185.213.144.0/21
SK,185.214.192.0/21
SK,185.216.160.0/21
SK,185.218.24.0/21
SK,185.220.120.0/21
SK,185.222.208.0/23
SK,185.227.168.0/21
SK,185.228.208.0/21
SK,185.231.176.0/21
SK,185.234.248.0/21
SK,185.235.200.0/21
SK,185.242.56.0/21
SK,185.242.184.0/21
SK,185.246.56.0/21
SK,185.250.8.0/21
SK,185.250.240.0/21
SK,185.251.120.0/21
SK,185.254.248.0/21
SK,188.92.30.0/23
SK,188.112.0.0/17
SK,188.120.0.0/18
SK,188.121.128.0/18
SK,188.123.64.0/18
SK,188.166.0.0/15
SK,188.190.96.0/21
SK,188.214.108.0/23
SK,192.108.124.0/23
SK,192.108.128.0/18
SK,192.145.80.0/21
SK,193.3.242.0/23
SK,193.8.84.0/22
SK,193.8.92.0/22
SK,193.9.28.0/23
SK,193.26.134.0/23
SK,193.28.8.0/23
SK,193.42.32.0/22
SK,193.57.208.0/21
SK,193.58.192.0/21
SK,193.86.0.0/15
SK,193.93.72.0/21
SK,193.105.142.0/23
