country,cidr
SL,41.78.80.0/21
SL,41.191.248.0/21
SL,41.223.128.0/21
SL,102.22.104.0/21
SL,102.23.136.0/21
SL,102.143.0.0/16
SL,102.176.184.0/21
SL,102.206.184.0/23
SL,102.207.104.0/21
SL,102.208.242.0/23
SL,102.210.52.0/23
SL,102.210.192.0/23
SL,102.216.236.0/22
SL,102.220.248.0/23
SL,102.223.152.0/22
SL,102.223.168.0/21
SL,160.19.152.0/21
SL,160.20.112.0/21
SL,165.73.232.0/21
SL,169.239.192.0/21
SL,169.239.240.0/21
SL,196.43.228.0/23
SL,196.216.220.0/22
SL,196.223.10.0/23
SL,197.157.232.0/21
SL,197.215.0.0/16
