country,cidr
SN,41.80.0.0/14
SN,41.208.128.0/17
SN,41.214.0.0/16
SN,41.219.0.0/17
SN,102.36.136.0/21
SN,102.36.146.0/23
SN,102.164.128.0/17
SN,102.207.140.0/23
SN,102.208.108.0/22
SN,102.209.160.0/21
SN,102.209.208.0/21
SN,102.214.190.0/23
SN,154.65.32.0/20
SN,154.73.168.0/21
SN,154.115.128.0/19
SN,154.124.0.0/14
SN,160.0.128.0/17
SN,169.239.136.0/21
SN,196.1.88.0/21
SN,196.1.96.0/21
SN,196.49.42.0/23
SN,196.49.108.0/23
SN,196.50.0.0/20
SN,196.60.40.0/23
SN,196.60.252.0/23
SN,196.207.128.0/17
SN,196.216.184.0/21
SN,196.223.252.0/23
SN,196.250.200.0/21
SN,213.154.64.0/18
