country,cidr
SO,41.78.72.0/21
SO,41.79.192.0/21
SO,41.223.104.0/21
SO,102.38.48.0/21
SO,102.68.16.0/21
SO,102.68.144.0/20
SO,102.128.128.0/20
SO,102.141.192.0/21
SO,102.206.176.0/21
SO,102.210.242.0/23
SO,102.214.168.0/21
SO,102.218.8.0/22
SO,102.218.56.0/21
SO,102.218.98.0/23
SO,102.220.40.0/21
SO,102.223.184.0/21
SO,154.72.24.0/21
SO,154.72.48.0/21
SO,154.73.24.0/21
SO,154.73.40.0/21
SO,154.73.120.0/21
SO,154.115.128.0/17
SO,154.118.240.0/21
SO,192.145.160.0/20
SO,196.11.62.0/23
SO,196.49.58.0/23
SO,196.60.54.0/23
SO,197.157.240.0/21
SO,197.220.64.0/18
SO,197.231.200.0/21
