country,cidr
SS,41.79.24.0/21
SS,41.79.120.0/21
SS,41.222.72.0/21
SS,102.22.232.0/21
SS,102.23.80.0/21
SS,102.36.208.0/21
SS,102.64.0.0/21
SS,102.64.58.0/23
SS,102.64.72.0/21
SS,102.64.120.0/21
SS,102.208.128.0/21
SS,102.208.192.0/21
SS,102.211.192.0/21
SS,102.214.12.0/23
SS,102.215.16.0/21
SS,102.216.104.0/21
SS,102.222.32.0/21
SS,102.222.60.0/23
SS,102.222.64.0/22
SS,105.235.208.0/20
SS,154.73.88.0/21
SS,169.255.24.0/21
SS,169.255.136.0/21
SS,192.145.176.0/21
SS,196.60.88.0/22
SS,196.192.112.0/21
SS,196.201.8.0/21
SS,197.231.232.0/21
