country,cidr
SV,45.5.12.0/23
SV,45.152.216.0/21
SV,45.161.24.0/21
SV,45.164.206.0/23
SV,45.166.224.0/22
SV,45.167.0.0/21
SV,45.170.24.0/21
SV,45.170.232.0/21
SV,45.173.56.0/21
SV,45.180.240.0/21
SV,45.181.6.0/23
SV,45.184.100.0/22
SV,45.185.30.0/23
SV,45.186.104.0/21
SV,45.187.208.0/22
SV,131.100.136.0/21
SV,132.255.208.0/21
SV,138.94.240.0/21
SV,138.97.136.0/21
SV,138.99.0.0/21
SV,138.99.176.0/21
SV,138.186.248.0/21
SV,138.219.8.0/21
SV,138.219.152.0/21
SV,138.255.152.0/21
SV,143.0.104.0/21
SV,167.249.16.0/21
SV,168.90.104.0/21
SV,168.227.16.0/21
SV,168.232.32.0/21
SV,168.232.48.0/21
SV,168.242.0.0/15
SV,170.0.176.0/21
SV,170.239.232.0/21
SV,179.4.0.0/15
SV,179.51.0.0/17
SV,181.189.160.0/19
SV,181.225.128.0/20
SV,186.32.0.0/17
SV,186.32.240.0/20
SV,189.84.96.0/21
SV,190.5.128.0/18
SV,190.53.0.0/18
SV,190.53.64.0/18
SV,190.53.128.0/17
SV,190.57.0.0/18
SV,190.57.48.0/20
SV,190.57.0.0/17
SV,190.62.0.0/15
SV,190.84.0.0/14
SV,190.99.16.0/20
SV,190.99.0.0/18
SV,190.120.0.0/18
SV,190.122.176.0/21
SV,190.150.0.0/15
SV,190.151.160.0/19
SV,200.0.180.0/23
SV,200.11.30.0/23
SV,200.12.172.0/22
SV,200.13.128.0/18
SV,200.31.128.0/18
SV,200.33.50.0/23
SV,200.73.96.0/20
SV,200.85.0.0/18
SV,200.89.80.0/20
SV,200.106.224.0/19
SV,201.131.42.0/23
SV,201.131.108.0/22
SV,201.131.120.0/22
SV,201.150.80.0/21
SV,201.182.24.0/21
SV,201.246.0.0/15
SV,207.191.168.0/21
