country,cidr
TH,1.0.0.0/16
TH,1.1.0.0/16
TH,1.2.0.0/16
TH,1.4.0.0/16
TH,1.10.0.0/16
TH,1.20.0.0/15
TH,1.44.0.0/14
TH,1.179.0.0/16
TH,2.57.120.0/21
TH,14.128.8.0/21
TH,14.206.0.0/15
TH,27.54.0.0/15
TH,27.100.32.0/20
TH,27.123.16.0/21
TH,27.130.0.0/15
TH,27.131.128.0/17
TH,27.144.0.0/15
TH,27.254.0.0/15
TH,43.228.80.0/21
TH,43.228.192.0/21
TH,43.229.40.0/21
TH,43.229.64.0/21
TH,43.229.72.0/21
TH,43.229.128.0/21
TH,43.229.144.0/21
TH,43.239.250.0/23
TH,43.240.112.0/21
TH,43.241.56.0/21
TH,43.245.144.0/21
TH,43.246.184.0/21
TH,43.247.56.0/21
TH,43.249.32.0/21
TH,43.249.48.0/20
TH,43.249.64.0/20
TH,43.249.96.0/20
TH,43.249.112.0/21
TH,43.251.200.0/21
TH,43.252.120.0/21
TH,43.252.176.0/21
TH,43.254.128.0/21
TH,43.255.56.0/21
TH,43.255.240.0/21
TH,45.64.72.0/21
TH,45.64.88.0/21
TH,45.64.184.0/21
TH,45.89.176.0/21
TH,45.112.64.0/21
TH,45.112.136.0/21
TH,45.113.60.0/22
TH,45.115.48.0/22
TH,45.115.118.0/23
TH,45.116.216.0/21
TH,45.117.208.0/21
TH,45.121.56.0/21
TH,45.122.48.0/21
TH,45.125.128.0/21
TH,45.125.224.0/21
TH,45.126.224.0/21
TH,45.127.56.0/21
TH,45.157.88.0/21
TH,45.250.176.0/21
TH,45.252.48.0/21
TH,45.252.64.0/21
TH,49.0.0.0/17
TH,49.48.0.0/14
TH,49.50.232.0/21
TH,49.224.0.0/13
TH,49.236.0.0/15
TH,58.8.0.0/13
TH,58.64.0.0/16
TH,58.82.128.0/17
TH,58.97.0.0/16
TH,58.136.0.0/14
TH,58.147.0.0/16
TH,58.181.0.0/16
TH,59.153.208.0/21
TH,61.7.0.0/16
TH,61.18.0.0/15
TH,61.88.0.0/14
TH,78.142.240.0/21
TH,83.118.0.0/16
TH,85.204.26.0/23
TH,85.204.242.0/23
TH,85.204.244.0/23
TH,85.204.246.0/23
TH,85.204.250.0/23
TH,85.204.252.0/23
TH,86.107.52.0/23
TH,87.124.0.0/16
TH,89.36.198.0/23
TH,89.38.134.0/23
TH,89.39.90.0/23
TH,89.47.94.0/23
TH,92.114.108.0/23
TH,96.30.0.0/17
TH,101.50.0.0/15
TH,101.108.0.0/14
TH,103.1.160.0/20
TH,103.2.112.0/21
TH,103.3.64.0/21
TH,103.3.176.0/21
TH,103.4.152.0/21
TH,103.4.216.0/21
TH,103.4.224.0/21
TH,103.5.24.0/21
TH,103.5.120.0/22
TH,103.6.162.0/23
TH,103.6.164.0/23
TH,103.6.180.0/22
TH,103.7.56.0/21
TH,103.8.128.0/21
TH,103.8.208.0/21
TH,103.10.224.0/21
TH,103.11.8.0/21
TH,103.13.24.0/21
TH,103.13.208.0/21
TH,103.13.224.0/21
TH,103.14.8.0/21
TH,103.14.24.0/23
TH,103.14.160.0/21
TH,103.15.144.0/21
TH,103.16.200.0/21
TH,103.17.126.0/23
TH,103.17.248.0/23
TH,103.19.104.0/21
TH,103.20.120.0/21
TH,103.20.200.0/21
TH,103.21.24.0/21
TH,103.22.176.0/21
TH,103.23.120.0/21
TH,103.23.246.0/23
TH,103.26.16.0/21
TH,103.26.176.0/21
TH,103.27.96.0/21
TH,103.27.200.0/21
TH,103.28.96.0/21
TH,103.28.120.0/21
TH,103.28.240.0/22
TH,103.29.184.0/21
TH,103.30.120.0/21
TH,103.35.96.0/21
TH,103.40.112.0/21
TH,103.40.128.0/21
TH,103.40.128.0/20
TH,103.40.144.0/20
TH,103.40.176.0/21
TH,103.40.176.0/20
TH,103.41.56.0/22
TH,103.41.80.0/21
TH,103.42.204.0/23
TH,103.43.136.0/23
TH,103.43.228.0/23
TH,103.44.44.0/23
TH,103.44.216.0/21
TH,103.47.80.0/21
TH,103.48.12.0/23
TH,103.48.200.0/21
TH,103.49.64.0/21
TH,103.49.148.0/22
TH,103.51.8.0/22
TH,103.51.64.0/21
TH,103.51.224.0/21
TH,103.52.108.0/22
TH,103.53.156.0/22
TH,103.55.0.0/21
TH,103.55.52.0/22
TH,103.55.58.0/23
TH,103.55.136.0/21
TH,103.58.144.0/21
TH,103.60.184.0/23
TH,103.63.216.0/21
TH,103.66.128.0/21
TH,103.70.0.0/21
TH,103.70.240.0/21
TH,103.71.4.0/22
TH,103.74.248.0/21
TH,103.76.176.0/21
TH,103.76.192.0/21
TH,103.77.80.0/22
TH,103.78.100.0/22
TH,103.80.48.0/21
TH,103.80.100.0/22
TH,103.80.128.0/23
TH,103.80.216.0/21
TH,103.82.164.0/23
TH,103.82.248.0/21
TH,103.83.200.0/21
TH,103.86.48.0/21
TH,103.87.216.0/23
TH,103.90.40.0/21
TH,103.91.184.0/21
TH,103.91.200.0/21
TH,103.93.166.0/23
TH,103.95.224.0/21
TH,103.99.10.0/23
TH,103.100.136.0/21
TH,103.103.66.0/23
TH,103.104.178.0/23
TH,103.105.72.0/23
TH,103.106.8.0/21
TH,103.107.48.0/21
TH,103.107.70.0/23
TH,103.108.48.0/23
TH,103.109.56.0/21
TH,103.113.40.0/21
TH,103.113.176.0/21
TH,103.114.200.0/21
TH,103.115.128.0/21
TH,103.116.48.0/22
TH,103.117.144.0/21
TH,103.120.112.0/21
TH,103.120.246.0/23
TH,103.121.32.0/23
TH,103.122.44.0/23
TH,103.122.112.0/21
TH,103.125.82.0/23
TH,103.125.88.0/21
TH,103.126.248.0/21
TH,103.127.88.0/22
TH,103.130.180.0/22
TH,103.131.34.0/23
TH,103.131.64.0/21
TH,103.131.200.0/21
TH,103.132.0.0/21
TH,103.135.104.0/21
TH,103.136.48.0/21
TH,103.136.168.0/23
TH,103.136.252.0/22
TH,103.137.18.0/23
TH,103.137.188.0/22
TH,103.137.216.0/22
TH,103.138.140.0/22
TH,103.138.176.0/21
TH,103.139.108.0/23
TH,103.141.24.0/22
TH,103.141.120.0/22
TH,103.141.232.0/23
TH,103.142.148.0/22
TH,103.144.44.0/23
TH,103.146.160.0/22
TH,103.146.204.0/22
TH,103.149.220.0/22
TH,103.150.132.0/22
TH,103.151.48.0/22
TH,103.151.68.0/22
TH,103.151.252.0/22
TH,103.152.52.0/23
TH,103.153.118.0/23
TH,103.154.68.0/22
TH,103.154.92.0/22
TH,103.155.66.0/23
TH,103.156.110.0/23
TH,103.156.148.0/22
TH,103.159.2.0/23
TH,103.160.140.0/22
TH,103.162.42.0/23
TH,103.162.108.0/22
TH,103.163.224.0/23
TH,103.164.84.0/23
TH,103.165.56.0/22
TH,103.165.120.0/22
TH,103.166.178.0/23
TH,103.167.192.0/22
TH,103.168.172.0/22
TH,103.168.176.0/23
TH,103.170.128.0/22
TH,103.172.50.0/23
TH,103.172.122.0/23
TH,103.174.188.0/22
TH,103.175.124.0/22
TH,103.178.218.0/23
TH,103.185.144.0/22
TH,103.186.188.0/22
TH,103.189.136.0/22
TH,103.190.10.0/23
TH,103.191.64.0/22
TH,103.196.12.0/22
TH,103.196.156.0/22
TH,103.197.240.0/21
TH,103.199.168.0/22
TH,103.200.108.0/22
TH,103.205.160.0/22
TH,103.206.24.0/23
TH,103.206.200.0/21
TH,103.208.24.0/21
TH,103.208.136.0/22
TH,103.208.208.0/21
TH,103.209.48.0/21
TH,103.210.152.0/22
TH,103.212.32.0/21
TH,103.212.176.0/21
TH,103.213.200.0/21
TH,103.215.180.0/22
TH,103.215.232.0/22
TH,103.216.96.0/22
TH,103.216.156.0/22
TH,103.219.196.0/23
TH,103.225.24.0/21
TH,103.225.168.0/22
TH,103.228.192.0/22
TH,103.230.120.0/21
TH,103.230.128.0/21
TH,103.232.40.0/21
TH,103.233.80.0/21
TH,103.233.192.0/21
TH,103.233.200.0/21
TH,103.234.232.0/21
TH,103.240.56.0/21
TH,103.241.24.0/21
TH,103.241.32.0/21
TH,103.242.144.0/21
TH,103.243.178.0/23
TH,103.245.112.0/21
TH,103.245.164.0/23
TH,103.245.166.0/23
TH,103.246.16.0/21
TH,103.246.24.0/21
TH,103.246.50.0/23
TH,103.246.184.0/21
TH,103.247.56.0/21
TH,103.249.208.0/21
TH,103.253.72.0/21
TH,103.253.116.0/23
TH,103.253.128.0/21
TH,103.253.228.0/23
TH,103.254.214.0/23
TH,103.255.12.0/23
TH,103.255.198.0/23
TH,106.0.0.0/16
TH,110.34.0.0/16
TH,110.48.0.0/15
TH,110.76.152.0/21
TH,110.77.0.0/16
TH,110.78.0.0/15
TH,110.164.0.0/15
TH,110.168.0.0/13
TH,111.84.0.0/15
TH,111.223.0.0/18
TH,112.121.128.0/18
TH,112.140.0.0/14
TH,113.21.240.0/20
TH,113.52.0.0/15
TH,114.108.0.0/15
TH,114.128.0.0/15
TH,114.130.0.0/15
TH,115.31.128.0/17
TH,115.66.0.0/15
TH,115.86.0.0/15
TH,115.178.48.0/20
TH,116.58.192.0/18
TH,116.68.128.0/19
TH,116.89.248.0/21
TH,116.193.144.0/20
TH,116.204.176.0/21
TH,116.206.112.0/21
TH,116.206.120.0/21
TH,117.18.120.0/21
TH,117.46.0.0/15
TH,117.121.192.0/19
TH,118.168.0.0/13
TH,119.13.16.0/20
TH,119.31.0.0/16
TH,119.42.0.0/17
TH,119.46.0.0/15
TH,119.59.64.0/18
TH,119.63.64.0/18
TH,119.76.0.0/15
TH,119.110.128.0/17
TH,119.160.212.0/23
TH,119.160.216.0/21
TH,119.160.222.0/23
TH,122.0.0.0/20
TH,122.144.16.0/20
TH,122.152.0.0/14
TH,123.242.128.0/17
TH,123.242.192.0/20
TH,123.253.56.0/21
TH,124.40.224.0/19
TH,124.109.0.0/21
TH,124.109.16.0/20
TH,124.120.0.0/14
TH,124.157.0.0/16
TH,124.197.48.0/20
TH,125.24.0.0/13
TH,125.213.192.0/18
TH,125.254.48.0/21
TH,134.196.0.0/15
TH,134.236.0.0/15
TH,137.59.112.0/22
TH,139.5.144.0/21
TH,140.148.0.0/15
TH,143.92.108.0/22
TH,146.88.0.0/18
TH,147.50.0.0/15
TH,147.78.152.0/21
TH,150.107.8.0/21
TH,150.107.24.0/21
TH,150.107.216.0/21
TH,157.15.188.0/22
TH,157.178.0.0/15
TH,158.108.0.0/15
TH,159.192.0.0/15
TH,160.22.176.0/22
TH,160.25.168.0/22
TH,160.187.192.0/22
TH,160.187.248.0/22
TH,160.238.8.0/21
TH,160.250.116.0/22
TH,160.250.200.0/22
TH,161.82.0.0/16
TH,161.200.0.0/15
TH,161.246.0.0/15
TH,161.248.10.0/23
TH,163.61.112.0/22
TH,163.61.250.0/23
TH,163.223.212.0/22
TH,164.114.0.0/15
TH,167.94.112.0/22
TH,167.179.192.0/18
TH,168.120.0.0/15
TH,171.0.0.0/13
TH,171.96.0.0/12
TH,175.176.216.0/21
TH,180.128.0.0/15
TH,180.180.0.0/15
TH,180.182.0.0/15
TH,180.210.216.0/21
TH,180.214.192.0/18
TH,180.222.120.0/21
TH,180.222.128.0/19
TH,182.16.0.0/15
TH,182.50.64.0/19
TH,182.52.0.0/14
TH,182.93.0.0/16
TH,182.232.0.0/15
TH,182.255.0.0/20
TH,183.88.0.0/14
TH,183.90.160.0/20
TH,184.22.0.0/15
TH,184.82.0.0/15
TH,185.54.88.0/21
TH,192.41.170.0/23
TH,192.100.76.0/23
TH,192.102.82.0/23
TH,192.108.230.0/23
TH,192.133.10.0/23
TH,192.145.16.0/21
TH,192.150.248.0/23
TH,192.150.248.0/22
TH,192.188.172.0/23
TH,192.203.246.0/23
TH,192.207.64.0/23
TH,192.251.226.0/23
TH,192.251.228.0/23
TH,193.36.112.0/21
TH,194.53.174.0/23
TH,198.49.112.0/22
TH,199.21.168.0/21
TH,202.0.116.0/23
TH,202.0.116.0/22
TH,202.0.120.0/23
TH,202.3.64.0/21
TH,202.5.64.0/19
TH,202.6.0.0/19
TH,202.6.90.0/23
TH,202.6.100.0/22
TH,202.6.106.0/23
TH,202.7.58.0/23
TH,202.8.64.0/23
TH,202.8.64.0/22
TH,202.8.64.0/21
TH,202.8.76.0/22
TH,202.8.80.0/21
TH,202.9.90.0/23
TH,202.12.72.0/23
TH,202.12.74.0/23
TH,202.12.96.0/23
TH,202.12.116.0/23
TH,202.12.118.0/23
TH,202.14.164.0/23
TH,202.20.104.0/23
TH,202.21.140.0/23
TH,202.21.148.0/23
TH,202.22.0.0/20
TH,202.27.110.0/23
TH,202.28.0.0/14
TH,202.41.128.0/18
TH,202.43.0.0/22
TH,202.43.32.0/19
TH,202.44.0.0/19
TH,202.44.32.0/19
TH,202.44.48.0/21
TH,202.44.64.0/22
TH,202.44.64.0/21
TH,202.44.72.0/22
TH,202.44.96.0/23
TH,202.44.128.0/23
TH,202.44.128.0/22
TH,202.44.134.0/23
TH,202.44.136.0/23
TH,202.44.136.0/22
TH,202.44.140.0/22
TH,202.44.144.0/22
TH,202.44.128.0/17
TH,202.47.192.0/18
TH,202.52.0.0/21
TH,202.55.136.0/21
TH,202.57.128.0/17
TH,202.58.126.0/23
TH,202.58.244.0/23
TH,202.60.192.0/19
TH,202.69.128.0/20
TH,202.71.96.0/19
TH,202.80.192.0/18
TH,202.90.0.0/21
TH,202.91.16.0/20
TH,202.93.32.0/19
TH,202.94.72.0/23
TH,202.94.76.0/22
TH,202.94.88.0/22
TH,202.94.166.0/23
TH,202.94.168.0/21
TH,202.94.224.0/19
TH,202.122.32.0/20
TH,202.122.128.0/22
