country,cidr
TJ,37.98.144.0/20
TJ,45.81.36.0/23
TJ,45.94.216.0/21
TJ,45.124.96.0/22
TJ,46.20.192.0/19
TJ,62.122.128.0/20
TJ,77.95.0.0/20
TJ,77.244.128.0/19
TJ,77.247.198.0/23
TJ,79.170.176.0/20
TJ,80.73.240.0/23
TJ,81.85.100.0/23
TJ,85.8.128.0/23
TJ,85.9.128.0/17
TJ,89.104.120.0/23
TJ,91.193.26.0/23
TJ,91.200.216.0/21
TJ,91.218.160.0/21
TJ,91.218.168.0/21
TJ,91.231.248.0/21
TJ,91.235.32.0/21
TJ,94.199.16.0/20
TJ,95.142.64.0/19
TJ,109.68.224.0/20
TJ,109.74.64.0/19
TJ,109.75.32.0/19
TJ,141.193.58.0/23
TJ,146.19.182.0/23
TJ,162.120.20.0/23
TJ,176.113.128.0/19
TJ,185.42.96.0/21
TJ,185.105.224.0/21
TJ,185.121.0.0/21
TJ,185.166.56.0/21
TJ,185.177.0.0/21
TJ,185.191.48.0/21
TJ,185.194.192.0/21
TJ,185.208.96.0/21
TJ,185.222.210.0/23
TJ,193.24.110.0/23
TJ,193.33.128.0/22
TJ,193.33.136.0/22
TJ,193.57.208.0/21
TJ,193.111.8.0/22
TJ,195.26.236.0/22
TJ,195.246.100.0/22
TJ,195.246.192.0/23
TJ,217.8.32.0/19
TJ,217.11.160.0/19
TJ,217.65.64.0/23
TJ,217.197.104.0/23
