country,cidr
TL,43.243.120.0/21
TL,43.243.176.0/21
TL,43.254.56.0/21
TL,45.115.72.0/21
TL,59.153.128.0/21
TL,103.26.94.0/23
TL,103.30.112.0/21
TL,103.55.48.0/21
TL,103.94.176.0/21
TL,103.99.26.0/23
TL,103.112.32.0/21
TL,103.143.164.0/22
TL,103.148.184.0/22
TL,103.175.148.0/23
TL,103.176.12.0/22
TL,103.176.214.0/23
TL,103.193.252.0/22
TL,103.198.176.0/21
TL,103.208.32.0/21
TL,103.231.122.0/23
TL,103.236.128.0/22
TL,103.238.112.0/21
TL,150.242.104.0/21
TL,160.22.52.0/22
TL,160.30.28.0/22
TL,163.223.148.0/22
TL,180.189.160.0/19
TL,185.126.44.0/22
TL,185.242.36.0/22
