country,cidr
TN,41.62.0.0/15
TN,41.224.0.0/12
TN,91.198.206.0/23
TN,102.16.0.0/12
TN,102.96.0.0/12
TN,102.128.0.0/17
TN,102.141.200.0/21
TN,102.144.0.0/12
TN,102.164.112.0/22
TN,102.160.0.0/12
TN,102.207.248.0/22
TN,102.208.224.0/21
TN,102.210.136.0/21
TN,102.211.208.0/21
TN,102.212.8.0/22
TN,102.215.216.0/22
TN,102.217.168.0/21
TN,102.217.210.0/23
TN,102.219.112.0/21
TN,102.219.160.0/21
TN,102.219.176.0/21
TN,102.220.118.0/23
TN,102.221.128.0/21
TN,102.240.0.0/13
TN,154.72.224.0/19
TN,154.96.0.0/12
TN,160.152.0.0/13
TN,164.160.0.0/21
TN,165.48.0.0/14
TN,169.255.64.0/21
TN,192.68.138.0/23
TN,193.39.112.0/23
TN,193.95.0.0/16
TN,193.105.14.0/23
TN,193.218.122.0/23
TN,196.41.94.0/23
TN,196.176.0.0/13
TN,196.184.0.0/13
TN,196.202.0.0/15
TN,196.216.152.0/21
TN,196.224.0.0/11
TN,197.0.0.0/10
TN,197.238.0.0/15
TN,197.240.0.0/15
TN,197.244.0.0/15
TN,213.150.128.0/18
