country,cidr
TT,45.185.16.0/21
TT,45.234.160.0/21
TT,45.237.88.0/21
TT,64.28.128.0/19
TT,131.72.72.0/21
TT,131.100.32.0/21
TT,131.100.160.0/21
TT,131.221.24.0/21
TT,138.59.24.0/21
TT,138.94.240.0/21
TT,143.0.168.0/21
TT,143.137.192.0/21
TT,148.224.28.0/23
TT,161.0.112.0/20
TT,161.0.192.0/18
TT,168.195.120.0/21
TT,170.0.240.0/21
TT,170.82.208.0/21
TT,170.82.216.0/21
TT,170.84.8.0/21
TT,170.246.160.0/21
TT,179.0.28.0/23
TT,179.60.208.0/21
TT,181.118.0.0/18
TT,181.188.0.0/16
TT,186.44.0.0/14
TT,186.96.192.0/19
TT,186.195.248.0/21
TT,190.6.224.0/19
TT,190.56.0.0/14
TT,190.83.0.0/16
TT,190.93.0.0/18
TT,190.93.0.0/17
TT,190.97.96.0/19
TT,190.212.0.0/15
TT,196.3.128.0/21
TT,196.3.128.0/20
TT,196.3.144.0/21
TT,196.29.64.0/18
TT,196.32.0.0/18
TT,200.1.96.0/20
TT,200.3.176.0/20
TT,200.7.80.0/20
TT,200.9.216.0/22
TT,200.12.240.0/20
TT,200.108.0.0/18
TT,200.125.160.0/20
TT,201.221.64.0/18
TT,201.238.0.0/17
TT,209.94.192.0/18
