country,cidr
TZ,41.58.0.0/15
TZ,41.73.128.0/18
TZ,41.73.192.0/18
TZ,41.74.96.0/19
TZ,41.75.192.0/19
TZ,41.78.64.0/21
TZ,41.78.168.0/21
TZ,41.79.64.0/21
TZ,41.79.184.0/21
TZ,41.86.128.0/18
TZ,41.93.0.0/16
TZ,41.188.128.0/17
TZ,41.204.128.0/18
TZ,41.207.240.0/20
TZ,41.217.200.0/21
TZ,41.220.128.0/19
TZ,41.220.160.0/19
TZ,41.221.0.0/18
TZ,41.222.48.0/20
TZ,41.222.80.0/20
TZ,41.222.176.0/20
TZ,41.223.0.0/21
TZ,41.223.176.0/21
TZ,41.223.224.0/21
TZ,45.220.48.0/23
TZ,45.221.192.0/20
TZ,102.23.216.0/22
TZ,102.64.64.0/20
TZ,102.68.64.0/21
TZ,102.68.70.0/23
TZ,102.69.160.0/21
TZ,102.165.190.0/23
TZ,102.177.80.0/20
TZ,102.206.224.0/21
TZ,102.207.24.0/21
TZ,102.207.144.0/22
TZ,102.207.200.0/21
TZ,102.207.220.0/23
TZ,102.207.232.0/21
TZ,102.208.72.0/21
TZ,102.208.152.0/21
TZ,102.208.184.0/21
TZ,102.208.240.0/21
TZ,102.209.32.0/21
TZ,102.209.88.0/22
TZ,102.209.88.0/21
TZ,102.209.128.0/21
TZ,102.209.152.0/23
TZ,102.210.40.0/21
TZ,102.210.52.0/22
TZ,102.210.80.0/21
TZ,102.210.176.0/21
TZ,102.210.200.0/21
TZ,102.211.32.0/21
TZ,102.211.64.0/21
TZ,102.211.88.0/21
TZ,102.211.120.0/23
TZ,102.211.196.0/22
TZ,102.211.248.0/21
TZ,102.212.80.0/22
TZ,102.212.104.0/21
TZ,102.212.112.0/20
TZ,102.213.16.0/22
TZ,102.213.32.0/21
TZ,102.213.54.0/23
TZ,102.214.24.0/21
TZ,102.214.32.0/21
TZ,102.214.40.0/21
TZ,102.214.48.0/21
TZ,102.214.142.0/23
TZ,102.215.24.0/21
TZ,102.215.144.0/21
TZ,102.215.160.0/21
TZ,102.216.24.0/23
TZ,102.216.56.0/21
TZ,102.216.130.0/23
TZ,102.216.168.0/21
TZ,102.216.240.0/21
TZ,102.217.72.0/21
TZ,102.217.80.0/21
TZ,102.217.210.0/23
TZ,102.218.24.0/21
TZ,102.218.72.0/21
TZ,102.218.144.0/21
TZ,102.218.240.0/21
TZ,102.219.28.0/23
TZ,102.219.82.0/23
TZ,102.219.120.0/21
TZ,102.219.172.0/23
TZ,102.219.204.0/22
TZ,102.219.216.0/21
TZ,102.220.72.0/21
TZ,102.220.128.0/22
TZ,102.220.184.0/21
TZ,102.221.16.0/21
TZ,102.221.116.0/23
TZ,102.222.26.0/23
TZ,102.222.80.0/21
TZ,102.223.0.0/23
TZ,102.223.6.0/23
TZ,102.223.8.0/21
TZ,102.223.16.0/21
TZ,154.0.144.0/20
TZ,154.66.224.0/21
TZ,154.72.16.0/21
TZ,154.72.64.0/18
TZ,154.73.64.0/21
TZ,154.73.168.0/21
TZ,154.72.0.0/14
TZ,154.118.224.0/20
TZ,154.126.192.0/18
TZ,154.127.0.0/18
TZ,155.12.0.0/16
TZ,156.152.0.0/13
TZ,165.16.192.0/20
TZ,169.239.0.0/21
TZ,169.255.48.0/21
TZ,169.255.112.0/21
TZ,169.255.184.0/21
TZ,192.231.236.0/23
TZ,196.6.226.0/23
TZ,196.11.254.0/23
TZ,196.13.104.0/23
TZ,196.13.132.0/23
TZ,196.13.186.0/23
TZ,196.29.48.0/20
TZ,196.32.240.0/20
TZ,196.41.0.0/18
TZ,196.41.76.0/23
TZ,196.41.86.0/23
TZ,196.43.64.0/18
TZ,196.43.220.0/23
TZ,196.43.230.0/23
TZ,196.44.160.0/19
TZ,196.45.32.0/19
TZ,196.45.128.0/18
TZ,196.45.184.0/21
TZ,196.46.96.0/19
TZ,196.46.120.0/21
TZ,196.46.128.0/20
TZ,196.49.4.0/23
TZ,196.49.12.0/23
TZ,196.49.20.0/23
TZ,196.49.50.0/23
TZ,196.49.52.0/23
TZ,196.49.54.0/23
TZ,196.50.20.0/23
TZ,196.60.0.0/23
TZ,196.60.48.0/23
TZ,196.60.50.0/23
TZ,196.60.52.0/23
TZ,196.61.0.0/20
TZ,196.192.64.0/20
TZ,196.200.224.0/19
TZ,196.216.162.0/23
TZ,196.216.216.0/22
TZ,196.216.232.0/22
TZ,196.216.246.0/23
TZ,196.223.4.0/23
TZ,196.223.6.0/23
TZ,196.249.0.0/17
TZ,197.149.176.0/21
TZ,197.152.0.0/15
TZ,197.184.0.0/14
TZ,197.215.224.0/19
TZ,197.221.192.0/18
TZ,197.234.224.0/21
TZ,197.242.192.0/20
TZ,197.250.0.0/15
TZ,217.29.128.0/19
