country,cidr
UA,2.56.104.0/21
UA,2.56.168.0/23
UA,2.57.200.0/21
UA,2.58.200.0/21
UA,5.1.0.0/18
UA,5.44.252.0/23
UA,5.53.112.0/20
UA,5.56.16.0/20
UA,5.57.64.0/20
UA,5.58.0.0/15
UA,5.83.16.0/20
UA,5.102.32.0/21
UA,5.104.0.0/15
UA,5.180.128.0/21
UA,5.180.176.0/23
UA,5.181.80.0/21
UA,5.181.248.0/21
UA,5.182.96.0/21
UA,5.183.200.0/21
UA,5.199.224.0/20
UA,5.206.0.0/15
UA,5.248.0.0/15
UA,5.252.176.0/21
UA,5.255.32.0/19
UA,5.255.128.0/18
UA,31.3.192.0/19
UA,31.12.0.0/16
UA,31.24.80.0/23
UA,31.31.64.0/18
UA,31.40.16.0/20
UA,31.40.96.0/20
UA,31.41.48.0/20
UA,31.41.64.0/19
UA,31.41.80.0/20
UA,31.41.96.0/20
UA,31.41.112.0/20
UA,31.41.128.0/20
UA,31.41.208.0/20
UA,31.42.32.0/19
UA,31.42.64.0/19
UA,31.42.112.0/20
UA,31.42.160.0/19
UA,31.42.176.0/22
UA,31.42.180.0/23
UA,31.42.182.0/23
UA,31.42.176.0/20
UA,31.43.0.0/16
UA,31.43.162.0/23
UA,31.43.160.0/21
UA,31.43.168.0/21
UA,31.43.178.0/23
UA,31.43.176.0/21
UA,31.43.184.0/23
UA,31.43.184.0/21
UA,31.43.192.0/18
UA,31.128.64.0/19
UA,31.128.64.0/18
UA,31.128.160.0/20
UA,31.128.168.0/22
UA,31.128.168.0/21
UA,31.128.160.0/19
UA,31.128.192.0/18
UA,31.129.64.0/18
UA,31.129.128.0/18
UA,31.129.192.0/18
UA,31.131.0.0/19
UA,31.131.32.0/20
UA,31.131.64.0/18
UA,31.131.128.0/20
UA,31.133.64.0/19
UA,31.133.96.0/21
UA,31.133.112.0/20
UA,31.134.64.0/18
UA,31.134.96.0/20
UA,31.134.96.0/19
UA,31.134.208.0/20
UA,31.135.128.0/18
UA,31.135.176.0/20
UA,31.144.0.0/15
UA,31.170.128.0/18
UA,31.193.64.0/19
UA,31.193.184.0/23
UA,31.193.190.0/23
UA,31.202.0.0/15
UA,31.217.252.0/23
UA,31.222.234.0/23
UA,31.222.236.0/23
UA,37.17.240.0/20
UA,37.25.64.0/18
UA,37.44.232.0/21
UA,37.46.208.0/20
UA,37.46.192.0/18
UA,37.48.0.0/13
UA,37.56.0.0/15
UA,37.72.32.0/20
UA,37.72.128.0/23
UA,37.72.0.0/15
UA,37.114.0.0/15
UA,37.139.64.0/20
UA,37.140.248.0/22
UA,37.143.80.0/20
UA,37.143.128.0/21
UA,37.203.0.0/18
UA,37.221.128.0/18
UA,37.228.0.0/15
UA,43.252.24.0/21
UA,45.9.24.0/21
UA,45.9.232.0/21
UA,45.10.32.0/21
UA,45.10.88.0/21
UA,45.11.56.0/21
UA,45.11.198.0/23
UA,45.12.0.0/21
UA,45.13.184.0/21
UA,45.14.16.0/20
UA,45.14.104.0/21
UA,45.15.232.0/21
UA,45.67.16.0/21
UA,45.81.112.0/21
UA,45.82.8.0/21
UA,45.82.80.0/21
UA,45.84.88.0/21
UA,45.85.32.0/21
UA,45.87.88.0/21
UA,45.88.136.0/21
UA,45.90.176.0/21
UA,45.91.128.0/21
UA,45.91.216.0/21
UA,45.94.88.0/21
UA,45.94.152.0/21
UA,45.94.168.0/21
UA,45.128.144.0/21
UA,45.128.184.0/21
UA,45.130.0.0/21
UA,45.130.240.0/21
UA,45.132.88.0/21
UA,45.132.176.0/21
UA,45.134.96.0/23
UA,45.134.168.0/21
UA,45.135.0.0/21
UA,45.138.176.0/21
UA,45.140.40.0/21
UA,45.140.120.0/21
UA,45.142.88.0/21
UA,45.144.208.0/21
UA,45.147.136.0/21
UA,45.148.224.0/21
UA,45.149.24.0/21
UA,45.150.148.0/23
UA,45.151.0.0/21
UA,45.151.232.0/21
UA,45.152.72.0/21
UA,45.152.160.0/21
UA,45.154.112.0/21
UA,45.154.128.0/21
UA,45.154.136.0/21
UA,45.154.218.0/23
UA,45.155.80.0/21
UA,45.156.32.0/21
UA,45.157.200.0/21
UA,45.158.128.0/21
UA,45.158.240.0/21
UA,45.159.96.0/21
UA,46.16.160.0/22
UA,46.16.164.0/23
UA,46.16.166.0/23
UA,46.18.0.0/20
UA,46.28.192.0/20
UA,46.29.128.0/20
UA,46.33.0.0/18
UA,46.33.192.0/18
UA,46.37.192.0/18
UA,46.39.64.0/18
UA,46.46.0.0/17
UA,46.63.0.0/16
UA,46.96.0.0/15
UA,46.98.0.0/15
UA,46.116.0.0/14
UA,46.132.0.0/15
UA,46.149.32.0/19
UA,46.149.64.0/19
UA,46.149.160.0/19
UA,46.150.0.0/18
UA,46.150.0.0/17
UA,46.151.80.0/20
UA,46.151.240.0/20
UA,46.160.0.0/17
UA,46.164.128.0/17
UA,46.172.64.0/18
UA,46.172.128.0/18
UA,46.173.0.0/17
UA,46.173.128.0/18
UA,46.174.64.0/20
UA,46.174.112.0/20
UA,46.174.160.0/20
UA,46.174.240.0/20
UA,46.175.16.0/20
UA,46.175.64.0/19
UA,46.175.128.0/20
UA,46.175.144.0/20
UA,46.175.160.0/20
UA,46.175.176.0/20
UA,46.175.224.0/19
UA,46.182.80.0/20
UA,46.185.0.0/16
UA,46.200.0.0/13
UA,46.210.0.0/15
UA,46.218.0.0/15
UA,46.227.128.0/20
UA,46.229.32.0/19
UA,46.231.224.0/20
UA,46.232.224.0/20
UA,46.247.80.0/20
UA,46.250.0.0/18
UA,46.250.64.0/18
UA,46.252.192.0/19
UA,46.254.104.0/22
UA,62.3.26.0/23
UA,62.16.0.0/18
UA,62.64.0.0/17
UA,62.68.74.0/23
UA,62.80.128.0/18
UA,62.84.240.0/20
UA,62.106.68.0/23
UA,62.106.84.0/23
UA,62.122.48.0/20
UA,62.122.64.0/20
UA,62.122.144.0/20
UA,62.122.192.0/20
UA,62.122.216.0/21
UA,62.182.64.0/20
UA,62.182.80.0/20
UA,62.182.112.0/20
UA,62.182.160.0/20
UA,62.204.50.0/23
UA,62.216.0.0/18
UA,62.221.0.0/18
UA,62.233.58.0/23
UA,62.244.0.0/17
UA,77.47.0.0/16
UA,77.52.0.0/15
UA,77.75.144.0/20
UA,77.83.32.0/21
UA,77.83.96.0/21
UA,77.87.32.0/19
UA,77.87.126.0/23
UA,77.87.144.0/20
UA,77.88.192.0/18
UA,77.88.224.0/19
UA,77.93.0.0/18
UA,77.95.170.0/23
UA,77.95.172.0/22
UA,77.95.222.0/23
UA,77.109.0.0/17
UA,77.120.0.0/18
UA,77.120.56.0/21
UA,77.120.0.0/17
UA,77.120.0.0/16
UA,77.121.0.0/20
UA,77.121.14.0/23
UA,77.121.0.0/19
UA,77.121.0.0/17
UA,77.123.128.0/17
UA,77.222.128.0/18
UA,77.239.128.0/18
UA,77.244.32.0/19
UA,77.247.0.0/19
UA,77.247.208.0/20
UA,78.25.0.0/17
UA,78.26.0.0/16
UA,78.27.128.0/17
UA,78.31.176.0/22
UA,78.41.56.0/23
UA,78.109.0.0/19
UA,78.111.0.0/19
UA,78.111.192.0/19
UA,78.152.128.0/18
UA,78.154.128.0/18
UA,78.159.0.0/18
UA,79.110.0.0/19
UA,79.110.64.0/19
UA,79.110.96.0/19
UA,79.110.128.0/19
UA,79.110.192.0/19
UA,79.124.0.0/16
UA,79.135.192.0/18
UA,79.140.0.0/19
UA,79.142.192.0/19
UA,79.143.32.0/19
UA,79.171.112.0/20
UA,80.64.64.0/19
UA,80.68.146.0/23
UA,80.70.64.0/18
UA,80.71.158.0/23
UA,80.73.0.0/19
UA,80.77.32.0/19
UA,80.78.0.0/18
UA,80.84.160.0/19
UA,80.90.224.0/19
UA,80.91.128.0/18
UA,80.91.214.0/23
UA,80.93.96.0/19
UA,80.243.128.0/19
UA,80.249.224.0/19
UA,80.252.224.0/19
UA,80.254.0.0/19
UA,80.255.64.0/19
UA,81.17.128.0/19
UA,81.22.128.0/19
UA,81.23.0.0/19
UA,81.24.192.0/19
UA,81.25.224.0/19
UA,81.30.160.0/19
UA,81.90.224.0/19
UA,81.95.160.0/19
UA,81.162.64.0/19
UA,81.162.208.0/20
UA,81.162.192.0/18
UA,81.163.80.0/20
UA,81.163.96.0/19
UA,81.163.192.0/19
UA,82.117.240.0/23
UA,82.117.244.0/22
UA,82.117.248.0/21
UA,82.144.192.0/18
UA,82.207.0.0/16
UA,83.97.76.0/23
UA,83.137.80.0/20
UA,83.142.96.0/20
UA,83.142.224.0/20
UA,83.143.224.0/20
UA,83.150.200.0/21
UA,83.170.128.0/17
UA,83.218.192.0/18
UA,84.234.104.0/21
UA,84.246.80.0/23
UA,84.246.106.0/23
UA,85.90.200.0/21
UA,85.90.222.0/23
UA,85.114.192.0/18
UA,85.159.0.0/20
UA,85.198.128.0/17
UA,85.209.40.0/21
UA,85.209.120.0/21
UA,85.223.0.0/16
UA,85.238.64.0/18
UA,85.255.176.0/20
UA,86.62.40.0/21
UA,86.111.64.0/18
UA,87.76.0.0/16
UA,87.237.166.0/23
UA,87.238.144.0/20
UA,87.244.128.0/17
UA,87.247.152.0/21
UA,88.81.192.0/18
UA,88.135.0.0/19
UA,88.135.68.0/23
UA,88.135.128.0/17
UA,88.151.12.0/23
UA,88.151.112.0/23
UA,88.152.0.0/14
UA,88.214.8.0/21
UA,88.214.0.0/17
UA,88.218.24.0/21
UA,88.218.176.0/21
UA,88.218.184.0/21
UA,89.19.64.0/18
UA,89.19.128.0/18
UA,89.21.64.0/20
UA,89.21.80.0/21
UA,89.21.80.0/20
UA,89.22.32.0/20
UA,89.22.192.0/20
UA,89.28.192.0/20
UA,89.105.192.0/18
UA,89.162.0.0/16
UA,89.185.0.0/18
UA,89.187.0.0/18
UA,89.200.240.0/20
UA,89.207.152.0/23
UA,89.208.0.0/15
UA,89.251.0.0/19
UA,89.252.0.0/17
UA,91.90.0.0/20
UA,91.90.16.0/20
UA,91.90.196.0/22
UA,91.102.176.0/21
UA,91.105.208.0/20
UA,91.123.128.0/19
UA,91.124.0.0/15
