country,cidr
UG,41.75.128.0/18
UG,41.77.64.0/20
UG,41.84.192.0/18
UG,41.191.72.0/21
UG,41.202.192.0/18
UG,41.210.128.0/17
UG,41.217.224.0/20
UG,41.220.0.0/19
UG,41.220.192.0/19
UG,41.221.64.0/19
UG,41.223.80.0/21
UG,45.221.8.0/21
UG,45.221.64.0/20
UG,80.88.2.0/23
UG,102.34.0.0/15
UG,102.36.208.0/20
UG,102.68.124.0/23
UG,102.68.168.0/21
UG,102.80.0.0/12
UG,102.134.136.0/21
UG,102.134.144.0/20
UG,102.164.120.0/23
UG,102.206.128.0/21
UG,102.207.104.0/21
UG,102.207.220.0/23
UG,102.208.64.0/21
UG,102.208.80.0/21
UG,102.209.104.0/21
UG,102.209.128.0/21
UG,102.209.200.0/21
UG,102.209.238.0/23
UG,102.210.104.0/21
UG,102.210.158.0/23
UG,102.211.56.0/21
UG,102.211.168.0/21
UG,102.213.192.0/21
UG,102.214.144.0/21
UG,102.214.190.0/23
UG,102.215.40.0/21
UG,102.215.94.0/23
UG,102.215.104.0/21
UG,102.215.160.0/21
UG,102.216.144.0/20
UG,102.217.52.0/22
UG,102.217.56.0/21
UG,102.217.208.0/23
UG,102.218.32.0/21
UG,102.218.88.0/21
UG,102.218.104.0/21
UG,102.219.72.0/22
UG,102.219.96.0/21
UG,102.220.20.0/23
UG,102.220.88.0/21
UG,102.220.156.0/22
UG,102.220.200.0/21
UG,102.222.64.0/21
UG,102.222.72.0/22
UG,102.222.152.0/21
UG,102.222.232.0/21
UG,102.223.88.0/21
UG,102.223.216.0/21
UG,102.223.248.0/23
UG,129.205.0.0/18
UG,137.63.0.0/16
UG,154.0.128.0/19
UG,154.66.216.0/21
UG,154.72.16.0/21
UG,154.72.192.0/18
UG,154.224.0.0/12
UG,160.119.144.0/21
UG,164.160.0.0/21
UG,193.108.214.0/23
UG,193.108.248.0/21
UG,196.0.0.0/15
UG,196.10.118.0/23
UG,196.10.136.0/22
UG,196.10.228.0/23
UG,196.13.122.0/23
UG,196.43.128.0/17
UG,196.43.226.0/23
UG,196.49.14.0/23
UG,196.49.82.0/23
UG,196.60.82.0/23
UG,196.216.176.0/21
UG,196.223.24.0/23
UG,197.157.0.0/17
UG,197.221.128.0/18
UG,197.239.0.0/17
UG,212.88.64.0/18
UG,216.104.192.0/19
