country,cidr
US,1.178.0.0/22
US,1.178.0.0/21
US,1.178.0.0/20
US,1.178.0.0/19
US,1.178.64.0/22
US,1.178.64.0/21
US,1.178.64.0/20
US,1.178.80.0/23
US,1.178.84.0/22
US,1.178.80.0/20
US,1.178.96.0/21
US,1.178.96.0/20
US,1.178.128.0/19
US,1.178.160.0/20
US,1.178.176.0/21
US,1.178.176.0/20
US,1.178.192.0/19
US,1.179.0.0/22
US,1.179.12.0/22
US,1.179.16.0/20
US,1.179.32.0/20
US,1.179.48.0/21
US,1.179.56.0/21
US,1.179.64.0/20
US,1.179.80.0/20
US,1.179.96.0/21
US,1.179.96.0/20
US,2.56.8.0/22
US,2.56.10.0/23
US,2.56.32.0/21
US,2.56.160.0/21
US,2.57.24.0/21
US,2.57.64.0/21
US,2.57.72.0/21
US,2.57.160.0/21
US,2.57.232.0/21
US,2.57.248.0/21
US,2.58.176.0/21
US,2.58.248.0/21
US,2.59.8.0/22
US,2.59.14.0/23
US,2.0.0.0/7
US,4.0.0.0/7
US,5.8.250.0/23
US,5.10.224.0/20
US,5.22.154.0/23
US,5.34.176.0/20
US,5.35.192.0/20
US,5.42.128.0/18
US,5.42.198.0/23
US,5.42.202.0/23
US,5.44.254.0/23
US,5.60.0.0/15
US,5.62.144.0/20
US,5.63.144.0/20
US,5.100.144.0/20
US,5.101.96.0/19
US,5.104.64.0/20
US,5.145.176.0/21
US,5.149.112.0/20
US,5.150.152.0/21
US,5.154.240.0/23
US,5.174.0.0/15
US,5.179.96.0/19
US,5.180.72.0/21
US,5.181.176.0/21
US,5.182.48.0/21
US,5.182.96.0/21
US,5.182.120.0/21
US,5.182.184.0/21
US,5.182.192.0/20
US,5.183.76.0/22
US,5.183.88.0/21
US,5.183.96.0/21
US,5.183.240.0/21
US,5.253.80.0/21
US,5.253.184.0/21
US,4.0.0.0/6
US,8.0.0.0/8
US,8.192.0.0/11
US,8.192.0.0/10
US,9.0.0.0/8
US,9.134.0.0/15
US,9.136.0.0/15
US,9.136.0.0/14
US,9.142.0.0/15
US,9.144.0.0/15
US,9.146.0.0/15
US,9.148.0.0/15
US,9.148.0.0/14
US,9.152.0.0/13
US,9.160.0.0/15
US,9.162.0.0/15
US,9.164.0.0/15
US,9.168.0.0/15
US,9.168.0.0/14
US,9.172.0.0/15
US,9.172.0.0/14
US,9.176.0.0/15
US,9.176.0.0/14
US,9.176.0.0/13
US,9.184.0.0/15
US,9.184.0.0/14
US,9.188.0.0/14
US,9.190.0.0/15
US,9.192.0.0/14
US,9.196.0.0/14
US,9.198.0.0/15
US,9.200.0.0/13
