country,cidr
UY,45.6.240.0/20
UY,45.228.64.0/22
UY,69.164.80.0/23
UY,69.164.90.0/23
UY,69.164.98.0/23
UY,131.0.208.0/21
UY,138.59.8.0/21
UY,138.99.40.0/21
UY,152.156.0.0/15
UY,161.0.112.0/20
UY,164.72.0.0/15
UY,167.48.0.0/12
UY,167.108.0.0/15
UY,167.116.0.0/15
UY,168.121.184.0/21
UY,170.247.168.0/21
UY,179.0.152.0/21
UY,179.16.0.0/12
UY,181.103.64.0/19
UY,181.224.164.0/22
UY,186.8.0.0/15
UY,186.48.0.0/12
UY,190.0.128.0/18
UY,190.64.0.0/15
UY,190.99.96.0/19
UY,190.108.0.0/18
UY,190.110.244.0/23
UY,190.112.48.0/21
UY,190.112.192.0/21
UY,190.112.200.0/21
UY,190.128.0.0/13
UY,192.146.236.0/23
UY,200.0.68.0/22
UY,200.0.84.0/22
UY,200.0.88.0/23
UY,200.0.200.0/21
UY,200.2.0.0/18
UY,200.3.8.0/21
UY,200.7.80.0/21
UY,200.10.56.0/21
UY,200.12.154.0/23
UY,200.12.156.0/23
UY,200.35.152.0/21
UY,200.40.0.0/15
UY,200.58.128.0/18
UY,200.71.0.0/18
UY,200.90.152.0/22
UY,200.93.240.0/20
UY,200.108.128.0/17
UY,200.115.64.0/20
UY,200.124.192.0/18
UY,200.125.0.0/17
UY,201.217.128.0/17
UY,201.219.224.0/20
UY,201.219.248.0/21
UY,201.221.0.0/17
