country,cidr
UZ,5.133.120.0/21
UZ,31.40.16.0/20
UZ,31.135.208.0/20
UZ,37.110.208.0/20
UZ,37.153.158.0/23
UZ,45.9.224.0/21
UZ,45.91.216.0/21
UZ,45.150.24.0/21
UZ,45.153.56.0/21
UZ,45.153.64.0/21
UZ,46.227.112.0/20
UZ,46.255.64.0/20
UZ,62.164.144.0/21
UZ,62.164.152.0/22
UZ,62.209.128.0/18
UZ,77.83.56.0/22
UZ,80.80.192.0/19
UZ,81.95.224.0/19
UZ,82.215.64.0/22
UZ,82.215.68.0/22
UZ,82.215.72.0/21
UZ,82.215.76.0/23
UZ,82.215.76.0/22
UZ,82.215.80.0/21
UZ,82.215.84.0/23
UZ,82.215.84.0/22
UZ,82.215.80.0/20
UZ,82.215.64.0/18
UZ,83.69.128.0/18
UZ,83.221.128.0/18
UZ,83.222.4.0/22
UZ,84.54.0.0/17
UZ,85.204.78.0/23
UZ,86.62.0.0/21
UZ,87.237.224.0/20
UZ,89.39.92.0/22
UZ,89.104.102.0/23
UZ,89.146.0.0/17
UZ,89.223.2.0/23
UZ,89.236.128.0/17
UZ,89.249.56.0/21
UZ,90.156.160.0/20
UZ,90.156.192.0/20
UZ,91.90.216.0/21
UZ,91.188.128.0/18
UZ,91.190.158.0/23
UZ,91.196.72.0/21
UZ,91.203.168.0/21
UZ,91.204.232.0/21
UZ,91.212.88.0/23
UZ,91.212.124.0/23
UZ,91.212.180.0/23
UZ,91.213.30.0/23
UZ,91.216.36.0/23
UZ,91.227.12.0/22
UZ,91.229.160.0/21
UZ,91.231.56.0/21
UZ,91.234.216.0/22
UZ,91.240.8.0/21
UZ,91.240.128.0/23
UZ,92.63.200.0/21
UZ,92.119.248.0/21
UZ,93.157.58.0/23
UZ,93.188.80.0/20
UZ,94.141.64.0/18
UZ,94.154.10.0/23
UZ,94.158.32.0/19
UZ,94.158.208.0/20
UZ,94.230.224.0/19
UZ,94.232.24.0/21
UZ,94.232.252.0/23
UZ,95.214.208.0/21
UZ,109.94.168.0/21
UZ,109.207.224.0/19
UZ,118.88.16.0/20
UZ,119.12.96.0/20
UZ,139.28.40.0/21
UZ,178.216.128.0/20
UZ,178.218.192.0/20
UZ,185.0.22.0/23
UZ,185.0.36.0/23
UZ,185.1.250.0/23
UZ,185.4.160.0/21
UZ,185.6.40.0/21
UZ,185.8.208.0/21
UZ,185.63.224.0/21
UZ,185.72.100.0/23
UZ,185.74.0.0/21
UZ,185.74.96.0/21
UZ,185.78.136.0/21
UZ,185.93.120.0/21
UZ,185.100.48.0/21
UZ,185.137.152.0/21
UZ,185.139.136.0/21
UZ,185.163.24.0/21
UZ,185.166.254.0/23
UZ,185.178.50.0/23
UZ,185.183.240.0/21
UZ,185.196.208.0/21
UZ,185.196.216.0/21
UZ,185.203.232.0/21
UZ,185.208.176.0/21
UZ,185.211.128.0/21
UZ,185.213.224.0/21
UZ,185.215.4.0/23
UZ,185.230.200.0/21
UZ,185.231.66.0/23
UZ,185.234.112.0/23
UZ,185.239.152.0/21
UZ,185.248.40.0/21
UZ,185.249.8.0/23
UZ,188.113.128.0/17
UZ,188.190.96.0/21
UZ,192.166.224.0/21
UZ,193.24.96.0/23
UZ,193.27.204.0/22
UZ,193.104.178.0/23
UZ,193.107.16.0/21
UZ,193.222.110.0/23
UZ,194.31.110.0/23
UZ,194.55.88.0/21
UZ,194.62.104.0/21
UZ,194.93.24.0/21
UZ,194.107.114.0/23
UZ,195.69.184.0/21
UZ,195.88.212.0/22
UZ,195.158.0.0/18
UZ,195.211.176.0/21
UZ,195.246.112.0/23
UZ,198.163.192.0/19
UZ,202.79.176.0/20
UZ,212.115.112.0/21
UZ,213.110.228.0/22
UZ,213.110.236.0/22
UZ,213.206.0.0/18
UZ,213.230.0.0/17
UZ,217.12.64.0/19
UZ,217.29.96.0/19
UZ,217.30.160.0/19
