country,cidr
VE,45.7.136.0/21
VE,45.68.88.0/21
VE,45.68.96.0/21
VE,45.160.224.0/21
VE,45.166.16.0/21
VE,45.168.172.0/22
VE,45.169.136.0/21
VE,45.170.108.0/22
VE,45.173.192.0/21
VE,45.173.200.0/21
VE,45.175.22.0/23
VE,45.175.32.0/21
VE,45.175.208.0/21
VE,45.178.160.0/21
VE,45.179.8.0/21
VE,45.179.160.0/21
VE,45.181.120.0/21
VE,45.181.224.0/21
VE,45.181.248.0/21
VE,45.182.140.0/22
VE,45.183.40.0/22
VE,45.184.102.0/23
VE,45.184.248.0/21
VE,45.185.148.0/23
VE,45.185.184.0/22
VE,45.186.144.0/21
VE,45.186.200.0/21
VE,45.186.208.0/21
VE,45.187.0.0/21
VE,45.187.88.0/21
VE,45.189.32.0/21
VE,45.189.234.0/23
VE,45.190.84.0/22
VE,45.190.120.0/21
VE,45.190.168.0/22
VE,45.226.188.0/22
VE,45.230.40.0/21
VE,45.230.86.0/23
VE,45.230.168.0/21
VE,45.234.56.0/21
VE,45.236.24.0/21
VE,45.236.120.0/23
VE,74.123.48.0/21
VE,129.90.0.0/15
VE,131.72.168.0/21
VE,131.221.112.0/21
VE,138.36.146.0/23
VE,138.59.8.0/21
VE,138.59.112.0/21
VE,138.118.200.0/21
VE,138.122.0.0/21
VE,138.185.64.0/21
VE,138.186.0.0/21
VE,138.186.176.0/21
VE,143.0.96.0/21
VE,143.255.80.0/21
VE,150.184.0.0/15
VE,150.184.0.0/14
VE,150.188.0.0/14
VE,159.90.0.0/15
VE,160.20.216.0/22
VE,160.238.240.0/21
VE,161.22.32.0/20
VE,161.140.0.0/15
VE,161.196.0.0/15
VE,161.212.0.0/15
VE,161.234.0.0/15
VE,161.254.0.0/15
VE,162.122.0.0/15
VE,167.134.0.0/15
VE,167.249.32.0/21
VE,167.250.48.0/21
VE,168.90.88.0/21
VE,168.194.104.0/21
VE,168.232.100.0/22
VE,170.81.144.0/21
VE,170.83.72.0/21
VE,170.84.136.0/21
VE,170.150.88.0/21
VE,170.244.48.0/21
VE,170.244.88.0/21
VE,170.245.34.0/23
VE,170.246.76.0/23
VE,170.246.78.0/23
VE,170.246.88.0/21
VE,170.247.208.0/21
VE,170.254.168.0/21
VE,179.0.104.0/21
VE,179.16.0.0/13
VE,179.40.0.0/13
VE,179.63.32.0/21
VE,179.63.104.0/21
VE,181.16.0.0/15
VE,181.16.0.0/14
VE,181.32.0.0/14
VE,181.174.176.0/20
VE,181.176.0.0/13
VE,181.184.0.0/13
VE,181.189.56.0/21
VE,181.189.72.0/21
VE,181.191.224.0/21
VE,181.208.0.0/15
VE,181.225.0.0/18
VE,181.232.176.0/21
VE,181.233.88.0/21
VE,181.233.160.0/21
VE,186.14.0.0/15
VE,186.24.0.0/14
VE,186.26.0.0/16
VE,186.80.0.0/12
VE,186.96.64.0/19
VE,186.148.192.0/21
VE,186.160.0.0/13
VE,186.184.0.0/13
VE,189.127.164.0/22
VE,190.6.0.0/17
VE,190.8.160.0/21
VE,190.8.168.0/21
VE,190.9.128.0/18
VE,190.15.128.0/18
VE,190.32.0.0/13
VE,190.52.96.0/19
VE,190.64.0.0/12
VE,190.89.28.0/23
VE,190.89.28.0/22
VE,190.93.40.0/21
VE,190.94.128.0/17
VE,190.97.192.0/18
VE,190.103.24.0/21
VE,190.103.0.0/18
VE,190.111.120.0/21
VE,190.114.240.0/20
VE,190.120.240.0/20
VE,190.121.224.0/19
VE,190.122.208.0/20
VE,190.123.64.0/22
VE,190.123.128.0/18
VE,190.124.24.0/21
VE,190.142.0.0/15
VE,190.153.0.0/16
VE,190.168.0.0/14
VE,190.196.0.0/14
VE,190.192.0.0/12
VE,191.97.16.0/21
VE,192.65.152.0/23
VE,200.0.64.0/23
VE,200.0.138.0/23
VE,200.1.0.0/21
VE,200.1.0.0/20
VE,200.1.118.0/23
VE,200.1.144.0/20
VE,200.1.160.0/22
VE,200.1.160.0/21
VE,200.1.168.0/21
VE,200.1.176.0/20
VE,200.2.0.0/20
VE,200.3.0.0/20
VE,200.5.32.0/20
VE,200.5.128.0/17
VE,200.6.26.0/23
VE,200.8.0.0/15
VE,200.10.234.0/23
VE,200.10.254.0/23
VE,200.11.0.0/16
VE,200.12.192.0/23
VE,200.14.0.0/20
VE,200.16.94.0/23
VE,200.24.104.0/21
VE,200.26.160.0/20
VE,200.31.128.0/18
VE,200.33.206.0/23
VE,200.35.0.0/18
VE,200.35.0.0/17
VE,200.35.128.0/19
VE,200.35.144.0/21
VE,200.35.128.0/17
VE,200.36.152.0/21
VE,200.44.0.0/15
VE,200.59.176.0/20
VE,200.61.252.0/23
VE,200.71.112.0/21
VE,200.71.128.0/17
VE,200.71.240.0/20
VE,200.73.192.0/20
VE,200.74.192.0/18
VE,200.75.64.0/18
VE,200.75.128.0/18
VE,200.82.0.0/16
VE,200.84.0.0/15
VE,200.90.0.0/16
VE,200.93.0.0/16
VE,200.107.192.0/20
VE,200.108.190.0/23
VE,200.108.0.0/15
VE,200.124.120.0/23
VE,200.125.176.0/20
VE,200.229.152.0/21
VE,200.229.216.0/21
VE,201.71.0.0/22
VE,201.130.80.0/22
VE,201.131.64.0/23
VE,201.208.0.0/13
VE,201.218.176.0/21
VE,201.221.112.0/21
VE,201.222.0.0/19
VE,201.238.0.0/17
VE,201.240.0.0/14
VE,201.248.0.0/14
