country,cidr
VG,2.56.144.0/21
VG,5.35.160.0/20
VG,23.130.224.0/23
VG,23.136.96.0/23
VG,23.137.112.0/23
VG,23.166.232.0/23
VG,23.189.176.0/23
VG,31.14.24.0/23
VG,37.77.80.0/20
VG,45.8.176.0/21
VG,45.12.32.0/21
VG,45.83.120.0/21
VG,45.88.0.0/21
VG,45.133.200.0/21
VG,45.142.0.0/21
VG,45.143.8.0/21
VG,45.148.144.0/21
VG,45.159.88.0/21
VG,45.253.240.0/20
VG,46.17.64.0/20
VG,66.81.192.0/19
VG,67.209.160.0/19
VG,68.65.216.0/22
VG,72.46.24.0/21
VG,74.113.104.0/21
VG,74.113.236.0/22
VG,89.36.172.0/23
VG,89.36.174.0/23
VG,89.38.152.0/22
VG,89.38.232.0/22
VG,89.40.96.0/21
VG,89.42.160.0/22
VG,89.42.162.0/23
VG,89.44.80.0/22
VG,89.44.82.0/23
VG,89.44.80.0/21
VG,89.46.38.0/23
VG,89.46.240.0/22
VG,89.46.242.0/23
VG,89.46.244.0/22
VG,89.47.170.0/23
VG,91.105.192.0/22
VG,91.206.220.0/22
VG,91.241.58.0/23
VG,94.177.128.0/23
VG,94.177.132.0/23
VG,98.158.96.0/19
VG,103.92.130.0/23
VG,103.143.176.0/22
VG,103.144.140.0/22
VG,104.254.96.0/22
VG,104.254.120.0/21
VG,109.206.224.0/21
VG,137.220.0.0/23
VG,138.99.216.0/21
VG,141.8.224.0/20
VG,142.54.16.0/21
VG,161.199.206.0/23
VG,161.199.208.0/23
VG,162.210.68.0/22
VG,162.218.24.0/21
VG,162.222.224.0/23
VG,162.251.86.0/23
VG,170.39.24.0/21
VG,171.22.242.0/23
VG,172.96.36.0/22
VG,172.102.0.0/21
VG,185.23.152.0/21
VG,185.34.200.0/21
VG,185.76.150.0/23
VG,185.94.80.0/21
VG,185.100.208.0/21
VG,185.142.128.0/21
VG,185.168.112.0/21
VG,185.212.128.0/21
VG,185.213.176.0/21
VG,185.217.136.0/21
VG,185.224.216.0/21
VG,185.232.48.0/21
VG,185.238.0.0/21
VG,188.241.24.0/22
VG,188.241.28.0/23
VG,188.241.28.0/22
VG,192.198.184.0/22
VG,193.37.232.0/21
VG,193.160.254.0/23
VG,193.161.0.0/23
VG,193.161.26.0/23
VG,193.161.146.0/23
VG,194.40.240.0/21
VG,195.14.98.0/23
VG,195.39.238.0/23
VG,195.42.248.0/23
VG,195.43.128.0/23
VG,195.43.146.0/23
VG,195.226.210.0/23
VG,195.242.108.0/22
VG,195.242.116.0/22
VG,195.246.194.0/23
VG,199.36.100.0/22
VG,199.79.60.0/22
VG,199.91.96.0/20
VG,199.191.48.0/22
VG,199.204.224.0/20
VG,203.24.100.0/22
VG,203.29.52.0/23
VG,203.32.120.0/22
VG,203.34.28.0/23
VG,203.34.80.0/23
VG,203.55.106.0/23
VG,204.11.56.0/22
VG,206.71.14.0/23
VG,206.81.110.0/23
VG,208.64.40.0/21
VG,208.73.208.0/21
VG,208.91.196.0/22
VG,212.111.128.0/18
VG,213.40.0.0/15
VG,216.180.224.0/19
