country,cidr
YE,5.100.160.0/20
YE,5.255.0.0/18
YE,31.31.160.0/19
YE,46.35.64.0/18
YE,46.161.192.0/18
YE,78.137.64.0/18
YE,80.253.160.0/19
YE,81.91.16.0/20
YE,82.114.128.0/18
YE,89.189.64.0/18
YE,94.26.192.0/18
YE,109.74.32.0/19
YE,109.200.128.0/18
YE,110.238.0.0/18
YE,131.117.160.0/20
YE,134.34.0.0/15
YE,175.110.0.0/17
YE,176.123.0.0/19
YE,178.130.0.0/17
YE,185.11.8.0/21
YE,185.71.128.0/21
YE,185.80.40.0/21
YE,185.80.136.0/21
YE,185.112.200.0/21
YE,185.240.64.0/21
YE,188.209.192.0/18
YE,188.240.64.0/18
YE,195.94.0.0/18
YE,213.246.0.0/18
