country,cidr
ZM,41.63.0.0/17
ZM,41.72.64.0/18
ZM,41.77.0.0/20
ZM,41.191.112.0/21
ZM,41.215.160.0/19
ZM,41.216.64.0/18
ZM,41.222.16.0/20
ZM,41.223.112.0/21
ZM,45.208.0.0/13
ZM,80.88.2.0/23
ZM,102.23.120.0/21
ZM,102.67.160.0/21
ZM,102.68.136.0/21
ZM,102.130.100.0/23
ZM,102.144.0.0/12
ZM,102.208.220.0/22
ZM,102.210.96.0/21
ZM,102.210.100.0/22
ZM,102.210.160.0/21
ZM,102.212.176.0/21
ZM,102.216.212.0/22
ZM,102.220.156.0/22
ZM,102.221.240.0/21
ZM,154.73.232.0/21
ZM,155.0.0.0/15
ZM,165.48.0.0/12
ZM,196.12.8.0/21
ZM,196.13.104.0/23
ZM,196.46.192.0/18
ZM,196.49.88.0/23
ZM,196.60.94.0/23
ZM,196.223.2.0/23
ZM,196.223.28.0/23
ZM,197.212.0.0/14
ZM,197.220.0.0/18
ZM,197.231.240.0/21
ZM,213.193.32.0/20
