country,cidr
ZW,41.57.64.0/19
ZW,41.78.72.0/21
ZW,41.79.24.0/21
ZW,41.79.56.0/21
ZW,41.79.184.0/21
ZW,41.85.192.0/18
ZW,41.190.0.0/18
ZW,41.191.224.0/20
ZW,41.220.0.0/19
ZW,41.221.128.0/19
ZW,102.128.72.0/21
ZW,102.165.112.0/21
ZW,102.177.72.0/21
ZW,102.177.192.0/20
ZW,102.207.48.0/22
ZW,102.210.112.0/21
ZW,102.212.216.0/21
ZW,102.212.230.0/23
ZW,102.213.40.0/21
ZW,102.217.48.0/21
ZW,102.218.8.0/21
ZW,154.73.80.0/21
ZW,154.119.64.0/19
ZW,168.253.0.0/18
ZW,169.239.24.0/21
ZW,196.4.80.0/23
ZW,196.29.32.0/20
ZW,196.41.88.0/23
ZW,196.43.64.0/18
ZW,196.43.198.0/23
ZW,196.44.160.0/19
ZW,196.49.46.0/23
ZW,196.60.44.0/23
ZW,196.216.224.0/22
ZW,196.220.64.0/18
ZW,197.157.200.0/21
ZW,197.221.192.0/18
