Country | IPv6 prefixes
================================
AD  | 1
AE  | 540
AF  | 33
AG  | 9
AI  | 3
AL  | 99
AM  | 54
AO  | 33
AR  | 1116
AS  | 2
AT  | 583
AU  | 1624
AW  | 3
AX  | 1
AZ  | 70
BA  | 38
BB  | 4
BD  | 1553
BE  | 325
BF  | 25
BG  | 260
BH  | 15
BI  | 6
BJ  | 14
BL  | 3
BM  | 11
BN  | 9
BO  | 53
BQ  | 6
BR  | 8816
BS  | 6
BT  | 22
BW  | 15
BY  | 31
BZ  | 33
CA  | 1091
CD  | 20
CG  | 10
CH  | 861
CI  | 17
CK  | 2
CL  | 312
CM  | 21
CN  | 2020
CO  | 656
CR  | 102
CU  | 6
CV  | 6
CW  | 21
CY  | 389
CZ  | 679
DE  | 3033
DJ  | 4
DK  | 409
DM  | 6
DO  | 184
DZ  | 6
EC  | 255
EE  | 174
EG  | 19
ES  | 966
ET  | 4
FI  | 316
FJ  | 17
FM  | 2
FO  | 4
FR  | 1399
GA  | 8
GB  | 2056
GD  | 10
GE  | 78
GF  | 6
GG  | 7
GH  | 44
GI  | 12
GL  | 3
GM  | 10
GN  | 10
GP  | 5
GQ  | 3
GR  | 104
GT  | 74
GU  | 11
GW  | 2
GY  | 8
HK  | 930
HN  | 111
HR  | 74
HT  | 10
HU  | 169
ID  | 2362
IE  | 215
IL  | 155
IM  | 14
IN  | 2621
IO  | 1
IQ  | 134
IR  | 551
IS  | 72
IT  | 1061
JE  | 10
JM  | 9
JO  | 40
JP  | 640
KE  | 120
KG  | 26
KH  | 93
KI  | 3
KM  | 2
KN  | 3
KR  | 136
KW  | 36
KY  | 5
KZ  | 82
LA  | 27
LB  | 104
LC  | 4
LI  | 29
LK  | 25
LR  | 7
LS  | 8
LT  | 381
LU  | 103
LV  | 92
LY  | 17
MA  | 26
MC  | 6
MD  | 219
ME  | 20
MF  | 3
MG  | 8
MH  | 5
MK  | 40
ML  | 8
MM  | 120
MN  | 49
MO  | 11
MP  | 1
MQ  | 5
MR  | 5
MT  | 30
MU  | 34
MV  | 16
MW  | 30
MX  | 454
MY  | 322
MZ  | 16
NA  | 8
NC  | 13
NE  | 4
NF  | 1
NG  | 114
NI  | 24
NL  | 1901
NO  | 459
NP  | 156
NR  | 2
NU  | 1
NZ  | 421
OM  | 23
PA  | 89
PE  | 199
PF  | 7
PG  | 29
PH  | 316
PK  | 305
PL  | 953
PM  | 1
PR  | 66
PS  | 45
PT  | 119
PW  | 3
PY  | 99
QA  | 19
RE  | 6
RO  | 265
RS  | 88
RU  | 2220
RW  | 18
SA  | 115
SB  | 8
SC  | 740
SD  | 10
SE  | 860
SG  | 446
SI  | 146
SK  | 144
SL  | 7
SM  | 14
SN  | 11
SO  | 14
SR  | 5
SS  | 7
ST  | 1
SV  | 43
SX  | 7
SY  | 28
SZ  | 7
TC  | 1
TD  | 5
TG  | 7
TH  | 192
TJ  | 16
TK  | 5
TL  | 12
TM  | 2
TN  | 11
TO  | 5
TR  | 645
TT  | 15
TV  | 2
TW  | 318
TZ  | 59
UA  | 628
UG  | 31
US  | 9828
UY  | 37
UZ  | 45
VA  | 3
VC  | 3
VE  | 196
VG  | 32
VI  | 7
VN  | 878
VU  | 10
WF  | 1
WS  | 8
YE  | 6
ZA  | 501
ZM  | 13
ZW  | 18

Total countries     : 231
Total IPv6 prefixes : 66915
Generated           : 2025-06-13 16:57:00 +0200
